Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,tweet_text
@Adnan__786__ @AsYouNotWish Dont worry Indian army is on its ways to dispatch all Terrorists to Hell,1,1,0,0,0,0,1,0,0,0,1,  Dont worry Indian army is on its ways to dispatch all Terrorists to Hell
"Academy of Sciences, eschews the normally sober tone of scientific papers and calls the massive loss of wildlife a “biological annihilation",0,0,1,0,0,0,0,0,0,0,0,"Academy of Sciences, eschews the normally sober tone of scientific papers and calls the massive loss of wildlife a ""biological annihilation"
I blew that opportunity -__- #mad,1,0,1,0,0,0,0,0,1,0,0,I blew that opportunity -__- mad
This time in 2 weeks I will be 30... 😥,0,0,0,0,1,0,0,0,1,0,0,This time in 2 weeks I will be 30...  sad_but_relieved_face 
#Deppression is real. Partners w/ #depressed people truly dont understand the depth in which they affect us. Add in #anxiety &amp;makes it worse,0,0,0,1,0,0,0,0,1,0,0,Deppression is real. Partners w/ depressed people truly dont understand the depth in which they affect us. Add in anxiety &amp;makes it worse
"@POLITICOEurope Interesting choice of words... Are you confirming that governments fund #terrorism? Bit of an open door, but still...",1,0,1,1,0,0,0,1,0,0,0," Interesting choice of words... Are you confirming that governments fund terrorism? Bit of an open door, but still..."
"@ananavarro CNN should, for sure 😀",0,0,0,0,1,0,1,0,0,0,0," CNN should, for sure  grinning_face "
Distance yourself once stretched by your friends impose! #serious #loveyou #notseriously,0,0,0,0,0,1,0,0,0,0,0,Distance yourself once stretched by your friends impose! serious loveyou notseriously
Be happy. Be confident. Be kind.\n\n #KissablesLoveSMShopmag\nAllOutDenimFor KISSMARC,0,0,0,0,1,0,1,0,0,0,0,Be happy. Be confident. Be kind.\n\n Kissables Love S M Shopmag\n All Out Denim For KISSMARC
My visit to hospital for care triggered #trauma from accident 20+yrs ago and image of my dead brother in it. Feeling symptoms of #depression,0,0,0,0,0,0,0,0,1,0,0,My visit to hospital for care triggered trauma from accident 20+yrs ago and image of my dead brother in it. Feeling symptoms of depression
Thanks to Dollis Hill's relentless and tenacious PC Leach and colleagues!,0,0,0,0,1,0,1,0,0,0,0,Thanks to Dollis hill is relentless and tenacious PC Leach and colleagues!
@xxBambsxx @OriginalFunko @AshWillBradley @Elliewhitt123 I've retweeted and followed #good luck @AshWillBradley @OriginalFunko,0,1,0,0,1,0,1,0,0,0,0,    i have retweeted and followed good luck  
@MPSNutrition Welcome to #MPSVT! We are delighted to have you! #grateful #MPSVT #relationships,0,0,0,0,1,1,0,0,0,0,0, Welcome to MPSVT! We are delighted to have you! grateful MPSVT relationships
What makes you feel #joyful?,0,0,0,0,1,0,0,0,0,0,0,What makes you feel joyful?
"Bitter afternoon,no sweetness at all #Lenovo",1,0,1,0,0,0,0,1,1,0,0,"Bitter afternoon,no sweetness at all Lenovo"
Some people just need to learn how to #smile 😁 and #laugh 😂😂 #live #life,0,0,0,0,1,1,1,0,0,0,0,Some people just need to learn how to smile  beaming_face_with_smiling_eyes  and laugh  face_with_tears_of_joy  face_with_tears_of_joy  live life
We are all in this together and we #sink together or we #swim together,0,1,0,0,1,0,1,0,0,0,0,We are all in this together and we sink together or we swim together
Life will be more #beautiful when you start seeing things differently.,0,1,0,0,1,1,1,0,0,0,0,Life will be more beautiful when you start seeing things differently.
i am revolting.,1,0,1,0,0,0,0,0,0,0,0,i am revolting.
"Rin might ever appeared gloomy but to be a melodramatic person was not her thing.\n\nBut honestly, she missed her old friend. The special one.",0,0,0,0,0,0,0,0,1,0,0,"Rin might ever appeared gloomy but to be a melodramatic person was not her thing.\n\nBut honestly, she missed her old friend. The special one."
"wow, i really can't believe four years already went by. four years. jeez. we miss you big guy #4yearswithoutcory #corymonteith #glee",0,0,0,0,1,0,0,0,1,1,0,"wow, i really can't believe four years already went by. four years. jeez. we miss you big guy 4yearswithoutcory corymonteith glee"
@rtenews ...middle class may sink without further struggles into the working class where we belong... George Orwell 1903-1950,1,0,1,0,0,0,0,1,1,0,0, ...middle class may sink without further struggles into the working class where we belong... George Orwell 1903-1950
Remember watching a talk show for class 1 day about the Charlie Hebdo aftermath.. guests had a lively debate over religion/free speech.. 4/x,0,0,0,0,1,0,1,0,0,0,0,Remember watching a talk show for class 1 day about the Charlie Hebdo aftermath.. guests had a lively debate over religion/free speech.. 4/x
All I can hear from the other room in my house is my brothers very seriously discussing the changes that need to be made to the ,0,0,0,0,0,0,0,0,0,0,0,All I can hear from the other room in my house is my brothers very seriously discussing the changes that need to be made to the 
@AAnworislam59 Happy birthday #beautiful pussy,0,0,0,0,1,1,1,0,0,0,0, Happy birthday beautiful pussy
In need of a change! #restless,0,0,0,1,0,0,0,0,1,0,0,In need of a change! restless
@ShadGandel i'm glad that despite my weeks of being MIA we can still talk about the most idiotic shit\n\nTURN AROUND BRIGHT EYES,1,0,0,0,1,0,0,0,0,0,0, i am glad that despite my weeks of being MIA we can still talk about the most idiotic shit\n\nTURN AROUND BRIGHT EYES
@mattsamatt @jasonosia #cmbyn does screen  August 4 &amp; 6 at #miff,0,1,0,0,0,0,0,0,1,0,0,  cmbyn does screen  August 4 &amp; 6 at miff
@FS1 Get Donovan out of your soccer booth. He's awful. He's bitter. He makes me want to mute the tv. #horrid,1,0,1,0,0,0,0,0,0,0,0, Get Donovan out of your soccer booth. he is awful. he is bitter. He makes me want to mute the tv. horrid
@PUBATTLEGROUNDS how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues. Optimize ur shit soon. ,1,0,1,0,0,0,0,0,0,0,0, how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues. Optimize ur shit soon. 
Sadly I do not have a garden so I watch just for Nigel and Nellie #beautiful  #gardenersworld,0,1,0,0,1,0,1,0,1,0,0,Sadly I do not have a garden so I watch just for Nigel and Nellie beautiful  gardenersworld
Pressured. 😦,0,0,1,1,0,0,0,0,1,0,0,Pressured.  frowning_face_with_open_mouth 
Yes #depression &amp; #anxiety are real but so is bein #grateful &amp; #happiness \nI choose how i wanna live MY life not some disorder,0,0,1,1,0,0,0,0,1,0,0,Yes depression &amp; anxiety are real but so is bein grateful &amp; happiness \nI choose how i wanna live MY life not some disorder
"People who say nmu are the worst, something has to be going on, tell me I wanna know bout your life that's why I fucking asked, I care 😤",1,0,0,0,0,0,0,0,0,0,0,"People who say nmu are the worst, something has to be going on, tell me I wanna know bout your life that is why I fucking asked, I care  face_with_steam_from_nose "
"@RichardTBurnett The hatred from the Left ought to concern everyone----who wants a police state-the left, so than can spy on all of us.",1,0,1,0,0,0,0,0,0,0,0," The hatred from the Left ought to concern everyone----who wants a police state-the left, so than can spy on all of us."
@AGT #shocking loss of talented young man#prayers#pray for his family,0,0,0,1,0,1,0,0,1,0,0, shocking loss of talented young manprayerspray for his family
Its #amazing watching various news outlets showing mixed crowds of ppl watching #Eclipse with NO #racial tension.. #MSM can't hide this!,0,0,0,0,1,0,0,0,0,0,0,Its amazing watching various news outlets showing mixed crowds of ppl watching Eclipse with NO racial tension.. MSM can't hide this!
"That moment when people say you don't need medicine, it's mind over matter. You need to stop doing that. #bipolar ",1,0,1,0,0,0,0,0,0,0,0,"That moment when people say you don't need medicine, it is mind over matter. You need to stop doing that. bipolar "
im back lol #revenge,1,0,0,0,1,0,0,0,0,0,0,im back lol revenge
@wine_mum_ @Bob_Lawblaw Please. Don't insult Goths.,1,0,1,1,0,0,0,0,0,0,0,  Please. Don't insult Goths.
@BB19Rewind What an F'ing liar ,1,0,1,0,0,0,0,0,0,0,0, What an F'ing liar 
@hitRECordJoe Rectify: a man must rediscover life after being released from death row for a crime he may/ may not have committed. #brilliant,0,0,0,0,1,0,1,0,0,0,0, Rectify: a man must rediscover life after being released from death row for a crime he may/ may not have committed. brilliant
May or may not have just pulled the legal card on these folks. #irritated,1,0,1,0,0,0,0,0,0,0,0,May or may not have just pulled the legal card on these folks. irritated
If I'm talking about the Asian world. Club life.\n\nI'd probably say I might resent dorks. Or like less popular. I don't know the word.,0,1,1,0,0,0,0,0,0,1,0,If i am talking about the Asian world. Club life.\n\ni would probably say I might resent dorks. Or like less popular. I don't know the word.
