Tweet,Affect Dimension,Intensity Score,sentiment,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,esn_sentiment,esn_sentiment_count
@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended,anger,0.562,anger,"['shut', 'up', 'hashtags', 'are', 'cool', 'offended']","[""'shut"", 'up', 'hashtag', 'be', 'cool', 'offend']",anger,2.0,1.4020000000000001,disgust,6.0,0.9930363786162264,joy,2.0
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,anger,"['it', 'makes', 'me', 'so', 'fucking', 'irate', 'jesus', 'nobody', 'is', 'calling', 'people', 'who', 'like', 'hajime', 'abusive', 'stop', 'with', 'the', 'strawmen', 'lmao']","['it', 'make', ""me'"", ""so'"", 'fuck', 'irate', 'jesus', 'nobody', 'be', 'call', 'people', ""who'"", 'like', 'hajime', 'abusive', 'stop', 'with', ""the'"", 'strawmen', 'lmao']",anger,1.0,0.8440000000000001,surprise,14.0,2.6731727526818454,joy,7.0
Lol Adam the Bull with his fake outrage...,anger,0.417,anger,"['lol', 'adam', 'the', 'bull', 'with', 'his', 'fake', 'outrage']","['lol', 'adam', ""the'"", 'bull', 'with', 'he', 'fake', 'outrage']",anger,1.0,0.848,anger,5.0,0.7720524306123622,joy,3.0
@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger,0.354,anger,"['passed', 'away', 'early', 'this', 'morning', 'in', 'a', 'fast', 'and', 'furious', 'styled', 'car', 'crash', 'as', 'he', 'was', 'leaving', 'an', 'atl', 'strip', 'club', 'that', 'is', 'rough', 'stuff']","['pass', 'away', 'early', 'this', 'morning', 'in', ""a'"", 'fast', 'and', 'furious', 'style', 'car', 'crash', 'as', 'he', 'be', 'leave', 'a', 'atl', 'strip', 'club', 'that', 'be', 'rough', 'stuff']",sadness,4.0,1.273,surprise,18.0,2.7173948419736,joy,5.0
@Kristiann1125 lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,anger,0.438,anger,"['lol', 'wow', 'i', 'was', 'gon', 'na', 'say', 'really', 'haha', 'have', 'you', 'seen', 'chris', 'or', 'nah', 'you', 'do', 'nt', 'even', 'snap', 'me', 'anymore', 'dude']","['lol', 'wow', ""i'"", 'be', 'go', ""na'"", 'say', 'really', ""haha'"", 'have', 'you', 'see', 'chris', 'or', 'nah', 'you', 'do', 'not', 'even', 'snap', ""me'"", 'anymore', 'dude']",,0.0,0.0,disgust,17.0,2.783523035092914,joy,5.0
I need a 🍱sushi date🍙 @AnzalduaG 🍝an olive guarded date🧀 @lexiereid369 and a 👊🏼Rockys date🍕 ,anger,0.271,anger,"['i', 'need', 'a', 'bento_box', 'sushi', 'date', 'rice', 'ball', 'spaghetti', 'an', 'olive', 'guarded', 'date', 'cheese', 'wedge', 'and', 'a', 'oncoming', 'fist', 'medium_light_skin_tone', 'rockys', 'date', 'pizza']","['i', 'need', ""a'"", 'bento_box', 'sushi', 'date', 'rice', 'ball', 'spaghetti', 'a', ""'olive"", 'guard', 'date', 'cheese', 'wedge', 'and', 'a', 'oncoming', 'fist', 'medium_light_skin_tone', 'rockys', 'date', 'pizza']",fear,2.0,0.531,surprise,14.0,2.1354064973324762,joy,2.0
"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you",anger,0.354,anger,"['and', 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', 'others', 'are', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hiney', 'kissing', 'ad', 'i', 'saw', 'about', 'you']","[""and'"", 'republicans', 'you', 'namely', 'graham', 'flake', 'sasse', 'and', ""'other"", 'be', 'not', 'safe', 'from', 'my', 'wrath', 'hence', 'that', 'hillary', 'hiney', 'kissing', 'ad', 'i', 'see', 'about', 'you']",anger,1.0,0.885,disgust,13.0,2.0036059362564105,joy,6.0
@leepg \n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!,anger,0.333,anger,"['like', 'a', 'rabid', 'dog', 'i', 'pulled', 'out', 'the', 'backs', 'of', 'my', 'cupboards', 'looking', 'for', 'a', 'bakewell', 'found', 'a', 'french', 'fancie', 'a', 'mini', 'batternburg', 'winner']","['like', ""a'"", 'rabid', 'dog', ""i'"", 'pull', 'out', 'the', 'back', 'of', 'my', 'cupboard', 'look', 'for', 'a', 'bakewell', 'find', 'a', 'french', 'fancie', 'a', 'mini', 'batternburg', 'winner']",joy,2.0,0.894,surprise,16.0,2.904909135760513,joy,7.0
@MisterAK47 it's very telling that racist bigots always resort to the insult 'fag' like that's worse than being a racist bigot.,anger,0.556,anger,"['it', 'is', 'very', 'telling', 'that', 'racist', 'bigots', 'always', 'resort', 'to', 'the', 'insult', 'fag', 'like', 'that', 'is', 'worse', 'than', 'being', 'a', 'racist', 'bigot']","['it', 'be', 'very', 'tell', 'that', 'racist', 'bigot', 'always', 'resort', ""to'"", ""the'"", 'insult', 'fag', 'like', 'that', 'be', 'worse', 'than', 'be', 'a', 'racist', 'bigot']",disgust,2.0,1.252,disgust,11.0,2.029808728229181,joy,6.0
Follow up. Follow through. Be #relentless. #success,anger,0.125,anger,"['follow', 'up', 'follow', 'through', 'be', 'relentless', 'success']","['follow', 'up', 'follow', 'through', ""be'"", 'relentless', 'success']",joy,1.0,0.797,surprise,3.0,0.597642750270882,joy,2.0
