text,tweet_text,lemma_tweet_text
The wind said Black Lives Matter ,"['the', 'wind', 'said', 'black', 'lives', 'matter']","[""the'"", 'wind', 'say', 'black', 'life', 'matter']"
it’s not just about George Floyd he was just the straw that broke the camels back . ,"['it', 'is', 'not', 'just', 'about', 'george', 'floyd', 'he', 'was', 'just', 'the', 'straw', 'that', 'broke', 'the', 'camels', 'back']","['it', 'be', 'not', 'just', 'about', 'george', 'floyd', 'he', 'be', 'just', ""tha'"", 'straw', 'that', 'break', ""the'"", 'camel', 'back']"
Every other basic response: “We stand with our black employees :)” Ben & Jerry’s: “WE GOTTA FUCKIN SMASH WHITE SUPREMACY. FUCK THE KKK AND FUCK YOU. BLACK LIVES MATTER. OUR NEW FLAVOR IS CALLED FUCK THE POLICE. ITS GOT BLUEBERRIES”,"['every', 'other', 'basic', 'response', 'we', 'stand', 'with', 'our', 'black', 'employees', 'ben', '&', 'jerry', 'is', 'we', 'gotta', 'fuckin', 'smash', 'white', 'supremacy', 'fuck', 'the', 'kkk', 'and', 'fuck', 'you', 'black', 'lives', 'matter', 'our', 'new', 'flavor', 'is', 'called', 'fuck', 'the', 'police', 'its', 'got', 'blueberries']","['every', ""'other"", 'basic', 'response', ""we'"", 'stand', 'with', 'we', 'black', 'employee', 'ben', '&', 'jerry', 'be', ""we'"", 'gotta', 'fuckin', 'smash', 'white', 'supremacy', 'fuck', ""the'"", 'kkk', 'and', 'fuck', 'you', 'black', 'life', 'matter', 'we', 'new', 'flavor', 'be', 'call', 'fuck', ""the'"", 'police', 'its', 'get', 'blueberry']"
All 50 states plus 18 countries participated in #BlackLivesMatter protests as of today making it the largest civil rights movement in world history wow,"['all', '50', 'states', 'plus', '18', 'countries', 'participated', 'in', 'blacklives', 'matter', 'protests', 'as', 'of', 'today', 'making', 'it', 'the', 'largest', 'civil', 'rights', 'movement', 'in', 'world', 'history', 'wow']","['all', '50', ""'"", 'state', 'plus', '18', ""'"", 'country', 'participate', 'in', 'blacklive', 'matter', 'protest', 'as', 'of', 'today', 'make', 'it', ""the'"", 'largest', 'civil', 'rights', 'movement', 'in', 'world', 'history', 'wow']"
This shit is real this gave me chills #blacklivesmatter #GeorgeFloyd #dcprotest,"['this', 'shit', 'is', 'real', 'this', 'gave', 'me', 'chills', '#blacklivesmatter', 'george', 'floyd', '#dcprotest']","['this', 'shit', 'be', 'real', 'this', 'give', ""me'"", 'chill', 'blacklivesmatter', 'george', 'floyd', '#dcprotest']"
"Remember black lives matter not only when it comes to police brutality but in every aspect of society. BLM in the education system where schools receive insufficient funding. BLM in the health care system where too often black ppl, especially black women, receive improper care.","['remember', 'black', 'lives', 'matter', 'not', 'only', 'when', 'it', 'comes', 'to', 'police', 'brutality', 'but', 'in', 'every', 'aspect', 'of', 'society', 'blm', 'in', 'the', 'education', 'system', 'where', 'schools', 'receive', 'insufficient', 'funding', 'blm', 'in', 'the', 'health', 'care', 'system', 'where', 'too', 'often', 'black', 'ppl', 'especially', 'black', 'women', 'receive', 'improper', 'care']","['remember', 'black', 'life', 'matter', 'not', 'only', 'when', 'it', 'come', ""to'"", 'police', 'brutality', 'but', 'in', 'every', 'aspect', 'of', 'society', 'blm', 'in', ""the'"", 'education', 'system', 'where', 'school', 'receive', 'insufficient', 'funding', 'blm', 'in', ""the'"", 'health', 'care', 'system', 'where', 'too', 'often', 'black', 'ppl', 'especially', 'black', 'woman', 'receive', 'improper', 'care']"
when I say BLACK LIVES MATTER. I’m NOT talking about an organization. I AM talking about the literal black lives that have been stolen the past 400+ years documented and undocumented. I AM talking about the black lives of those still living. That’s all...,"['when', 'i', 'say', 'black', 'lives', 'matter', 'i', 'am', 'not', 'talking', 'about', 'an', 'organization', 'i', 'am', 'talking', 'about', 'the', 'literal', 'black', 'lives', 'that', 'have', 'been', 'stolen', 'the', 'past', '400', 'years', 'documented', 'and', 'undocumented', 'i', 'am', 'talking', 'about', 'the', 'black', 'lives', 'of', 'those', 'still', 'living', 'that', 'is', 'all']","['when', ""i'"", 'say', 'black', 'life', 'matter', ""i'"", 'be', 'not', 'talk', 'about', 'a', 'organization', 'i', 'be', 'talk', 'about', ""the'"", 'literal', 'black', 'life', 'that', 'have', 'be', 'steal', ""the'"", 'past', '400', 'year', 'document', 'and', 'undocumented', ""i'"", 'am', 'talk', 'about', ""the'"", 'black', 'life', 'of', 'those', 'still', 'living', 'that', 'be', 'all']"
The policeman said “You can record this because I need other people to hear this” Please stop blaming peaceful protestors and the Black Lives Matter movement for the destruction of various cities. A large amount of the destruction have come from white supremist groups. ,"['the', 'policeman', 'said', 'you', 'can', 'record', 'this', 'because', 'i', 'need', 'other', 'people', 'to', 'hear', 'this', 'please', 'stop', 'blaming', 'peaceful', 'protestors', 'and', 'the', 'black', 'lives', 'matter', 'movement', 'for', 'the', 'destruction', 'of', 'various', 'cities', 'a', 'large', 'amount', 'of', 'the', 'destruction', 'have', 'come', 'from', 'white', 'supremist', 'groups']","[""the'"", 'policeman', 'say', 'you', 'can', 'record', 'this', 'because', ""i'"", 'need', ""'other"", 'people', ""to'"", 'hear', 'this', 'please', 'stop', 'blame', 'peaceful', 'protestor', 'and', ""the'"", 'black', 'life', 'matter', 'movement', 'for', ""the'"", 'destruction', 'of', 'various', 'city', ""a'"", 'large', 'amount', 'of', ""the'"", 'destruction', 'have', 'come', 'from', 'white', 'supremist', 'group']"
"Since George Floyd was murdered 49 days ago, there have been AT LEAST 767 documented cases of police brutality. That’s almost 16 a day. ","['since', 'george', 'floyd', 'was', 'murdered', '49', 'days', 'ago', 'there', 'have', 'been', 'at', 'least', '767', 'documented', 'cases', 'of', 'police', 'brutality', 'that', 'is', 'almost', '16', 'a', 'day']","['since', 'george', 'floyd', 'be', 'murder', '49', 'day', 'ago', 'there', 'have', 'be', 'at', 'least', '767', 'document', 'case', 'of', 'police', 'brutality', 'that', 'be', 'almost', '16', 'a', 'day']"
"look who my sister caught at Cub Foods in Plymouth. J. Alexander Keung, one of the officers who lynched #GeorgeFloyd in cold blood. ","['look', 'who', 'my', 'sister', 'caught', 'at', 'cub', 'foods', 'in', 'plymouth', 'j.', 'alexander', 'keung', 'one', 'of', 'the', 'officers', 'who', 'lynched', 'georgefloyd', 'in', 'cold', 'blood']","['look', ""who'"", 'my', 'sister', 'catch', 'at', 'cub', 'food', 'in', 'plymouth', 'j.', 'alexander', 'keung', 'one', 'of', ""the'"", 'officer', ""who'"", 'lynch', 'georgefloyd', 'in', 'cold', 'blood']"
