text,nrc_sentiment,dpm_sentiment
The wind said Black Lives Matter ,joy,surprise
The policeman said “You can record this because I need other people to hear this” Please stop blaming peaceful protestors and the Black Lives Matter movement for the destruction of various cities. A large amount of the destruction have come from white supremist groups. ,joy,surprise
We turned on the night light for him so he dreams about #BlackLivesMatter Plaza ,joy,surprise
Add @BTS_twt to the list of artists taking a stand against racism and supporting #BlackLivesMatter. These guys have amazing souls and hearts though so it’s no surprise. Respect fellas! ,joy,surprise
Live - #GeorgeFloyd Peaceful Protests in Downtown Houston ,joy,anger
"I’m sorry, but as much as I want justice and peace for George Floyd and his family, that event earlier today was a DNC Convention that featured a funeral.",joy,surprise
"Today, Starbucks banned their employees from representing or supporting BLACK LIVES MATTER via clothes. Today, my father opened his dream café. An East African infused shop. Support your local small black businesses! 634 S Front Street Mankato, MN 56001 ",joy,surprise
Look at John McCain's Daughter making sense ..... #BlackLivesMatter ,joy,surprise
Saw this on Tik Tok and honestly broke my heart. We need to spread awareness. #BlackLivesMatters ,joy,surprise
Black Lives Matter! Hispanic Lives Matter! Asian Lives Matter! Muslim Lives Matter. ....now here's the kicker. ...hold on and I hope you're sitting down this and get the kids out of the room cause what I'm gonna say will be rather explosive.....but ...White Lives Matter too.,joy,surprise
"Another remarkable visual: Peaceful #GeorgeFloyd demonstrators here outside the White House are now sitting, phone lights on, singing “Lean On Me” — all while military and federal police stand in front of military vehicles guarding the White House. ",joy,anger
"I made a little series of #BLM headers to help show support, Please feel free to use them and share them, Black Lives Matter! ",joy,surprise
BREAKING. Some protesters have jumped the gated barrier at Lafayette Park. US Park Police push them back. The White House is behind the US Park Police l & the Secret Service. @MSNBC @nbcwashington #GeorgeFloyd – at The White House,joy,anger
. @ICC and all the other boards are you guys not seeing what’s happening to ppl like me? Are you not gonna speak against the social injustice against my kind. This is not only about America. This happens everyday #BlackLivesMatter now is not the time to be silent. I wanna hear u,joy,surprise
Ayo this touched my heart #BlackLivesMatter ,joy,surprise
“THE CROWD HAS DOUBLED IN SIZE”: @abc13houston Sky eye captures a huge crowd peacefully marching to #Houston city hall for #GeorgeFloyd. Thousands are still streaming in. WOW. LIVE COVERAGE: https://abc13.com/society/live-houstonians-march-in-support-of-george-floyds-family/6226152/,joy,surprise
Attention New Orleans!!! DO NOT support Sereen Beauty Supply on S Claiborne Ave. They’re selling these insensitive shirts and have not shown the slightest bit of support for the black lives matter community. Ill be posting a BLACK OWNED beauty supply below. ,joy,surprise
“Allah O Akbar” chant and Islamic prayer on the street halts the #BLACK_LIVES_MATTER march. Watch guilt-ridden White woman join the Ummah in her T-shirt to prostrate towards Makkah. This is how Jihadis will destroy the #BlackLivesMatters movement,joy,anger
"Yesterday my team and I got a chance to make history when DC’s Mayor Bowser had us create these #blacklivesmatter signs to be installed in DC! I so proud was of her when they asked me to design it! In fact, we are all so proud of her for making her stance clear! ",joy,surprise
"Black Lives Matter Plaza has a new addition: DEFUND THE POLICE, which @DMVBlackLives are appending to the yellow letters Mayor Bowser had painted along 16th on Friday. They’d criticized it as a “performative distraction from real policy changes.”",joy,surprise
NEW VIDEO: DC @MayorBowser’s Chief of Staff John Falcicchio just told me the Mayor installed new Black Lives Matter light projections near the White House. They’re on two buildings on the newly named Black Lives Matter Plaza. #BlackLivesMatterPlaza @falcicchio @nbcwashington – at The White House,joy,surprise
"These overseas protests supporting George Floyd are also in support of the aspirations so many people have for America, for the ideal this country is supposed to represent. It’s amazing how many people of the world want us to be the country we think we are. ",joy,surprise
"We’ve walked this path before, and will continue marching on, hand in hand, elevating our voices, until justice and peace prevail. Thank you for joining me at Black Lives Matter Plaza, in front of the White House, @repjohnlewis. – at The White House",joy,surprise
I am so proud of this damn city right now. Boston DID NOT COME TO PLAY. There feels like there’s more people than the Patriots parade #bostonprotest #boston #BLACK_LIVES_MATTERS ,joy,surprise
Black lives matter isn’t a trend it’s a movement. Don’t be silent.,joy,surprise
Nickelodeon going off the air for 8 minutes is a sign that even a kids network is fucking done with this #GeorgeFloyd #JusticeForGeorgeFloyd #ICantBreathe,joy,surprise
Man right here in the gray sweatshirt lead a peaceful protest here tonight in Baltimore and now got himself and the people of the CITY a meeting with the police commissioner tomorrow at 12pm. Hats off to this gentleman right here. #Baltimore #GeorgeFloyd ,joy,surprise
Massive demonstration in Downtown Houston calling for justice for George Floyd. The largest demonstration of its kind I’ve seen here. Demonstrators marching outside city hall. Floyd is from Houston. http://abc13.com/6219703/ #abc13 – at Houston City Hall,joy,anger
Black Lives Matter⁣ #BlackoutTuesday⁣,joy,surprise
Black Lives Matter⁣ #BlackoutTuesday⁣,joy,surprise
Black Lives Matter⁣ #BlackoutTuesday⁣,joy,surprise
Black Lives Matter⁣ #BlackoutTuesday⁣,joy,surprise
I see where black lives matter are telling white people to get on their knees &amp; apologize for their white privilege! I don't see no white privilege with these kids below do you? I never had it! No one ever gave me nothing I work my ass off for what I have! It's called get a job ,joy,surprise
George Soros' plans for US destabilization and funding Black Lives Matter. ,joy,fear
"An image for the history books: Peaceful protestors sing “Lean On Me” as federal and military police look on, standing guard in front of military vehicles parked in front of the White House. #GeorgeFloyd ",joy,anger
