text,tweet_text
Why do we even have to scream black lives matter as if black and brown people aren’t human... whose responsible?,Why do we even have to scream black lives matter as if black and brown people aren’t human... whose responsible?
We Are George Floyd according to @LILBTHEBASEDGOD We Want Justice We Need Love F*ck Rascim Stop Hurting The Innocents #BlackLivesMatter #WeWantJustice,We Are George Floyd according to @LILBTHEBASEDGOD We Want Justice We Need Love F*ck Rascim Stop Hurting The Innocents #BlackLivesMatter #WeWantJustice
#SayHerName #BlackLivesMatter #SheMatters #JusticeforBreonnaTaylor,#SayHerName #BlackLivesMatter #SheMatters #JusticeforBreonnaTaylor
This is why we protest. This is all you need to know about our great racial divide. Say it loud for the ppl in the cheap seats. #GeorgeFloyd ,This is why we protest. This is all you need to know about our great racial divide. Say it loud for the ppl in the cheap seats. #GeorgeFloyd 
Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/pvDZNB2Q via @Change,Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/pvDZNB2Q via @Change
My man @JohnBoyega still out here protecting the block!! #YouLoveToSeeIt !!! #BlackLivesMatter,My man @JohnBoyega still out here protecting the block!! #YouLoveToSeeIt !!! #BlackLivesMatter
 we are all one race. The Human Race! I pray for those who have been misguided in this by perpetrating violence. Violence doesn’t honor George Floyd’s life. MLKJR would not have protested this way., we are all one race. The Human Race! I pray for those who have been misguided in this by perpetrating violence. Violence doesn’t honor George Floyd’s life. MLKJR would not have protested this way.
I Am George Floyd was a very powerful message by Lil B as he's calling names to the ones who got shot and killed by the police that didn't deserve to die Pay Attention It's Time To Wake Up Fight For Your Rights Raise Your Voice And Don't Be Afraid @LILBTHEBASEDGOD #BLM ,I Am George Floyd was a very powerful message by Lil B as he's calling names to the ones who got shot and killed by the police that didn't deserve to die Pay Attention It's Time To Wake Up Fight For Your Rights Raise Your Voice And Don't Be Afraid @LILBTHEBASEDGOD #BLM 
"Does anyone have an @TheAthletic account so I can read this? They need to make all articles related to Black Lives Matter free, the same way other news outlets make coronavirus info free #Hokies","Does anyone have an @TheAthletic account so I can read this? They need to make all articles related to Black Lives Matter free, the same way other news outlets make coronavirus info free #Hokies"
Yes. This is a must watch video. #BLM #BlackLivesMatter ,Yes. This is a must watch video. #BLM #BlackLivesMatter 
BLACK LIVES MATTER!! ,BLACK LIVES MATTER!! 
The hypocrisy in what you just said proves you care about the injustice of certain agenda aligning black lives when all black lives matter.,The hypocrisy in what you just said proves you care about the injustice of certain agenda aligning black lives when all black lives matter.
"I’ve been speaking about police brutality for a bit now everyday begin a black male in America #BlackLivesMatter #Linkinbio @Pittsburgh, Pennsylvania https://www.instagram.com/p/CBApsvdFXwl/?igshid=1849i3p22cuig","I’ve been speaking about police brutality for a bit now everyday begin a black male in America #BlackLivesMatter #Linkinbio @Pittsburgh, Pennsylvania https://www.instagram.com/p/CBApsvdFXwl/?igshid=1849i3p22cuig"
"Remember when Jerrod Carmichael said “Jay-z means more to me than Martin Luther King” some were offended but I whole heartedly felt it. In that same context and tone, could Colin Kaepernick and #GeorgeFloyd be two of the most important Black Men/Martyrs in our change for history?","Remember when Jerrod Carmichael said “Jay-z means more to me than Martin Luther King” some were offended but I whole heartedly felt it. In that same context and tone, could Colin Kaepernick and #GeorgeFloyd be two of the most important Black Men/Martyrs in our change for history?"
Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/w9vdswXq via @Change,Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/w9vdswXq via @Change
What an a** Meghan McCain Responded After Her Neighbor Called Her Out For Making False Claims About The Black Lives Matter Protests In New York ,What an a** Meghan McCain Responded After Her Neighbor Called Her Out For Making False Claims About The Black Lives Matter Protests In New York 
"""Overall, in 2019, 24 percent of all police killings were of black Americans when just 13 percent of the U.S. population is black – an 11-point discrepancy."" #BlackLivesMatter ","""Overall, in 2019, 24 percent of all police killings were of black Americans when just 13 percent of the U.S. population is black – an 11-point discrepancy."" #BlackLivesMatter "
Watch Barack Obama's full speech on the George Floyd protests in the Uni... https://youtu.be/0ui923iXlKU via @YouTube like him or not - support him or not — @BarackObama is addressing the issues of our day,Watch Barack Obama's full speech on the George Floyd protests in the Uni... https://youtu.be/0ui923iXlKU via @YouTube like him or not - support him or not — @BarackObama is addressing the issues of our day
Wow !! This aged well #BlackLivesMatter #ImWithKap,Wow !! This aged well #BlackLivesMatter #ImWithKap
These Covid cases about to skyrocket after the protest/riots! It’s still #BlackLivesMatter tho #COVID,These Covid cases about to skyrocket after the protest/riots! It’s still #BlackLivesMatter tho #COVID
@tiktok_us is part of the problem #BlackLivesMatter people should STOP using the platform now,@tiktok_us is part of the problem #BlackLivesMatter people should STOP using the platform now
my heart has been extremely heavy lately and I just needed to vent out how I feel. love you all : _.r.o.d.__ #blacklivesmatter @New Jersey https://www.instagram.com/p/CBAr9m4A3G7/?igshid=3kkzrjbffy8x,my heart has been extremely heavy lately and I just needed to vent out how I feel. love you all : _.r.o.d.__ #blacklivesmatter @New Jersey https://www.instagram.com/p/CBAr9m4A3G7/?igshid=3kkzrjbffy8x
I don’t agree with @TomiLahren but I can’t say that I hate her for voicing her own opinions and beliefs. There’s already to much hate going on in this world and that’s why the #BlackLivesMatter movement is happening. But a video came up on my timeline and,I don’t agree with @TomiLahren but I can’t say that I hate her for voicing her own opinions and beliefs. There’s already to much hate going on in this world and that’s why the #BlackLivesMatter movement is happening. But a video came up on my timeline and
"The same people that were just calling these protesters poor, are making post about being proud to be black and loving their people. POOR black lives matter too. Your “Black pride” is performative sis ","The same people that were just calling these protesters poor, are making post about being proud to be black and loving their people. POOR black lives matter too. Your “Black pride” is performative sis "
A rising star. #BlackLivesMatter ,A rising star. #BlackLivesMatter 
#TrumpOut2020 #BlackLivesMatter ,#TrumpOut2020 #BlackLivesMatter 
@georgefloyd was a bad dude who went to prison 9 times and actually threatened a pregnant woman! Why are we making him a martyr? Trillions in damage for what?? ,@georgefloyd was a bad dude who went to prison 9 times and actually threatened a pregnant woman! Why are we making him a martyr? Trillions in damage for what?? 
@drewbrees You undid all the wonderful things you’ve done for so many in an instant. #WhitePrivilege #DrewBreesIsCancelled #BlackLivesMatter,@drewbrees You undid all the wonderful things you’ve done for so many in an instant. #WhitePrivilege #DrewBreesIsCancelled #BlackLivesMatter
Anyone who values a piece of cloth more than the lives of their fellow citizens doesn’t really love America — not really. cc @drewbrees #BlackLivesMatter,Anyone who values a piece of cloth more than the lives of their fellow citizens doesn’t really love America — not really. cc @drewbrees #BlackLivesMatter
"Please watch, listen, share, and implement. #Facts #BLM #BlackLivesMatter #PatriotAct","Please watch, listen, share, and implement. #Facts #BLM #BlackLivesMatter #PatriotAct"
He went in! #BlackLivesMatter ,He went in! #BlackLivesMatter 
My niece @avery_pannell has pretty much summarized the thoughts and lives of more than 1/2 of black America! Well said babygirl!! Thank you!! All Lives will matter ONLY WHEN #BlackLivesMatter ,My niece @avery_pannell has pretty much summarized the thoughts and lives of more than 1/2 of black America! Well said babygirl!! Thank you!! All Lives will matter ONLY WHEN #BlackLivesMatter 
Are you listening yet? #BlackLivesMatter ,Are you listening yet? #BlackLivesMatter 
I always find it funny how big corporations embrace PRIDE month and speaking out about LGBTQ rights but have to consider things more carefully when they speak out about Black Lives Matter and Racism. #BlackLivesMatter ,I always find it funny how big corporations embrace PRIDE month and speaking out about LGBTQ rights but have to consider things more carefully when they speak out about Black Lives Matter and Racism. #BlackLivesMatter 
Let’s talk about it. #BlackLivesMatter #JusticeforGeorgeFloyd #EqualityForAll #BLM #blacklifematters #GeorgeFloyd,Let’s talk about it. #BlackLivesMatter #JusticeforGeorgeFloyd #EqualityForAll #BLM #blacklifematters #GeorgeFloyd
June 4th is #TiananmenSquareMassacre Day. This is how the world sees us. No deploying our own troop against the civilians. #BlackLivesMatter ,June 4th is #TiananmenSquareMassacre Day. This is how the world sees us. No deploying our own troop against the civilians. #BlackLivesMatter 
When you lose the Generals... #BlackLivesMatter #TrumpOut2020 #TrumpVirus2020,When you lose the Generals... #BlackLivesMatter #TrumpOut2020 #TrumpVirus2020
"I went to the @womensmarch in 2017. They never deployed the military. That, my friends, is white privilege. #BlackLivesMatter ","I went to the @womensmarch in 2017. They never deployed the military. That, my friends, is white privilege. #BlackLivesMatter "
Personal perspective from @nateburleson on @gmfb today. Powerful and heartfelt. #BlackLivesMatter #USNavy,Personal perspective from @nateburleson on @gmfb today. Powerful and heartfelt. #BlackLivesMatter #USNavy
"We must engage in authentic dialogue about truly creating Opportunity for All. This moment illuminates the need to re-create an economic system that marginalizes, stigmatizes, suffers brutality, and perpetuates division. #GeorgeFloyd #educateyourself #PoliceBrutality #economy","We must engage in authentic dialogue about truly creating Opportunity for All. This moment illuminates the need to re-create an economic system that marginalizes, stigmatizes, suffers brutality, and perpetuates division. #GeorgeFloyd #educateyourself #PoliceBrutality #economy"
"#GeorgeFloyd #memorial @Staten Island, New York https://www.instagram.com/p/CBAuEagDSfy/?igshid=xyhpxwi8ir9y","#GeorgeFloyd #memorial @Staten Island, New York https://www.instagram.com/p/CBAuEagDSfy/?igshid=xyhpxwi8ir9y"
Rioters have been destroying property and attacking people there's nothing right about what they do. In the middle of this is antifa and black lives matter and local thugs. I'm willing to have a dialogue but these people aren't willing to talk because they can't win such a debate,Rioters have been destroying property and attacking people there's nothing right about what they do. In the middle of this is antifa and black lives matter and local thugs. I'm willing to have a dialogue but these people aren't willing to talk because they can't win such a debate
My daddy and my brothers are not a threat! They matter. #BlackLivesMatter #EmauniJ #Manleysblendedfamily #GODFamilyCommunity #SAKEbyEmauniJ #CCNAACP #BlessedBookedBusy #ImSMARTandImBEAUTIFUL #BLACKAUTHOR #NATURALHAIR #BLACKGIRLSROCK #blackgirlmagic #WHATDOILOOKLIKE #CDDMGMT,My daddy and my brothers are not a threat! They matter. #BlackLivesMatter #EmauniJ #Manleysblendedfamily #GODFamilyCommunity #SAKEbyEmauniJ #CCNAACP #BlessedBookedBusy #ImSMARTandImBEAUTIFUL #BLACKAUTHOR #NATURALHAIR #BLACKGIRLSROCK #blackgirlmagic #WHATDOILOOKLIKE #CDDMGMT
I guess that includes the rioters and the looters? Antifa and black lives matter they don't know what peace they only want chaos,I guess that includes the rioters and the looters? Antifa and black lives matter they don't know what peace they only want chaos
Well I don't think it was a conspiracy I think George Floyd was murdered by police officers who are sworn to protect. But these rioters and looters nothing is good coming to them. ,Well I don't think it was a conspiracy I think George Floyd was murdered by police officers who are sworn to protect. But these rioters and looters nothing is good coming to them. 
Much respect for you bro for using your platform for positively and truth in these times!! #BlackLivesMatter ,Much respect for you bro for using your platform for positively and truth in these times!! #BlackLivesMatter 
"You must be blind, not the video with Dr.Umar the George Floyd video","You must be blind, not the video with Dr.Umar the George Floyd video"
Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/5XHhZ7hT via @Change,Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/5XHhZ7hT via @Change
"Cardinal Tobin condemns George Floyd death, decries 'purveyors of polarization' https://www.northjersey.com/story/news/new-jersey/2020/06/03/cardinal-tobin-condemns-george-floyd-death-warns-divide-u-s/3137079001/ via @northjersey","Cardinal Tobin condemns George Floyd death, decries 'purveyors of polarization' https://www.northjersey.com/story/news/new-jersey/2020/06/03/cardinal-tobin-condemns-george-floyd-death-warns-divide-u-s/3137079001/ via @northjersey"
GMA is doing a whole segment on BTS/BLM and everything kpop stans have been doing to help #BlackLivesMatter,GMA is doing a whole segment on BTS/BLM and everything kpop stans have been doing to help #BlackLivesMatter
So many people drank 45s kool aid. And NEVER heard Kap’s message. IT WAS NEVER ABOUT THE MILITARY OR THE FLAG! IT WAS ALWAYS ABOUT ENDING THE MANNER AND REASON #GeorgeFloyd died!!!,So many people drank 45s kool aid. And NEVER heard Kap’s message. IT WAS NEVER ABOUT THE MILITARY OR THE FLAG! IT WAS ALWAYS ABOUT ENDING THE MANNER AND REASON #GeorgeFloyd died!!!
Once again. Black Lives Matter. Full Stop. ,Once again. Black Lives Matter. Full Stop. 
Seeing the video of #IyannaDior being attacked hurt my soul. We cannot advocate for black lives matter without accepting everyone that includes our black trans brothers and sisters. #BlackLivesMatter #BlackTransLivesMatter,Seeing the video of #IyannaDior being attacked hurt my soul. We cannot advocate for black lives matter without accepting everyone that includes our black trans brothers and sisters. #BlackLivesMatter #BlackTransLivesMatter
This is a step in the right direction for actionable steps. #BlackLivesMatter #BlackLivesMatterLA,This is a step in the right direction for actionable steps. #BlackLivesMatter #BlackLivesMatterLA
It was to see @MYAPLANET9 at the #DCProtests last night. #BlackLivesMatter,It was to see @MYAPLANET9 at the #DCProtests last night. #BlackLivesMatter
