text,tweet_text
This shit is real this gave me chills #blacklivesmatter #GeorgeFloyd #dcprotest,This shit is real this gave me chills blacklivesmatter George Floyd dcprotest
We turned on the night light for him so he dreams about #BlackLivesMatter Plaza ,We turned on the night light for him so he dreams about Black Lives Matter Plaza 
We demand the arrest of ALL the officers involved in the murder of #GeorgeFloyd! #WeAreDoneDying #JusticeForGeorgeFloyd,We demand the arrest of ALL the officers involved in the murder of George Floyd! We Are Done Dying Justice For George Floyd
"I’m sorry, but as much as I want justice and peace for George Floyd and his family, that event earlier today was a DNC Convention that featured a funeral.","i am sorry, but as much as I want justice and peace for George Floyd and his family, that event earlier today was a DNC Convention that featured a funeral."
Look at John McCain's Daughter making sense ..... #BlackLivesMatter ,Look at John mccain is Daughter making sense ..... Black Lives Matter 
"Another remarkable visual: Peaceful #GeorgeFloyd demonstrators here outside the White House are now sitting, phone lights on, singing “Lean On Me” — all while military and federal police stand in front of military vehicles guarding the White House. ","Another remarkable visual: Peaceful George Floyd demonstrators here outside the White House are now sitting, phone lights on, singing ""Lean On Me"" — all while military and federal police stand in front of military vehicles guarding the White House. "
"While he hides behind his fence afraid/alone, I stand w/ people peacefully exercising their First Amendment Right after the murder of #GeorgeFloyd &amp; hundreds of years of institutional racism There are no vicious dogs &amp; ominous weapons. There is just a scared man. Afraid/alone...","While he hides behind his fence afraid/alone, I stand w/ people peacefully exercising their First Amendment Right after the murder of George Floyd &amp; hundreds of years of institutional racism There are no vicious dogs &amp; ominous weapons. There is just a scared man. Afraid/alone..."
The president just retweeted a post attacking the character of George Floyd ,The president just retweeted a post attacking the character of George Floyd 
BREAKING. Some protesters have jumped the gated barrier at Lafayette Park. US Park Police push them back. The White House is behind the US Park Police l & the Secret Service. @MSNBC @nbcwashington #GeorgeFloyd – at The White House,BREAKING. Some protesters have jumped the gated barrier at Lafayette Park. US Park Police push them back. The White House is behind the US Park Police l & the Secret Service.   George Floyd – at The White House
"Thanks for FaceTiming me from #BlackLivesMatter Plaza, Senator @KamalaHarris.","Thanks for FaceTiming me from Black Lives Matter Plaza, Senator "
Ayo this touched my heart #BlackLivesMatter ,Ayo this touched my heart Black Lives Matter 
 NEW — CLERGY member who was at St. Johns Church says: “I AM SO [EXPLETIVE] OFFENDED” They had NO idea President Trump was coming... “No one knew about this stunt” A clergy member is telling me right now that President Trump “walked on holy ground””sacrilege” #GeorgeFloyd @WUSA9," NEW — CLERGY member who was at St. Johns Church says: ""I AM SO [EXPLETIVE] OFFENDED"" They had NO idea President Trump was coming... ""No one knew about this stunt"" A clergy member is telling me right now that President Trump ""walked on holy ground""""sacrilege"" George Floyd "
Let’s all meet here soon. #BlackLivesMatter ,let is all meet here soon. Black Lives Matter 
"Atlanta Mayor: ""You are disgracing our city, you are disgracing the life of George Floyd"" You see how easy it is to denounce rioting? Why are so many Democrats still struggling to do this? https://twitter.com/CBSNews/status/1266542248986062849/video/1","Atlanta Mayor: ""You are disgracing our city, you are disgracing the life of George Floyd"" You see how easy it is to denounce rioting? Why are so many Democrats still struggling to do this? "
"Yesterday my team and I got a chance to make history when DC’s Mayor Bowser had us create these #blacklivesmatter signs to be installed in DC! I so proud was of her when they asked me to design it! In fact, we are all so proud of her for making her stance clear! ","Yesterday my team and I got a chance to make history when dc is Mayor Bowser had us create these blacklivesmatter signs to be installed in DC! I so proud was of her when they asked me to design it! In fact, we are all so proud of her for making her stance clear! "
"A protester holds a sign outside the U.S. Capitol. It reads, “The system is not broken. It was built this way. #BlackLivesMatter.” – at US Capitol West Lawn","A protester holds a sign outside the U.S. Capitol. It reads, ""The system is not broken. It was built this way. Black Lives Matter."" – at US Capitol West Lawn"
"Black Lives Matter Plaza has a new addition: DEFUND THE POLICE, which @DMVBlackLives are appending to the yellow letters Mayor Bowser had painted along 16th on Friday. They’d criticized it as a “performative distraction from real policy changes.”","Black Lives Matter Plaza has a new addition: DEFUND THE POLICE, which  are appending to the yellow letters Mayor Bowser had painted along 16th on Friday. they would criticized it as a ""performative distraction from real policy changes."""
"#NOW: On the fourth day of nationwide protests after the death of George Floyd, hundreds are setting out from DC’s U Street for a march toward the White House. Their starting chant: “No justice, no peace.” Later, it’s “Derek Chauvin, third degree—fuck that, it’s first degree.” ","NOW: On the fourth day of nationwide protests after the death of George Floyd, hundreds are setting out from dc is U Street for a march toward the White House. Their starting chant: ""No justice, no peace."" Later, it is ""Derek Chauvin, third degree—fuck that, it is first degree."" "
"As the sun comes up on the carnage from this weekend; as the nation still grapples with effects of #Covid19; as communities across our nation reel from the murder of #GeorgeFloyd, I reflect upon your own words “I don’t take responsibility at all” and thank you for the reminder. ","As the sun comes up on the carnage from this weekend; as the nation still grapples with effects of Covid19; as communities across our nation reel from the murder of George Floyd, I reflect upon your own words ""I don't take responsibility at all"" and thank you for the reminder. "
IF YOU CAN READ THIS - DC PROTESTERS NEED YOU TO TWEET @MayorBowser @ChiefNewsham @charlesallen @SafeDC AND DEMAND @DCPoliceDept LET PEOPLE KETTLED AT 15th &amp; U NW AND 14TH &amp; SWANN NW GO NOW @Blklivesmatter #StopMPD,IF YOU CAN READ THIS - DC PROTESTERS NEED YOU TO TWEET     AND DEMAND  LET PEOPLE KETTLED AT 15th &amp; U NW AND 14TH &amp; SWANN NW GO NOW  Stop M P D
"#NOW: Chants of “say his name, George Floyd” echoing across Capitol Hill for one of several protests planned throughout DC today. Hundreds of people are gathered around the reflection pool hearing from black activists after a short march from the National Archives. ","NOW: Chants of ""say his name, George Floyd"" echoing across Capitol Hill for one of several protests planned throughout DC today. Hundreds of people are gathered around the reflection pool hearing from black activists after a short march from the National Archives. "
NEW VIDEO: DC @MayorBowser’s Chief of Staff John Falcicchio just told me the Mayor installed new Black Lives Matter light projections near the White House. They’re on two buildings on the newly named Black Lives Matter Plaza. #BlackLivesMatterPlaza @falcicchio @nbcwashington – at The White House,NEW VIDEO: DC  is Chief of Staff John Falcicchio just told me the Mayor installed new Black Lives Matter light projections near the White House. they are on two buildings on the newly named Black Lives Matter Plaza. Black Lives Matter Plaza   – at The White House
This is what #BlackLivesMatter plaza looks like from above. #blm #georgefloyd #WashingtonDC,This is what Black Lives Matter plaza looks like from above. blm georgefloyd Washington D C
"We’ve walked this path before, and will continue marching on, hand in hand, elevating our voices, until justice and peace prevail. Thank you for joining me at Black Lives Matter Plaza, in front of the White House, @repjohnlewis. – at The White House","we have walked this path before, and will continue marching on, hand in hand, elevating our voices, until justice and peace prevail. Thank you for joining me at Black Lives Matter Plaza, in front of the White House,  – at The White House"
