"tweet_id";"permalink";"username";"to_person";"text";"tweet_created_dt";"retweets";"favorites";"mentions";"hashtags";"geo";"record_inserted_date";"state";"radius";"search_keyword"
"1267489163454156803";"https://twitter.com/sneakerjqueen/status/1267489163454156803";"sneakerjqueen";"";"#BlackLivesMatter ";"2020-06-01 16:12:20";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 09:35:31";"Washington, D.C";"100mi";"BlackLivesMatter"
"1267489257830187019";"https://twitter.com/SydneyTeese/status/1267489257830187019";"SydneyTeese";"";"#georgeFloyd ";"2020-06-01 16:12:42";"0";"0";"";"#georgeFloyd";"";"2020-07-29 09:39:50";"Washington, D.C";"100mi";"georgesfloyd"
"1267489302252060683";"https://twitter.com/TLOPrince/status/1267489302252060683";"TLOPrince";"";"We won’t be silent no more #BlackLivesMatter #2020Protests #juneteenth2020";"2020-06-01 16:12:53";"0";"1";"";"#BlackLivesMatter #BlackLivesMatter #2020Protests #juneteenth2020";"";"2020-07-30 11:57:26";"District of Columbia";"200mi";"BlackLivesMatter"
"1267489461094547456";"https://twitter.com/aldermo28/status/1267489461094547456";"aldermo28";"Nancy4PAHouse";"Proud to support this strong leader to be our next state rep. Not afraid to call out the murder of George Floyd at the hands of those paid to protect him. Also not afraid to call out PA House GOP leadership for endangering lives for partisanship. #LeadershipMatters #Nancy4PA152";"2020-06-01 16:13:30";"0";"1";"";"#LeadershipMatters #Nancy4PA152";"";"2020-07-30 12:11:43";"District of Columbia";"200mi";"georgesfloyd"
"1267489507886186496";"https://twitter.com/beingexemplaryX/status/1267489507886186496";"beingexemplaryX";"";"It should never be ""my country: right or wrong"" - it should be ""my country: fix what's wrong"" and right now that's a lot, I'm not a politician, I'm not an influncer, I'm a guy from a small town saying ""I see it and how can I help"" #BlackLivesMatter #saveblacklives";"2020-06-01 16:13:42";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter #saveblacklives";"";"2020-07-30 11:57:26";"District of Columbia";"200mi";"BlackLivesMatter"
"1267489649498480641";"https://twitter.com/jordanforever66/status/1267489649498480641";"jordanforever66";"Love_Vixen";"I understand that but what’s at work right now has nothing to do with George Floyd may he rest in peace or police brutality. This has to do with other forces trying to destroy everything this country stands for.";"2020-06-01 16:14:15";"0";"0";"";"";"";"2020-07-30 12:11:43";"District of Columbia";"200mi";"georgesfloyd"
"1267489807795662850";"https://twitter.com/kbsquared1961/status/1267489807795662850";"kbsquared1961";"ZekeJMiller";"Our Wreck-it-Ralph @RalphNortham Governor of Va sure dictated total control when in the midst of #COVID19 pandemic, but now is letting rioters &amp; looters run wild in Richmond to “get out their emotions” as the now Democrat mantra goes. #GeorgeFloyd #AmericaStrong ";"2020-06-01 16:14:53";"0";"0";"@RalphNortham";"#COVID19 #GeorgeFloyd #AmericaStrong";"";"2020-07-30 12:11:43";"District of Columbia";"200mi";"georgesfloyd"
"1267489963958054912";"https://twitter.com/drewwest_press/status/1267489963958054912";"drewwest_press";"";"Scenes across America: White people encouraging black folks to use violence, setting up pallets of bricks, rocks. I question their motives. Are they trying to make things worse? Trying to get them killed? #GeorgeFloyd #GeorgeFloydProtests #BLM #BlackLivesMatter";"2020-06-01 16:15:30";"0";"1";"";"#GeorgeFloyd #GeorgeFloydProtests #BLM #BlackLivesMatter #BlackLivesMatter";"";"2020-07-30 12:11:43";"District of Columbia";"200mi";"georgesfloyd"
"1267489975295258624";"https://twitter.com/morgan_mcmichen/status/1267489975295258624";"morgan_mcmichen";"";"#COVID19 #BlackLivesMatter ";"2020-06-01 16:15:33";"0";"0";"";"#COVID19 #BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 09:35:30";"Washington, D.C";"100mi";"BlackLivesMatter"
"1267490004198199298";"https://twitter.com/f_winfield/status/1267490004198199298";"f_winfield";"";"@realDonaldTrump YOU NEED TO ACT AND NOT APPARENTLY HIDE IN A BUNKER THAT IS BEING REPORTED. YOU NEED TO FIGHT THESE THUGS DAMAGING THE LIVES OF THE INNOCENT. If this were about George Floyd it would have ended with his brother's call for peace. ACT TOUGH LIKE YOU SAY YOU ARE.";"2020-06-01 16:15:40";"0";"0";"@realDonaldTrump";"";"";"2020-07-30 12:11:43";"District of Columbia";"200mi";"georgesfloyd"
"1267490850860400641";"https://twitter.com/SamdarshSondh/status/1267490850860400641";"SamdarshSondh";"";"PSA “What happened to George Floyd is wrong, but...” = “I know George Floyd is innocent and was murdered for being black, but...” #Blacklivesmatter #GeorgeFloyd";"2020-06-01 16:19:02";"0";"0";"";"#Blacklivesmatter #Blacklivesmatter #GeorgeFloyd";"";"2020-07-29 09:39:50";"Washington, D.C";"100mi";"georgesfloyd"
"1267491019987320834";"https://twitter.com/davis_j_villano/status/1267491019987320834";"davis_j_villano";"";"UPTOWN NYC FRIENDS: Join your community with @MartiGCummings to protest police brutality in our City tomorrow, June 2nd. Information below, DM me if you have questions! Take action, show your support, join us #BlackLivesMatter #GeorgeFloyd #protests2020";"2020-06-01 16:19:42";"0";"6";"@MartiGCummings";"#BlackLivesMatter #BlackLivesMatter #GeorgeFloyd #protests2020";"";"2020-07-30 12:11:43";"District of Columbia";"200mi";"georgesfloyd"
