sentiment,tweet_text
joy,On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a close contact with people whom I regard greatly.
fear,"Every time I imagine that someone I love or I could contact a serious illness, even death."
anger,When I had been obviously unjustly treated and had no possibility of elucidating this.
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.
disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.
joy,After my girlfriend had taken her exam we went to her parent is place.
fear,"When, for the first time I realized the meaning of death."
anger,When a car is overtaking another and I am forced to drive off the road.
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand."
disgust,When I found a bristle in the liver paste tube.
joy,When I pass an examination which I did not think I did well.
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident."
anger,When one is unjustly accused of something one has not done.
sadness,When one is studies seem hopelessly difficult and uninteresting.
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted."
joy,Passing an exam I did not expect to pass.
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable.
joy,When I had my children.
fear,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.
anger,When my partner was attacked and lost three teeth.
sadness,When I see children on T.V from areas devastated by drought and war.
disgust,When I nearly walked on a blindworm and then saw it crawl away.
joy,When my child was born.
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head."
anger,"Unjust accusations directed at me and my way of acting, by someone close to me."
sadness,Failing an examination.
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness."
joy,When I saw a person I had not seen for a long time.
fear,"When, as a child, I was nearly knocked down by a car."
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way."
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else."
disgust,When one learns through the mass media all the wars and killing going on in the world.
joy,When I was accepted for a course on finance and accounting.
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened."
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own."
sadness,When I was not accepted as a student in finance and accounting.
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted.
joy,Passed an exam by 2 points.
fear,"In a cottage in a large forest, I was alone for a while in the dark."
sadness,Railway station good-bye.
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter.
joy,I passed an exam that I was absolutely certain that I had failed.
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard; I was very scared till I managed to get him back onboard."
anger,I locked myself out.
sadness,I missed the last tram home and had to walk in the pouring rain.
disgust,I found some worms in the food and I had obviously eaten some.
joy,When I won a trip to Greece in a competition.
fear,When I am out in the dark and a suspicious looking character comes towards me.
anger,"At work, when an elderly man complained unjustifiably about me and distrusted me."
sadness,When I had not understood anything after a lecture.
disgust,When an alcoholic stood dribbling over a food counter.
joy,At a friend is birthday party with some of my closest friends. It was all very pleasant and one could say that I was happy to have such good friends.
fear,On the way home one Friday night in the heavy rain the car acquaplanned. I lost contact with the road surface for a few seconds.
anger,Mad at my dad.
sadness,A case of unrequited love.
disgust,A bad smelling cucumber.
joy,I felt very happy when I won the football pools.
fear,When I flew from Athens to Copenhagen after a holiday. The plane was caught in a storm and it began to shake and I thouhght that we were going to crash.
anger,When someone stole my bike.
sadness,"When I saw the list of books to read for an acccouting course, I thought "" Oh God how will I ever manaage it!"""
disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000. An illustration showed a frog between two pieces of bread.
joy,When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned. It works out well and we enjoy ourselves.
fear,"When I could not find my 2 year old daughter. I ran and looked for her everywhere and could not find her. I finally found her, she had gone to bed to sleep"
anger,When friends try to put me down or hurt me.
sadness,Marriage crises. Boredom.
disgust,When someone makes advances that one does not want.
joy,When I passed the first examination that I had to repeat.
fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.
anger,When my boyfriend went away for a month long holiday without me.
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.
disgust,When a dog is left whining outside a shop.
joy,The day I was told that I had been accepted as a student of economics.
fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money. I was scared and was saved only by the appearance of other people."
anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking. My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used ."
sadness,At the begining of a new course one is afraid of encountering problems one can not manage. Thoughts revolve around failing the subject and the consequences it would have for the future.
disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol. They terrified him with the thought of arrest by driving close behind him on a pedestrian street. My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.
joy,When I found out that I had passed the last two exams by amargin of three marks.
fear,When my father was ill and was waiting for the results of his tests.
anger,When I got caught in the pouring rain last Thursday and did nothave a raincoat on me.
sadness,When I failed an exam.
joy,When I gave birth to my son and saw that he was alive and that Ihad managed it well. He was born a month too early with amalfunctioning lung. This happened a year ago.
fear,When I found out that my father had lung cancer and they did notknow how long he would live.
anger,"When a colleague asked me for help at work, despite the factthat he had more time to do it than I had."
sadness,When I did not get the salary increase that I had been expectingand understood how little one is work was appreciated.
disgust,When I was weeding the garden I found a lizard in my hand.
joy,"New year is eve 1983/1984, I met my girlfriend. We stood on the steps outside her parents home and I kissed her for the first time."
