ori_sentiment,tweet_text,sentiment
anger,shut up hashtags are cool #offended,anger
anger,it makes me so fucking irate jesus. nobody is calling people who like hajime abusive stop with the strawmen lmao,anger
anger,Lol Adam the Bull with his fake outrage...,anger
anger,passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. that is rough stuff,anger
anger,lol wow i was gonna say really?! haha have you seen chris or nah? you dont even snap me anymore dude!,anger
anger,I need a 🍱sushi date🍙 🍝an olive guarded date🧀 and a 👊🏼Rockys date🍕,anger
anger,"And Republicans, you, namely Graham, Flake, Sasse and others are not safe from my wrath, hence that Hillary Hiney-Kissing ad I saw about you",anger
anger,\n\nLike a rabid dog I pulled out the backs of my cupboards looking for a bakewell..Found a french fancie &amp; a mini batternburg #Winner!,anger
anger,it is very telling that racist bigots always resort to the insult 'fag' like that is worse than being a racist bigot.,anger
anger,Follow up. Follow through. Be #relentless. #success,anger
anger,dude the new madden 17? Haha,anger
anger,if he can not come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser,anger
anger,Lol little things like that make me so angry x,anger
anger,One more day tiff.. One more day!,anger
anger,"Me being on my dean really saving a lot of ppl, bc I do not snap nomore &amp; it take so much out of me..",anger
anger,Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview,anger
anger,Women do not like girls because we resent them for looking so great/we wish we still looked like that #washed,anger
anger,"where is your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger
anger,I swear I got anger issues but my heart big AF...,anger
anger,75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger
anger,This is a joke #fuming,anger
anger,I just love it when people make plans for me without actually including me in this process #rage,anger
anger,"Be quick to #listen, slow to #speak, and slow to .",anger
anger,"it will be like burning rap albums; they will have to buy it first, but gosh darn it, they have to get rid of it.",anger
anger,"Haha.... Actually, after the Doggies i am barracking for Anyone But GWS! #bitter",anger
anger,my wasp sting is so itchy,anger
anger,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc not sure anybody has it better!",anger
anger,Don King is an insult to the intelligence of the Black Community. What are these people thinking?,anger
anger,giroud is beard is making me angry.,anger
anger,i will be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger
anger,"Well, not Archie. No offense but he is kinda old.",anger
anger,wow. not heard this in forever. Random but. great #xph,anger
anger,Me and these burns that I pick up off the pitches do not get on at all like 😢😢 #sting,anger
anger,ICQ is just making me mad!!!😤 #icq #angry,anger
anger,"If angry, bash out your frustration on the pastry #GBBO",anger
anger,. than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger
anger,oh dear I have to watch this the woman with the pout did well,anger
anger,He totally knew about it'. Trump finally gets revenge for his son-in-law is prosecution/imprisonment and throws Christie under the bus.,anger
anger,decorations are up all over Jersey already #outrage,anger
anger,we are going to get City in the next round for a revenge.,anger
anger,or in my case a raging moody cow lol why i buy moody cow socks lol,anger
anger,No respect for people who force their opinions on to others yet get offended when someone does the same to them 😂,anger
anger,here is a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger
anger,"Why to have vanity sizes?Now sizes S,XSevenXXS sometimes are too big, WTF?! Dear corporate jerks, Lithuania did not need this. #rant #angry",anger
anger,"Ultimately, #KeithScott was not the man they were there to hand an arrest warrant to. that is what we know. that is enough to because outrage.",anger
anger,I genuinely think I have anger issues,anger
anger,Nick said he is territorial and he will growl if someone gets too close to me #hesananimal,anger
anger,"'Just by getting lost! I do not want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",anger
anger,"In fact, sometimes i do not get furious at people who wrong me, but i get furious at myself for being a fool.",anger
anger,"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx. #KGB #G-town #fury",anger
anger,When you forget to mention you were bought dreamboys tickets 🙄😂 #raging,anger
anger,"All this from a cigarette burning in laura is hand, the angle of her chin, the purse of her lips.'104 Gorgeous transition!",anger
anger,So Rangers v Celtic ll #revenge,anger
anger,"#scorpio is can withdraw to a quiet place after being hurt, only to think of a plan to sting back.",anger
anger,"Haha.... Actually, after the Doggies i am barracking for Anyone But GWS!",anger
anger,I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils,anger
anger,I can see how this will end\nIn all its bitter tragedy\ni will give you all I have to spend\nAnd you will give nothing back to me,anger
anger,You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger
anger,"Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations.",anger
anger,I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #fuck #die #hatered,anger
anger,thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks,anger
anger,I did that! 3 days later my order is not even in the same postcode as me,anger
anger,I do not think Monalisa has respect for anyone but herself! I think she will ruffle a few feathers. #TheJail,anger
anger,Another loss to city in the cup next 🙈 😂😂 cmon united!,anger
anger,So i am not being shady but one of jongdae is ex rumoured girlfriends is going on WGM i am not saying i am over joyed but i am over joyed #bitter,anger
anger,Unbelievable takes 10 minutes to get through to then there is a fault and the call hangs up #treatcustomersfairly,anger
anger,I do not know... Wasn't punk mostly about white men throwing tantrums?,anger
anger,Skipping meals is the national way of showing #disappointment and . #wiz,anger
anger,"he is stupid, I hate him lol #bitter",anger
anger,#bitter sums it up! Congrats Nicole! that is all folks #bb18 now onto #survivor !,anger
anger,"any time a man who got paid to throw temper tantrums speaks up, you gotta listen.",anger
anger,I wonder what would happen if I were to tell some people the truth #savage #uhoh #angry,anger
anger,Cheap pout my brodcast,anger
anger,Houston might lose a coach tomorrow or by midnight. #yikes #offense?,anger
anger,has turned into a rather fiery GG radical,anger
anger,Insider This man is an affront to our justice system.,anger
anger,When you have still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 #oldcunt,anger
anger,wow I just realized how much of a sexist pig I am! I am truly sorry to anyone I offended,anger
anger,Howard Webb always held up as knowing the answers. No red. Sutton and Craigan raging! Hahaha,anger
anger,"With a frown, she let is out a distraught 'Gardevoir' saying that she wishes she had a trainer",anger
anger,some of the casuals tweets that Vic has faved are making me gag,anger
anger,Terence- got a lot of anger issues from my family and school.,anger
anger,he is spent his campaign dividing people up and pitting them against each other. His message is to fear and resent the 'other',anger
anger,She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger
anger,Jared + #snap? 💘,anger
anger,you came in at silly o'clock and woke me up that is what happened #wasted #fuming,anger
anger,Finally uploaded the file I needed to the university server is drop box. It took like half an hour and a lot of cursing and anger on my part,anger
anger,My nephew sees that i have a frown on my face and he tells me 'you are beautiful '!😢💞😩,anger
anger,"Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff 🙄",anger
anger,"Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage",anger
anger,there is this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me will know,anger
anger,"says, who are you to compared me with the others; i am just human. #lit #fire",anger
anger,"No, nipples do not offend me lol. But it is sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.",anger
anger,I hope my hustle do not offend nobody,anger
anger,ramos does what he does best burning haters with his head,anger
anger,I was not meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage,anger
anger,"If my luck the rest of Fall goes anything like today, I think i am going to like this season. #bestdayever #magic #work",anger
anger,"if it hurts too much to eat, i read somewhere that marshmallows are good bc they are soft and do not irritate",anger
anger,The book im riteing about wots happond has made them moor angry but im not here to plese man or hide the eval deeds of some,anger
anger,"Don't join they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly!",anger
anger,sorry to burst the bubble but there was never any illusion 🙈😂😂,anger
anger,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger
anger,cmode grimrail made me want to eat angry bees,anger
anger,my mom cut my phone off and i am so furious 🤗,anger
anger,Don't chase fame\nif you are going\nto resent it\nwhen it starts\nchasing you'\nWRDSMTH,anger
anger,I hate not having the answers I need. #tomourssuck #prayinsnotcancer #angry,anger
anger,So excited to watch #allstars \n #RuPaul,anger
anger,So my Indian Uber driver just called someone the N word. If I was not in a moving vehicle i would have jumped out #disgusted,anger
anger,These NA kids are relentless,anger
anger,Why mfs so bitter,anger
anger,Like hello? I am your first born you must always laugh at my jokes. #offended,anger
anger,"I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE.",anger
anger,i have hit a lot of irate villa fans lol,anger
anger,eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol,anger
anger,"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of £20 I was fuming I miss you",anger
anger,Gotta wonder why Caller Max listens to the show in the first place if you so incense him,anger
anger,"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere",anger
anger,A black female LEO💙 was shot 8 times and died in Philadelphia --where is the #outrage black people? #Sharpton #blm #TheFive,anger
anger,Now they fret about scuffs. i will take scuffs which…come in for a phone I can use wet handed or drop in a toilet any day.,anger
anger,I need all your attention! If I do not i will pout..,anger
anger,I believe i am gonna start singing in my snap stories on the tractor. Switch it up a little bit.,anger
anger,please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,anger
anger,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #stop,anger
anger,That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,anger
anger,happy birthday to my seed‼️‼️‼️ #renewtherivalry #imyourdaddy #cantbeatme #madden #tater,anger
anger,"we will have a ceremony next time we meet. it will involve burning something, then possibly booze and/or caffeine.",anger
anger,I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old!,anger
anger,"A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court.",anger
anger,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. 1 assist.,anger
anger,broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,anger
anger,"What the fuck am I supposed to do with no lunch, no dinner, no money and i am off to work #hangry #day5",anger
anger,fury road!!,anger
anger,I wish the next madden has a story mode too. Just like Fifa 17,anger
anger,i already gets aggravated too fast like why aggravate me on purpose?,anger
anger,Yo gurls Dm for a tribute 😜💦 #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow,anger
anger,😂😂 Oh the zombie rage 😂,anger
anger,Circle K is dead to me. I hate your new slushie machine. #livid,anger
