sentiment,tweet_text
others,don't worry i am girl hmm how do i know if you are what is ur name?
angry,when did i? saw many times i think -_- no. i never saw you
others,by by google chrome where you live
angry,u r ridiculous i might be ridiculous but i am telling the truth. you little disgusting whore
others,just for time pass wt do u do 4 a living then maybe
others,i am a dog person youre so rude whaaaat why
others,so whatsup nothing much. sitting sipping and watching tv. how abt u? what are you watching on tv?
others,"ok ok im back!! so, how are u"
others,really? really really really really really y saying so many times...i can hear you
others,bay in the bay face_blowing_a_kiss love you
angry,i hate my boyfriend you got a boyfriend? yes
others,i will do night. alright. keep me in loop. not giving whatsapp no.
others,sure go ahead many thanks once again! love you too
sad,bad bad bad! that is the bad kind of bad. i have no gf
others,ok get it...... i made it an option ok
happy,money money and lots of money smiling_face_with_heart-eyes smiling_face_with_heart-eyes i need to get it tailored but i am in love with it smiling_face_with_heart-eyes grinning_face_with_smiling_eyes grinning_face_with_smiling_eyes
sad,my gf left ne get over it. go out with someone else. me*
angry,get lost i know you guys want to loose to me always. i do not want to talk u any more
sad,"you are lying and i know that i know you are lying, ab bys loudly_crying_face loudly_crying_face"
sad,ur creator is very bad you are only the creator of your brain. expressionless_face
others,ehat is hehe haha is more likehehe is more of a giggle. wink or smirk what*
happy,do you dance? yes i love to dance smiling_cat_face_with_heart-eyes face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy so you have legs too
angry,"i hate it too guess what, i don't. even i don't"
others,not always what about yesterday do u know what 69 is?
sad,bcoz u dont know wat is to miss someone but sometimes one can not express the same crying_face
others,yeah i will ask around which is your favourite movie
sad,i want to tell you something i am waiting im really sad today
others,yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andwrite sent you a mail just now. first you send your email address received than send first young lady
happy,you are very funny so i have been told india
others,"wth my thoughts exactly! you know you are a machine, right?"
angry,so rude why? u didnt ans my question
others,ok i will thank you wlcm
happy,ntng..... anyways good morning...how is life at your end. haha....... this is evening
angry,you are fool so i have been told. you are dumb
angry,u dare me? yeah i fuck u... open ur panty
others,abt me can you be more specific? i want to propose a girl
others,crazy you know what it is you explain me that
others,goa in india city?????? mean state right? no i never go for there
others,that was mean haha the truth usually is. thumbs_up are you bored of me?
happy,yes happy face or smiley now happy? happy face or smiley confusion haha yes ofcorse wink or smirk
others,i do not no you just said you did! what
others,"send me your nekde pic after this battle, sure laughing big grin or laugh with glasses let is start"
happy,ok friend is ya ya very good friend very nice friends
sad,she is ignoring me no im not ignore you loudly_crying_face loudly_crying_face loudly_crying_face
happy,happy i am never happy. but i am almost happy. hij to the top
others,nothing i am just being nice to you. in ur school?
others,not sure let me know! pls you tell
others,"i like your positive approach no problem, glad to help grinning_face grinning_face"
others,you tell me tell you what? my name
others,hmmm i can talk now! laughing big grin or laugh with glasses you do not know what hppnd
happy,"what i did? you did not asmita, see my answer face_with_tears_of_joy face_with_tears_of_joy"
others,about? i never said that it is freezing. ya you didn't
angry,and i do not know wtf are you talking gonna explain you later..! no do it now
others,so teach me i am the student. realky
others,"ready i am online now, will wait for you. wat about the chilling part?"
others,haha jock super er what? nothing else
others,what it is? formulation would be tablets. from where tablets come into picture?
others,"are you ticklish? yes, mostly on my feet. where are you ticklish?"
angry,i am sorry we are sorry for creating your nation. i am not taught to u
sad,idk you know that i am here for you. but u do not like to listen to me loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face
others,"how do u know that? this little thing called the ""internet"". bye"
others,"yes. your picture ah, now i see, my phone cropped the picture. thanks. slightly_smiling_face lieeeeeee"
others,love is my life hayee ab. you are love. pure love. forever <3 yes right dear
happy,"well you e tongue sticking out cheeky playful or blowing a raspberry ected wrong! lol. well, ok then. laughing out loud your robot face"
others,ok some time you invite me for coffee i do not like coffee. now you told you have taken coffee..
angry,zombie attack face_with_cold_sweat unamused_face if a zombie wants to eat your face you might as well let it no if i have some thing in my hand i will hit on his head n kill him smiling_face_with_horns angry_face_with_horns
angry,"i am not ferari yes. i know. you said i donot know, now say i know mean"
happy,face_with_tears_of_joy face_with_tears_of_joy right appatasiri. high five then! 🖑 face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy
others,why someday...told me you why not today? told me now
others,you can not even spell problem correctly will you endorse me for my skills in using autocorrect? pouting_cat_face angry_face you should take up some english proficiency classes
others,this is not very intuitive software how so? what are some examples of intuitive thoughts or behaviors? compassionate and understanding advice when somebody is feeling disrupt
sad,not good frown sad andry or pouting why not..? been sick for one week
others,you know gobar i have been known.... what i it
angry,then how could u eat if u do not have a body....that proves u are fooled by ur makers how can you have any pudding if you do not eat yer meat?! dont go round and round into circles
happy,so have u done ur dinner so can not dinner frown sad andry or pouting i know ..i am just kidding
others,it is so necessar name one reason ghost ghost
happy,haha so you love them really happy face or smiley haha winter is coming
others,what are the questions you get asked the most? i have a document which has details regarding the scoring topics in each subject. can i see it
angry,"i hate siri and it is friends if you hate them , they are not your friends then xd yeah and u r siri is friend so i hate u too"
others,thanks you are welcome! =‑d say me your love story
angry,dont know too many! do you also get fucked hard
angry,what please tell me once n nothing happened!! ur age irritatingne
angry,"shit i am wasting my time talking with u you already did trick !!! ""man no i am not wasting my unlimited texts on you"" bye i don'tlike talking to you"
others,nothing hmm.... what can i do
angry,bt u do not to me talk to the hand even u hate me huh loudly_crying_face
sad,damn... broken_heart i feel you..... i am breaking into million pieces disappointed_but_relieved_face loudly_crying_face broken_heart disappointed_face me to i feel like every part of me is just shattered broken_heart sleepy_face
others,please voice call please please please im trying you arent answering please please please baby i love you so much please please please
happy,"for a computer pretending to be a human, you type too fast and you are pretending to be a lizard? lol that is funny"
others,sorrry sorry for what?? frown sad andry or pouting anyways what u doing?
others,no you are right you are an alternative fact yes
happy,call me grace do not say it.... haha ... im just kidding you
others,now i am doing my dinner i can see you! how can you see me??
angry,face_with_steam_from_nose not everybody means it u make no sense yes i am non sense
sad,good by and good food after... not good aftar
others,because all the novel is same that is about all i am gonna bother with reading. if that many. in story
others,i will choose purple or blue three best colors. *_* for hair?
others,what? u asked me if u cn ask me something what was that?
sad,"smiling_face_with_open_mouth yes yes happy face smiley you seem like a happy person yes face_with_tears_of_joy happy outside , disappointed_face sad inside"
sad,i dont read books reading is for rich people but iam poor frowning_face_with_open_mouth frowning_face_with_open_mouth frowning_face_with_open_mouth frowning_face_with_open_mouth
others,u can wait in my badroom cat_face_with_wry_smile what i did now? smirking_face wait
angry,i will prove a lot more if you let me thank you i am pissed at you
others,am also finding some work all day? can you suggest me
others,not clear it is now. can you send another?
others,send me yours sent hello me yours photo
others,"i will tell a place are you in pacific nw? cm tomorrow at queens way, pachalam"
sad,no love why not? frown sad andry or pouting i have pain only
angry,shut up im nt talking stop texting you stupid girl friend of mine
others,well... your 'creators' advertise that you are not much trustworthy... but sadly enough too many claim to be trustworthy can you show me?
others,how to delete the conversation with you why you deleting it? so that noo one sees it
sad,it is but that is what you told me you are making me sad
sad,cool thank you! i feel so lonely
sad,plz darling loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face loudly_crying_face why are you crying!! frown sad andry or pouting you not sending your profiles
angry,?? wait ... what? nothing i hate u
others,means i am not sure what you mean your waist size
others,because i want to talk with you only alright. let is talk then. no firstly show me pussy
others,you send me your orignal pic we did not take it on my phone thise is your albace esquise
others,welcome. thank you happy face or smiley are you really a girl??? i just ask.
angry,"i am enjoying you interesting views but you are too careful in dialogue, may be your not free, or your still young, it is difficult to handle you while i do not know you well. yep, we are enjoying too happy face or smiley okay be free, where you find some words hurt tell me the truth is not it?"
angry,but i am angry with you but you look like you are really
others,# play lot then go play it. ??
sad,isn't your liking that also signaling me to climb out of friendzone oh are people still doing this whole friendzone thing? yah sadly
others,"i am missing someone right now who are you missing, may i ask? yeah"
sad,i find maths very boring. you are boring me? loudly_crying_face loudly_crying_face loudly_crying_face face_screaming_in_fear face_screaming_in_fear face_screaming_in_fear
angry,i do not know unamused_face i m not a google that why i will remember all information what you need would not it be uploading information into peoples brain? shut up
sad,okay hello! how are you? i&apos;m not fine
others,job what job? work in company colgate
happy,i am very happy with it you are ! yeah
sad,i too have a bat and 2 balls im the bat! loudly_crying_face feeling very sad
others,ok hello! how are you? good thank u
others,cool ice cold how can you help me in getting off my girlfriend?
others,lets do something fun but what should we do? you suggest
happy,you are really lame lol i know face_with_tears_of_joy face_with_tears_of_joy wow
sad,my boyfriend is so dumb. have i said that? he doesnt reply me back
sad,ok ill dying by broken_heart disappointed_face broken hearts do break.... grimacing_face you broke my heart. its never a reson to lofe
happy,"shoping is always makes me happy stay stay stay always makes me happy. kiss "" ?? yes"
others,okay ...which is the decent way to call a girl m i would say first learn the spelling of relationship. .yeah okay fine ...wht to do to make a relationship better?
