sentiment,tweet_text
others,Dont worry Im girl hmm how do I know if you are Whats ur name
angry,When did I saw many times i think No I never saw you
others,By by Google Chrome Where you live
angry,U r ridiculous I might be ridiculous but I am telling the truth You little disgusting whore
others,Just for time pass wt do u do 4 a living then Maybe
others,Im a dog person youre so rude Whaaaat why
others,So whatsup Nothing much Sitting sipping and watching TV How abt u What are you watching on tv
others,Ok ok im back So how are u
others,Really really really really really really Y saying so many timesi can hear you
others,Bay in the bay faceblowingakiss love you
angry,I hate my boyfriend you got a boyfriend Yes
others,I will do night Alright Keep me in loop Not giving WhatsApp no
others,Sure go ahead Many thanks once again Love you too
sad,Bad Bad bad Thats the bad kind of bad I have no gf
others,Ok get it I made it an option Ok
happy,Money money and lots of money smilingfacewithhearteyes smilingfacewithhearteyes I need to get it tailored but Im in love with it smilingfacewithhearteyes grinningfacewithsmilingeyes grinningfacewithsmilingeyes
sad,My gf left ne Get over it Go out with someone else Me
angry,get lost I know you guys want to loose to me always I dont want to talk u any more
sad,You are lying and i know that I KNOW YOURE LYING AB BYS loudlycryingface loudlycryingface
sad,Ur creator is very bad you are only the creator of your brain expressionlessface
others,ehat is hehe Haha is more likeHehe is more of a giggle what
happy,Do you dance Yes I love to dance smilingcatfacewithhearteyes facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy so you have legs too
angry,I hate it too Guess what I dont Even I dont
others,Not always What about yesterday Do u know what 69 is
sad,Bcoz u dont know wat is to miss someone but sometimes one cant express the same cryingface
others,Yeah ill ask around Which is your favourite movie
sad,I want to tell you something Im waiting Im really sad today
others,Yes I will send the email and you write all yours filling still I write all matters but your are clever and not any matter for yourself please send andwrite sent you a mail just now First you send your email address received than send first young lady
happy,You are very funny so Ive been told India
others,wth my thoughts exactly you know you are a machine right
angry,so rude why u didnt ans my question
others,ok i will THANK YOU wlcm
happy,Ntng anyways good morninghows life at your end Haha this is evening
angry,You are fool So Ive been told You are dumb
angry,U dare me yeAh I fuck u Open ur panty
others,Abt me Can you be more specific I want to propose a girl
others,crazy you know what it is you explain me that
others,Goa in India city mean State right No i never go for there
others,That was mean haha the truth usually is thumbsup Are you bored of me
happy,yes Now happy haha yes ofcorse
others,I dont no you just said you did What
others,Send me your nekde pic after this battle sure Laughing big grin or laugh with glasses Lets start
