sentiment,tweet_text
sadness,Layin n bed with a headache ughhhh...waitin on your call...
sadness,Funeral ceremony...gloomy friday...
fear,Re-pinging why did not you go to prom? BC my bf did not like my friends
sadness,"I should be sleep, but im not! thinking about an old friend who I want. but he is married now. damn, &amp; he wants me 2! scandalous!"
fear,Hmmm. is down
sadness,Charlene my love. I miss you
sadness,i am sorry at least it is Friday?
fear,Choked on her retainers
sadness,Ugh! I have to beat this stupid song to get to the next rude!
sadness,if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol
surprise,Got the news
sadness,The storm is here and the electricity is gone
sadness,So sleepy again and it is not even that late. I fail once again.
fear,lady gaga tweeted about not being impressed by her video leaking just so you know
sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
fear,oh too bad! I hope it gets better. i have been having sleep issues lately too
fear,I ate Something I do not know what it is... Why do I keep Telling things about food
sadness,so tired and i think i am definitely going to get an ear infection. going to bed &quot;early&quot; for once.
fear,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
sadness,"i am sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
fear,Damm servers still down i need to hit 80 before all the koxpers pass me
sadness,Fudge.... Just bs would that whole paper.... So tired.... Ugh I hate school..... time to sleep!!!!!!!!!!!
fear,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
disgust,It is so annoying when she starts typing on her computer in the middle of the night!
sadness,yeah :S i feel all funny because i have not slept enough i woke my mum up because i was singing she is not impressed :S you?
fear,I need skott right now
joy,mmm much better day... so far! it is still quite early. last day of #uds
fear,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
fear,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think i am missing something...
fear,"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i do not feel very well right now"
fear,"Ahh. ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also"
sadness,i am having a problem with my photo here in twitter amf!!!...can't see my face!
fear,why am i so tired?
fear,sucks not being able to take days off of work or have the money to take the trip so sad
sadness,"Aww Onward and upwards now, yay! Still sad to leave I bet."
fear,at once haha. poor aby still gets sore!
sadness,diesel yaris... 70mpg so sad its not available in the US. that would be awesome.
sadness,I want to buy this great album but unfortunately i dont hav enuff funds its &quot;long time noisy&quot;
sadness,Ok ... the passengers ... no one is alive ... they are all dead ... you just do not know it til the end ... then you cry ...
fear,ia so much! i have not really been happy with any of cooks choices for singles.
sadness,i fell asleep on the beach and did not put on enough sunscreen lol
fear,So i think my son might have the flu because I def. just cleaned up a stanky puke mess Poor pumkpin
joy,"So great to see Oin &amp; Cynthia. So happy. Dinner was great, cute little place. Too bad Oin got sick afterwards."
fear,...and all woman who transfer their first impressions sexual/maternal onto a less 'threatening' man -- are themselves as weak as 'Him'
fear,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water"
joy,"dude, that is my favorite sandwich place ever. ummm did you take PICTURES?"
fear,is sad that shin ae got married...and it was not to alex
fear,"Sure you will tweet about this when you are back, but news is abuzz about TR knight is leaving &quot;confirmed&quot; today. Muy triste."
sadness,ohh thursday i have exams.. all day what about wednesday ?
sadness,"i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
fear,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
sadness,I love those 'it isakey' USB sticks. We only have the 4GB in Australia
fear,fresh prince and sleepy sleeps my nightly routine gotta go to Dmv early tmrw
disgust,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can not watch and code
fear,i am jealous of your mom talking to i want to see you all our twittering is making me miss you
fear,I can not sleep...I keep thinking about the puppy I played with today
fear,.. i am suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk iknow&quot; blaahh
fear,"Last one month due to summer, strawberry is not availble in the Chennai markets!"
sadness,hiii im on my ipod...i cant fall asleep
sadness,dont wanna work 11-830 tomorrow but i get paid
sadness,feels sad coz i wasnt able to play with the guys!!!
disgust,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher is life in the summer SUCKS
fear,First ever dropped call on my mobile. On a call to no less! being charged for data even though I have a data pack
disgust,You win ... SIGH Rakeem
sadness,Darn these allergies! I do not like this time of year because of this! I never used to have this problem either
fear,Oh no one minute too late! Oh well
disgust,"Damn, that sucks"
sadness,i wanted to come to BZ this summer :/ not so sure anymore... a teacher is life in the summer SUCKS
disgust,THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
fear,ahh! big scary bug flying around my room!!!!!
sadness,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"
fear,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
sadness,early happy day of birth in case I do not make it! Very tired from therapy today n just taking my medicine! misshu! Love ya!
sadness,Allergies suck ducks nuts. &lt;=====8
disgust,Waraku is tasteless and expensive! Portion is so little!!!!! re: waraku
fear,"He died. Wait, what about Magic Jack? I just read it."
sadness,wonders why her Karma points turned into 0.00.
joy,"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."
sadness,Is miserable i feel like im gona cry sux!
fear,$# My nose stud fell out and I can not find it Looks like i will have to head into Amsterdam today and get a new one
sadness,*sigh* i am going to bed... I just do not feel right anymore...
sadness,Now I am depressed after watching so you think you can dance
sadness,"Just cross 'cause i am stuck twiddling my thumbs now, ugh"
fear,"I cant sleep, but im too sore to move"
fear,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
fear,i cant do anything
sadness,"Last day working for the Uni today, sad times"
fear,My head hurts so bad I could scream!
fear,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
fear,New work wellness challenge not going well. I committed to not check email between 10 pm and 6 am. Failed on first day. Twice
fear,New blog post: Blog auto insuran...: I just found that my auto insurance policy had been expired. I am too careless ... .. Meanw ...
fear,oh men!!!!!!......I really can not see my face........c'mon guys!!!
fear,"i am showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I do not wanna be old"
fear,my sole supporter is not my sole supporter
disgust,don't you hate it when you finish all your work and there is still 1.25 hours left of work time
fear,urgh stop it guys
sadness,is still missing her husband. I really want him home.
sadness,I miss my puppy
surprise,"2 days of this month left, and I only have 400MB left on my onpeak downloads."
sadness,i have given up on pizza kids would never let me have my fav the hot ones
fear,Up reading tabloids about other people is lives...thinking what i am gonna do with mine when my baby leaves?
sadness,yearling in pet home died... very sad for their whole family
fear,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt. But I got to go to First Aid for the first time!
sadness,"We hate change, so of course. we are fans for life. &lt;3 Oh and if we have not met Rob by then something went horribly wrong."
fear,is feeling sad... for some reason..
sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can not take this. -chan is displeased.
sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
fear,"Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"
sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
fear,it wont let me
sadness,Took a shift tomorrow. I do not really feel like working right now.
sadness,but now i have no money for a phone
fear,Spent last night in A&amp;E ER. Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
fear,9 days i am about ready to visit Torchwood and see if they have heard anything
surprise,where are you? In Bris? I can not hear any thunder
surprise,"bec vs fat food --- winner = fat food but not this weeknend, ill beat it!"
sadness,Too bad the Red Devils.. disappointing to say the least
surprise,I had a dream about a pretty pretty beach and there was no beach when I woke up
sadness,"Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 1.2Ghz."
surprise,when da heck will the garage man get here I ask you.. WHEN..
fear,"Ate Mandy, please forgive me. I really am sorry. I do not wanna lose my Bff"
disgust,Umm yeah. that is probably a pretty good note to self because eeeeeewwwwwwww.
fear,why are plane tickets so expensive
fear,Needs a job BADLY!!!
sadness,daaammmnnnnn I do wish I was there.
fear,Went to Di Bella coffee roasters today and asked for a job... The person I needed to speak to is on holiday... #fb
sadness,I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
sadness,is a bad friend
disgust,im doing that shit right now ... im on vacation and you got me workin
disgust,would wish the severe migrains would stop!!! doc is prescriptions arent working
sadness,"No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"
disgust,cuz airlines are super lame.
sadness,Still a pity it comes with no lamb though
sadness,i am sorry to hear that. Here is my optimist: Things will get better. For all of us.
disgust,i am so very tired...and have insomnia.
disgust,"I hate Bakersfield and I hate the Ports, let me go home already. I want to start my vacation."
fear,people in my house do not know how to close doors
surprise,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
fear,I do not like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
sadness,Had to cancel wow for now
fear,wants to make a music profile but i do not have money i do not know how to write music i do not know how to play an instrument and no studio
sadness,But yeah...i am sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
fear,"it is 1:15 AM, and I hear a helicopter flying over my house. that is kind of weird. In other news, my headache is back. BOOOOO."
fear,oh no i am always here ; &lt;3
joy,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."
joy,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
sadness,Up late with nothin 2 do.....
fear,i think the vog is making me sicker than i think. feeling slightly achy
fear,i am doing homework it sux big time maths is the worst!!!!!!
sadness,sometimes i wish things could go back to the way they were the beginning of last summer
fear,"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"
sadness,"I feel the same way, but I guess no matter where you are there will always be memes."
joy,"I Can`t do 30 minutes of Treadmill but done 30 minutes for today already, gonna do 20 minutes more"
fear,i am sooooooooooooo confused
fear,"Work day 7 of 7,"
joy,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
fear,"No refunds but they do retrieve accounts, takes like a week. Just hoping the thief does not use hacks or then it is permaban"
sadness,Cute Malay girl came to seemy room for rent sadly think it was for her guyfreind bit misleading and disappointing LOL
surprise,"EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"
disgust,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
fear,not super keen on the drive home through the rain.. additional concentration required that i do not really wanna deal with
surprise,aw u can not let me in on the secret!
surprise,"Im sorry I do not think I stick out, at least compared to what I used to look like."
fear,"no transport for church wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."
disgust,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
disgust,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
fear,so I tried jumping without the trampoline and its like thud* thud* should not have eaten that cookie.
sadness,"Everytime I send an email to my coach, I feel a need to practice. shitty balls. Lol"
sadness,it is pissing me off and not letting me follow ericka
sadness,Is going to sleep not peaceful wanted to hear him say Good Night but that did not happen Good Night everyone....
sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
surprise,is thinking so much and i am at work
fear,I have forgot the live with the Jonas Brothers on Facebook
sadness,I have not seen Muffin in two whole days!
sadness,i will miss you all back... give my regards...
surprise,my gap year is going so quick
fear,"I have to admit, i am a bit bummed out that I was not with my friends walking today...."
fear,my twitter has been hacked again
sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
disgust,hahaha well its try its so ugly
fear,"I do not even want to know WHY you know about VHEMT, but do not go we would miss you"
surprise,oh no. *hugs*
sadness,i knoww things will not be the samee &lt;/3
fear,"OMG-ness it is 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. i am beat."
joy,i kno i doooo!!!!!!!!!! yall partyin with out me
fear,"Okay, so twitter suddenly changed, how do I respond to messages now"
fear,Decided that no matter how good my hair looks curly it does not justify the burn I get from the curler! My hands covered I suck at it!
sadness,Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck
disgust,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.
fear,sprained my ankle like really badly and tore some stuffs. it hurts! and its my birthday weekend
sadness,I can not believe the Metal Gear Solid song was stolen i am so disappointed
disgust,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
sadness,I wish I had Left 4 Dead. But first i would need something to play it on...
joy,I spilled my beer all over my leg. Wasted half my beer. Home now. I met a cute girl. Good conversation.
disgust,my roommate loves to ignore me
sadness,my teeth and head hurts
sadness,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
disgust,"Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
fear,Hope I get a job cuz we need an apartment. i am drunk &amp; miss my lil punkin TEHE!!!
fear,just got home! not wanting to read the last chaper of breaking dawn because i dont want it to beover
fear,I need to be held... Gnite.
fear,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
sadness,no more arrested development. i am sad.
sadness,omg i keep losing followers this is so sad i want 90 one day....thats my goal ;D
sadness,I feel so deflated. No more doggy.
fear,i wanna see her hair hows everyone?
sadness,"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."
sadness,im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
sadness,just got home! not wanting to read the last chaper of breaking dawn because i dont want it to be over
fear,Aww... Pray for the arroyo family everyone!
sadness,Fuuudge. Movie store is closed
sadness,ALO is so sad and quiet and empty tonight
disgust,"Hahahaha! it is not horrible, if others were singing with i am sure it could work. I wish I could afford my own drum set"
fear,You never answered your DM I sent you.... I need your info...
fear,Am trying to get through the pilot of the first season of friday night lights. Oh gosh Pass the tissue...
sadness,Aw where are you headed to? i just cancelled my trip to Aussie
fear,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
fear,I did not think anyone caught that
sadness,Sad that Christian Lacroix had to file bankruptcy
sadness,I dont feel good AT ALL. fuckkk
fear,looks like i will never go to the zoo
fear,Ohh poor girl i will email her... I am relying on you being here in October Mr!!
disgust,aarrgghh fu*k.....a hose has leaked water all over the new floating floor
sadness,Have to go to the dreaded DMV tomorrow
joy,english class! working on interactive orals
fear,Thank you for the rec but that does not work
fear,My puppy Gizmo h8s me.. haha. He still growls @ me. I always look back @ my long pruple scar on my fingie
fear,I do not know how ima work out tomorrow wit my body dis sore ugh
fear,i am feeling this pressure in my head that always kicks in just before a nasty headache. i am not looking forward to this.
sadness,Taylor Swift and Joe Jonas looked really good together. i am kinda sad they broke up.
