ori_sentiment,tweet_text
happy,Dorian Gray with Rainbow Scarf #LoveWins from
happy,... Replace with your wish which the artist uses in next installation! It was entralling!
happy,thank you for following me back. Great to hear from a diverse &amp; interesting panel #DefeatingDepression
happy,What a beautiful jewel / portrait. Is the 'R' for Rex ?
happy,I have always loved this painting.
nocode,"say wot, mate?"
nocode,Two workshops on evaluating audience engagement + early July
nocode,"A Forest Road, by Thomas Gainsborough 1750 Oil on Canvas"
happy,Lucky Good luck &amp; see you soon :
nocode,"The two works in our free #DuccioCaro exhibition play with space, movement, and architect... via"
happy,Yr 9 art students are off to the today. Enjoy!
nocode,Indeed
nocode,""" More #Waterloo200? Live #Periscope tonight with Dan Snow in #BonaparteAndTheBritish"
not-relevant,Please vote for us as #sidwell is local charity PRT
not-relevant,#AskTheGallery Have you got plans to privatise any other roles ?
nocode,New digital installation by Girton Artist in Residence will be projected on the façade of the tonight from 9pm!
happy,so beautiful
nocode,i am with with Sussanna at pic —
happy,awesome museum
angry,#AskTheGallery Why do you pay your brilliant staff so poorly?
nocode,A sneak peek #IndigenousAustralia exhibition
nocode,Couldn't agree more ; counting the days till we see again !
happy,"I do, I do, I do. :"
happy,one of my favourite paintings! He was a great artist
nocode,Free CPD afternoon for 2016 'War Games' exhibition on Thurs 2 Jul from 4pm #plymouth. Details at
happy,The Magna Carta exhibition was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!
not-relevant,"Over 100 people signed up for 'what is It Worth?' Don't miss out, book now! #cdavalue #PhDchat #ahrc10"
happy,"Kudos, for a top-flight WC exhibition!"
nocode,"Jack from blogs about how #museums can keep up with tech &amp; youngsters, its all in the collection"
nocode,
happy,ooh... Please let us know how it is!!!
not-relevant,£10 off membership plus offers from with
nocode,Spain? Egypt?
happy,Enjoying the amazing collections with the family
nocode,"Ædwen is Brooch story of an #AngloSaxon lady, filmed at for &amp; exhibition"
happy,Beautiful painting. Thank you.
happy,#definingbeauty a truly breathtaking exhibition.fascinating on portrayals of women
nocode,haha not in my case...
nocode,The Great Court of the #london. #photography
nocode,"it is one of them things, innit?"
nocode,Discover The Arts with Social Media: NOHO Co-Founder Rod McIntosh on NOHO Origins* #London #Art
happy,"thank you for the favourite, following you back, your mum did a great job at #DefeatingDepression"
happy,Treats for the end of June followed by #JacksonPollock *perfect summer*
happy,One of the best places in the country.
nocode,Gemma is visiting Australia today but has failed to find a Hemsworth. Keep trying! #AustrianGP #Oz
happy,Awwh possum!
nocode,"Only two more weeks to see our exhibition on Roman food stunning objects from , &amp; Corinium"
happy,"Wonderful experience, hearing Tim knox is #objects2015 keynote on contents &amp; decor of UK country houses in gallery 3 of"
nocode,A little bit of #Waterloo1815 history today
happy,Hooray! wins Evolver Prize 2015! See it at from 4 July.
happy,Fabulous Enid Blyton exhibition Great for kids of ALL ages!
nocode,"Castle Hill Open Day starts at 12. Art, dance, family activities, tours, talks, a nuclear bunker and more #CastleHill15"
nocode,"How was the battle controlled? Drums,messages? Did regiments respond to the wrong drummers or instructions?"
nocode,coffin for babies?
nocode,"Important art and true culture, to effectively counter the culture of violence"
happy,Enid Blyton exhib'n opens Wed 17 June! we have been helping set up
happy,kettle is YARD: ANTIMUSEUM meet the Archivist is buzzing! #CastleHill15 #explorearchives
nocode,"""Lot more I can do with £13.5m"": Director of confirms they are not trying to buy export ban Cezanne"
happy,A week writing reports about reports suddenly brightened by the thought of #DefiningBeauty at tomorrow with
happy,Samba time! #DiscoveryDay
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland"
happy,Lots of ancient artefacts to enjoy #amazingplace #toomuchforaquickvisit
nocode,"i am at in London, Greater London"
nocode,St George slaying the dragon. German. 15th Century. Painted wooden church statuette
happy,Plus excellent prizes from the
nocode,Behind the walls
nocode,See Christopher Williams The Production Line of Happiness via
angry,. What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year #AsktheGallery
nocode,"Big pocket required RT Ancient Roman version of Swiss Army knife, 3rd century CE, at"
not-relevant,MPs are to debate privatisation tomorrow as #PCS strikes continue ask your MP to attend
happy,I Love Museums via
angry,. can you attend adjournment debate tomorrow #noprivatisation #reinstatecandy
