sentiment,tweet_text
anger,Being treated unfairly.
anger,"I was accused of having done something, which I had not and got very angry."
anger,"I went to a lecture and once again it had been cancelled, this was the second time. One had a negative attitude towards the lecturer."
anger,"In the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room it was the morning service at its loudest."
anger,"We were in a disco and the evening was not at all pleasant. Despite my not knowing why, I was angry with my companion. I let him feel my bad humour as I can not hide my feelings."
anger,"I sometimes quarrel with my mother because she blames me, though I have not in any way been connected to some events."
anger,"Two boys whom I know were telling me, in an indecent manner, how they had teased a young and shy girl I know. They had despised her conviction, scorned and touched her. I got very angry and did not try to conceal it and gave it back to them."
anger,When my tennis match was interrupted because a kid cycled right into the court.
anger,"I had a very heavy work load and two colleagues, whom I have nothing against, disturbed me by ""terror ringing"", i.e continously interrupting me by telephoning."
anger,"When I was deputy manager during the Summer, certain deputies took liberties, more than what was normal."
anger,I reached the bus stop and realized that I had forgotten my bus pass.
anger,When someone does something wrong which affects me negatively.
anger,I saw a report on T.V news on apartheid in South Africa.
anger,The time when someone let the air out of the tyres of my cycle.
anger,When I missed the tram after having run for it.
anger,"I faced this feeling when I realized I wasn't admitted to the institute in the first classifying, in spite of the high mark I had got at the entrance examination."
disgust,When I was on holiday someone vomited in front of me.
disgust,I was forced to stay in the canteen and eat the food that I hadnot asked for but got it anyway.
disgust,"In a warm bus full of people, someone vomited and the whole busstank."
disgust,When I read a newspaper article on a young girl who had beenraped and assaulted one night by several men when she was unconscious.
disgust,When I slept with a guy because my best friend wanted me to.He had never had intercourse with anyone and had a terriblecomplex about it.
disgust,"When a member of the family complains about the food that isserved, it disgusts me."
disgust,"When I was working as a nurse in a mental hospital, a patient ateup the contents of another patient is spitoon."
disgust,"At a certain person is lack of cleanliness, at home andpersonally."
disgust,"My parents attitude towards each other when they should becomereconciled, despite my father is long-time addiction."
disgust,When I was about to clean the draining board and saw it lookedunderneath the sink I live in a students hostel.
disgust,A mother who shouts at her child for nothing.
disgust,When I saw a big spider from very close.
disgust,The first time that I saw a surgeon cut off a leg and put it in ablack rubbish bag.
disgust,T.V features showing the violation of defenceless people.
disgust,Spit and vomit.
disgust,With an alcoholic
fear,When someone close to me is travelling by car and is delayed.
fear,I was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me.
fear,When I nearly collided with another car.
fear,"When I was travelling by tram, I tripped and fell against the door. I thought that I was going to fall out."
fear,I had been watching a triller a dark night in the country and I had to go the outside toilet on my own.
fear,Someone attacked me with a knife.
fear,"I was going home by car late one night when it was cold, dark and windy. I became rather panicky on the way to my house."
fear,I was driving very fast on a small road and I met an oncoming carin a right handed bend. The other driver was on his own side ofthe road and I had to skid out of it to avoid a collision. Itwas dark.
fear,My 2 year old daughter disappeared in a moment of inattention; Iwas responsible for her.
fear,"When I was cycling through the park late one night, two peoplejumped out of the woods and tried to stop me. There wereshouting something at the same time."
fear,When I saw a large spider crawling up the wall.
fear,When one meets new people with whom one is forced to collaboratewith.
fear,When I was in a little fishing boat and we ran into hard weatherin the open sea.
fear,When my son has a pain in his leg for no apparent reason.
fear,When I nearly drowned in icy water wearing ice skates. It wasdifficult to get out.
fear,When I failed my first exam at the Higher Institute.
joy,When I was at a party I met an old friend from an adulteducation course. We had not met for 2 years but had both thoughta lot about each other. A wonderful experience.
joy,When I recently got an appartment in central Gottenburg.
joy,When my son returned from mountaineering healthy in body andsoul.
joy,When I was informed that I had been accepted as a student ofPsychology.
joy,When I was acceptted as a student of psychology.
joy,When my son was born.
joy,"When after 10 months of national service I was ""downgraded"" anddid not have to do the remaining 5 months."
joy,When my older sister told us that she was thinking of joining therest of the family for the winter sports holiday.
joy,When I got through the first day here at the department.
joy,When i was asked to be a child is godmother.
joy,When my husband suddenly came to see me at my new job andbrought some flowers and cake with him.
joy,When we were able to afford a new sofa a leather one which costSEK 20000. I had waited for it for 2-3 years.
joy,"When I recently managed to get my first consulting assignment""myself"" i.e on my own initiative."
joy,When I was appointed to position of trust in a group set up tochange the working environment.
joy,After my girl and I talked things over our relationship changedand became positive. A diificult time turned into pleasant one.
joy,"Letting Jesus take control of my emotions i.e., ill feeling."
sadness,"When I applied for a job which I thought I had a good chance ofgetting, I was not even granted an interview and did not get thejob."
sadness,When I argue with my mother about the way she treats her twochildren differently.
sadness,"The elections of 1982 and 1985. The thought of what a socialdemocrat and communist majority could achieve, especially ""workershare"" funds and its extension."
sadness,When the result of a project work was treated nonchalantlyintead of being criticized by the teacher.
sadness,When my half brother became seriously ill with cancer and diedlater.
sadness,When I was told that I had not been successful in getting the job Ihad been expecting. I was sure that I was sufficientlyqualified.
sadness,"When I watched the T.V programme called ""The living planet"" andsaw the far reaching environmental destruction caused by man."
sadness,My girlfriend who had spent 6 months abroad broke off ourrelationship by letter.
sadness,When I crashed my car and it had to be scrapped then. It was myfault and I feel depressed as I miss the car.
sadness,When I feel helpless after having tried to help someone withoutany result.
sadness,When I realized that I could not communicate properly with myclosest friend.
sadness,Whenever I read or think about the way people treat animals andnature.
sadness,When a colleague failed to contact me at the arranged time.
sadness,When my daughter had problems with her friends and I could seeher predicament from the window. She was given a the coldshoulder.
sadness,Treatment to become pregnant with a negative result.
sadness,The girl I was seeing didn't want to have a serious relationship
