tweet_text,sentiment,sentiment_score,tweet_text_tmp
Lol exactly what I expected,anticipation,1.304,expected 
I deserve hella prop for dealing with some people,anticipation,1.004,deserve dealing 
I work tomorrow from 84 Happy face smiley 0 facewithcoldsweat il see if il have an appetite by that time but Wyd after work,anticipation,1.7190000000000003,work see have 
Cant Wait For The Day When Im Finally Yours,anticipation,1.093,wait 
Remember What Happened Last Time facewithtearsofjoy facewithtearsofjoy,anticipation,1.0,remember happened 
u guy watched Im glad smilingface ️ u took the time Gg,anticipation,1.5750000000000002,watched smilingface took 
I am not a pubstomper facewithmedicalmask facewithmedicalmask facewithmedicalmask i like my boy i smack people time to time have fun and play the game and make video,anticipation,1.078,like smack have play make 
Im watching the investigation discovery Channel yo these pervs be snatching kid up and shit I swear I see why parent are strict,anticipation,1.109,watching snatching swear see 
OKhand yup learned that a long time ago,anticipation,0.922,learned 
if your life wa so good u wouldnt care to start childish drama on the internet u will get threw it man,anticipation,1.133,care start threw 
no I started recording from half time I had 80 half time I turned up second half u will see the video,anticipation,1.266,started recording had turned see 
I hope du donates that money to the needy fightthehunger,anticipation,1.359,hope donates 
Joppa is eating up this Football season watch OKhand,anticipation,0.992,eating watch 
Like yall have no clue how excited I am yo,anticipation,1.3359999999999999,have 
If you go to rising sun unfollow me,anticipation,1.093,go rising unfollow 
sparkle sparkle youre cool af I fwy smilingfacewithsunglasses amp u always come in clutch in the dm relievedface but youre cute smilingface amp let me know when u ready to link up,anticipation,0.9840000000000001,smiling come smilingface let know link 
oh god look what you started,anticipation,1.234,look started 
Meanwhile cap scored For all you watching the news still,anticipation,1.297,scored watching 
I dont think Ive ever been this anxious waiting for a package to get to my house,anticipation,1.828,think waiting get 
I stopped caring a long time ago I dont care what people think,anticipation,0.922,stopped caring care think 
Im soooo excited to start lifting again soon Just one more week of rest,anticipation,1.609,start lifting 
I had so much fun modeling weddingdresses today Thanks for the opportunity,anticipation,1.21,had 
Bridal shower brunch Grill amp Pub At Mountain Branch,anticipation,1.031,
Cant wait to day drink with my baes tomorrow beermug,anticipation,1.171,wait drink 
waiting for alayna to scoop personpouting,anticipation,1.187,waiting scoop 
