tweet_text,sentiment,sentiment_score,tweet_text_tmp
Randomly caught a craving for dime thanksgiving food worriedface,surprise,0.906,caught 
who banged out,surprise,0.836,banged 
My influence are Eminem Logic Hopsin CrookedI BuckShot JarrenBenton TrickTrick KRSone GrandMasterFlash BigL Biggie,surprise,1.094,
Excited for this property trip with Chris amp everyone though grinningfacewithsmilingeyes,surprise,0.9059999999999999,
Excited for this property trip with Chris amp everyone though grinningfacewithsmilingeyes,surprise,0.9059999999999999,
Shockingly relieved relievedface smilingfacewithsmilingeyes,surprise,0.875,relieved 
Slamming the car door on your foot is always a nice feeling,surprise,1.0619999999999998,slamming 
Im surprised the Os game didnt get cancelled,surprise,0.867,cancelled 
Id bang long shot like it my job,surprise,1.547,
Im in complete shock over this entire series Wizards did an amazing job and proved me wrong,surprise,0.8440000000000001,did proved 
That wa a nail biter LetsG Surprised s,surprise,0.867,
I see mall bang and mulletsmerica,surprise,0.836,see 
Orioles lead 82 OriolesVSWhiteSox MLB LetsG Surprised s,surprise,0.867,lead lets 
I have never seen a stadium so empty confusedface confusedface OriolesVSWhiteSox MLB LetsG Surprised s,surprise,0.867,seen confusedface confusedface lets 
8th hit of the ball game for the Orioles relievedface facesavouringdeliciousfood Orioles OriolesVSWhiteSox LetsG Surprised s,surprise,0.867,relievedface lets 
Alright CJoesph raisinghands OriolesVSWhiteSox LetsG Surprised s Orioles MLB,surprise,0.867,lets 
So quiet in there you can hear a Ball drop MLB OriolesVSWhiteSox LetsG Surprised s,surprise,0.867,hear lets 
And people act so surprised This is what happens when people have had enough wit government Its not right or wrong It Is what it is,surprise,0.867,act happens had 
if I wake up and accidentally crawl into your arm it nothing personal personhood ha always seemed so strange,surprise,1.149,wake crawl seemed 
hope u doing well please check your email if you get the chance,surprise,0.883,hope doing check get 
set alarm internally sob,surprise,0.852,set 
Chiles Calbuco Volcano Could Erupt for Months Experts Warn,surprise,1.75,erupt warn 
Slept through my alarm for school Oh whale it too late now,surprise,0.852,slept 
79 earthquake strike Nepal,surprise,1.507,
every neighborhood ha a bang spot,surprise,0.836,
Not ashamed I blast Stockholm Syndrome by One Direction,surprise,0.852,blast 
my allergy got me like pour up sneezehead shot sneezesit down sneezestand up sneezepass out sneeze wake up sneeze,surprise,1.188,got pour sneezepass wake 
hearing this is not our Baltimore really Im surprised it isnt worse If whats happening in Bmore shock you You dont know charm city,surprise,1.7109999999999999,hearing happening know 
Im pretty sure Shelly n Stephyy had a blast tonight lol,surprise,0.852,had 
YOo Surprised OOoo Surprised o My little sister said that SPRINKLEs are for WINNERs Great game today Renegades…,surprise,1.414,surprised said 
Opened request via iPhone at 3800 Glenmore Ave Loud banging and amplified drum coming from inside building this,surprise,0.836,opened banging amplified coming 
cant deal with this bang wrap,surprise,1.063,deal 
Thats such a slap in the face honestly like fine I will leave,surprise,0.914,leave 
WeiYen bounce back with a dominant performance Chensational LetsG Surprised s,surprise,0.867,bounce 
Sit down Big Sloppy LetsG Surprised s,surprise,0.867,sit 
Idk why yall so surprised though like it Baltimore this wa really one of the worst place it could happen,surprise,0.867,happen 
awe man thought he wa one of the good one wearyface,surprise,0.938,thought 
Im not even surprised with some people tbh,surprise,0.867,
Black ops 3 surprisingly look good,surprise,1.094,look 
Bang bangggg catch a homi my nigga gone catch a homi,surprise,1.156,catch gone catch 
Naw you jus clearly cant relate Which is not surprising AT ALL Your opinion is kinda meaningless in this situation,surprise,0.867,relate 
Damn I cant prank call people yo facewithtearsofjoy I always get caught co my accent come out when I get caught in the moment,surprise,0.937,prank call caught co come caught 
Bomb pop amp orange blossom,surprise,1.2970000000000002,
People trip me out like your shit so exciting,surprise,0.953,trip 
taylor be so lucky i swear i just wanna bang her dead in her mouth,surprise,1.547,swear wan bang 
Got the kid sidewalk chalk They had a blast Got yelled at for encouraging graffiti,surprise,1.547,got had yelled encouraging 
Allie randomly bought me a bath bomb shes so cute,surprise,1.375,bought 
Dont sneak dis on twitter it wa a time when i wa broke too remember that,surprise,1.117,sneak wa broke remember 
Play with my hair and we might accidentally get married,surprise,0.914,play married 
But youve gotta mainbitch now so imma keep my crazy phantasy to myself for now You guy will break up for a weekend amp Ill have my chance smilingfacewithsmilingeyes,surprise,0.977,got keep break have 
But youve gotta mainbitch now so imma keep my crazy phantasy to myself for now You guy will break up for a weekend amp Ill have my chance smilingfacewithsmilingeyes,surprise,0.977,got keep break have 
Whenever someone decent find me attractive I am genuinely surprised,surprise,0.867,find 
Whenever someone decent find me attractive I am genuinely surprised,surprise,0.867,find 
