tweet_text,sentiment,sentiment_score,tweet_text_tmp
An update from the Chief of Police no credible threat in the county and no county police deployed in Baltimore They are on standby,trust,1.5930000000000002,deployed 
newmoonface newmoonface my perfect son Mother is at work still Do your homework and be in bed soon smilingface ️,trust,1.242,do smilingface 
Women look to cheat anywhere WHERE ARE WOMEN MORE LIKELY TO CHEAT CHURCH WORK SCHOOL CLUBOR OUT SHOPPING,trust,1.32,look cheat cheat 
When you say you ugly on purpose to get a compliment but they end up agreeing lt,trust,1.1960000000000002,say get end agreeing 
you played extremely good Good diving catch in center,trust,1.148,played 
I dont like the be doubt Took a day once I got a account gameplay coming soon,trust,1.21,like took got coming 
of course I do I believe in god and I pray to god,trust,1.133,believe pray 
hopefully if I join we could be partner winkingface one day and hope you guy liked my montage tribute,trust,1.891,join winkingface hope liked 
Del the video until I can get a better proof video for these hater Ill record the next video fully,trust,1.219,get record 
Montage wa going for the edits more than clip gotta save the real good one for my own personal facesavouringdeliciousfood,trust,2.32,going got save 
I smacked him we both were On god account he wa using a speakeasy with nades video coming soon,trust,1.531,smacked using coming 
let see who can drop the most without god account Les goo,trust,1.531,let see drop 
Im I a god account duh they will be diers lmao,trust,1.14,im 
yes I had a account before lol I kno the perfect way to do it bro trust me I dropped 500 in bo2 I got this Lol,trust,1.867,had kno do trust dropped got 
god account plz raisinghands what would u want,trust,1.14,raisinghands want 
promise you I will drop it once I get a account OKhand,trust,1.296,promise drop get 
I hate o5 now there member are hater he said u can see a guy jumping around with a knife like Im not on a god account Lmaooo,trust,1.624,hate said see jumping 
Thankyou bro at least we got the real truth hundredpoints hundredpoints hundredpoints,trust,1.485,thank got 
inv her back bro she always stayed loyal with the clan,trust,1.148,inv stayed 
Yo I would love anyone who could get me a dier account I want to see how much kill I can get Ill do u what ever favor cryingface cryingface cryingface cryingface,trust,1.281,love get want see get do favor cryingface cryingface cryingface 
Man I love all my supporter yal my squad man hundredpoints hundredpoints fire fire fire fire fire fire fire fire fire fire hundredpoints hundredpoints hundredpoints hundredpoints OKhand,trust,1.492,love 
Fav if you like relationship and think cheating is for child,trust,1.781,fav like think 
message him need you sound dumb Im on a dier account I get diers are you kidding me are they suppose to be good,trust,1.14,message need sound get kidding suppose 
Im One Of A Kind Theres No One Like Me persontippinghand,trust,1.125,s 
Son You sent a girl to do your dirty work How do you sleep at nightFather Butt naked next to your mother,trust,1.2890000000000001,sent do sleep naked 
I only have 4 real friend OKhand,trust,1.391,have 
Son really spittin bar clappinghands raisinghands good father,trust,1.2029999999999998,raisinghands 
Perfect timing falling asleep bae OKbutton OKhand I swear Im speaking my mind angryfacewithhorns amp everybody who piss me off Im putting fire on they dumb as fire victoryhand Night winkingface angryfacewithhorns,trust,1.367,falling swear speaking amp piss putting winkingface 
Hanging out with my brother next weekend smilingface smilingface smilingface I love that nigga fr,trust,1.6790000000000005,hanging smilingface smilingface love 
I been keeping nude safe since middle school,trust,1.203,keeping 
Im fucking her raw like I love her,trust,1.242,fucking love 
Like I used to get pill bottle filled w it facewithtearsofjoy facewithtearsofjoy amp blow that shit in one night,trust,1.1159999999999999,used get filled blow 
Praying that everyone downtown including the police officer stay safe tonight,trust,2.281,praying including stay 
Didnt wanna put my opinion in this bullshit but seriously grow up cant we all just get along Good lord,trust,1.554,wan put grow get 
God damn it she love it,trust,1.375,love 
I found a good band thats reggae and indie rockish I fw it,trust,1.101,found fw 
Im actually very intelligent speak two language fluently and excel in my AP class so Im not tripping beatingheart smilingfacewithhalo,trust,1.281,speak excel tripping beatingheart 
it not about that it about the fact that he died on police watch black white Asian it shouldnt matter all life matter Embarrassed or blushing,trust,2.032,died watch matter blushing 
kanye is the one who inspired kim to accept bruce decision,trust,1.946,inspired accept 
In here nursing this migranebut they say musicisMedicine working good so far …,trust,1.211,nursing say working 
Let me go by is some real as shit Listen to the word i can relate to im sure alot of people can,trust,1.118,let go listen relate 
great educational tool to teach the kid about golf off the course,trust,1.2029999999999998,teach 
Hope the Os saved a few run for the next week,trust,1.242,hope saved 
I farted and my dog look at me like committed first degree murder,trust,1.289,farted look committed 
Few human being are proof against the implied flattery of rapt attention Jack Woodford Thats a quote for the age OKhand mediumskintone,trust,1.117,implied 
blueheart I Love Aunt Shedana smilingfacewithhearteyes smilingcatfacewithhearteyes clappinghands mediumdarkskintone smilingcatfacewithhearteyes Really Be Preaching,trust,1.219,love clappinghands preaching 
the only thing I hate about being single is having a bunch of friend who are in relationship,trust,2.047,hate having 
Im saving money for show I really wanna go to for a bit Cant keep drinking in manhattan all the tme,trust,1.273,saving wan go keep drinking 
Big Shoutout to the tremendous effort displayed this weekend at the Top Middle School League in the…,trust,1.344,displayed 
like I shouldnt be this happy but I am like be honest did u guy plan that or,trust,1.9369999999999998,like plan 
Like she really think it ok Come on man have more respect for yourself and stop being so desperate Just leave him Hes not changing,trust,1.234,think come have stop leave changing 
These protester nees to revisit the teaching of MLK JR Violence is not the answer nor will it achieve a just end,trust,1.094,revisit achieve 
like it mainly christian and jack account,trust,1.398,
my friend found luke and i didnt so i gave up,trust,1.234,found gave 
hey guy wow when i post selfies im actually pretty confident in my self which i have felt really lately,trust,1.094,post felt 
when and me send embarrassing pic to krdbsquad cuz we really dont care if the boy see them or not cuz we r like friend,trust,1.234,send care see 
srsly feel like and me r friend with,trust,1.234,feel 
i just helped find a header im a good friend,trust,1.367,helped find 
im so happy to have made an internet friend like kate i cant wait to be with her again in 63 day i miss her so so so much distance suck,trust,1.8430000000000002,made wait miss suck 
Kai give some good as advice raisedfist mediumlightskintone hundredpoints,trust,1.234,give raisedfist 
Gotta be good at identifying plant by just their early leaf Wouldnt want to pull up any good weed err plant,trust,1.219,got identifying want pull 
Scribe love her neighbor but they are not allowed to do something to our yard without asking permission Ever,trust,1.281,love allowed do asking 
Scribes strong amp brave Shes getting u through a tough time My spot wa always at Pops foot Now I have no spot,trust,1.164,getting have 
True Scribe amp I made certain Pop enjoyed each day til he passed away Hard to believe that it been a week,trust,1.273,made enjoyed passed believe 
Thanks will look for it at public library Have a peaceful Saturday dear Twitter Brother and Lisa,trust,1.296,look have 
Its nice when plant come up again It mean that theyve found a happy place,trust,1.093,come mean found 
Congratulations to the student honored at the Kingsville Elementary School Patriotic Program Awards Assembly,trust,3.1010000000000004,honored 
living in Baltimore right now there one of your classic stand up routine that ring very true right now,trust,1.203,living 
god bless amp goodnight crescentmoon foldedhands hundredpoints,trust,1.25,bless 
god bless amp goodnight crescentmoon foldedhands hundredpoints,trust,1.25,bless 
speaking straight fact g,trust,1.383,speaking 
speaking straight fact g,trust,1.383,speaking 
lord keep me safe foldedhands indexpointingup ️,trust,1.117,keep 
tbh you cant really blame baltimore bc this police shit ha gotten way outta hand hundredpoints unamusedface like what if thiswas one of yall close relative,trust,1.5379999999999998,blame gotten 
fact hundredpoints thats why i gotta get outta here,trust,1.383,hundredpoints got get 
You see Micah take the inside for the lead My is a athlete for real White Marsh Go Karts,trust,1.3989999999999998,see take 
u took this down real quick to edit it then put it back up I admire u for this,trust,1.344,took edit put admire 
