sentiment,sentiment_score,tweet_text
sadness,1.3289999999999995,RT why is it 8am and i am literally teary eyed that kpop twitter hijacked the hashtag to drown out the rac…
anger,0.6970000000000001,RT Report from the battle The Anonymous KPop division OpFanCam ha successfully conquered the and Wh…
anger,0.6970000000000001,RT Report from the battle The Anonymous KPop division OpFanCam ha successfully conquered the and Wh…
anger,0.6970000000000001,RT Report from the battle The Anonymous KPop division OpFanCam ha successfully conquered the and Wh…
trust,1.7340000000000002,RT If you are participating in this dont use the tag Its pushing down important and relevant content Use …
fear,1.335,RT Boston had a peacful protest we marched from Roxbury to Boston It didnt get violent till the COPS tried to run u ov…
anger,1.535,RT Weve been heard Remember that is is a movement not a moment Keep fighting the good fight
trust,1.234,RT We support you and will be with you It must be changed in this generation Please stay safe please stay strong WeLoveYou…
anger,0.6970000000000001,RT Report from the battle The Anonymous KPop division OpFanCam ha successfully conquered the and Wh…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
joy,0.594,RT YOU MISSED THE MESSAGESee this girl how she peacefully move to protect him stand a a barrier…
fear,2.7030000000000003,RT How many unarmed black were shot and killed by cop last year 9 How many unarmed white were shot and killed by cop las…
fear,2.7030000000000003,RT How many unarmed black were shot and killed by cop last year 9 How many unarmed white were shot and killed by cop las…
sadness,0.5619999999999999,RT cancelled her interview today with Jimmy Fallon to leave the spot for a activist
anticipation,0.648,RT today yesterday tomorrow forever
anger,0.6970000000000001,RT Report from the battle The Anonymous KPop division OpFanCam ha successfully conquered the and Wh…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
fear,3.343,RT I worry that the killing of BreonaTaylor is getting lost in the noise We can not forget how she wa accidentally shot 8…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
anger,0.6970000000000001,RT Report from the battle The Anonymous KPop division OpFanCam ha successfully conquered the and Wh…
trust,1.835,RT Ive seen more video of police brutally assaulting peaceful innocent people these past few day than Ive ever seen in my entir…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
trust,0.9840000000000001,RT Anonymous hack Brazils Bolsonaro revealed address income and other personal asset Anonymous OpGeorgeFloyd…
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
fear,1.569,RT Australians in the US You may be on a visa and scared of being arrested and being forced to leave the US if you attend pro…
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
joy,1.454,RT UK Black Pride would like to encourage those who care about Black life to delete their black square and post useful he…
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
fear,2.7030000000000003,RT How many unarmed black were shot and killed by cop last year 9 How many unarmed white were shot and killed by cop las…
fear,2.375,RT Why did you think Trump called Putin first Senators and Governers need to act now He is also threatening to invade…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
trust,0.4920000000000001,RT We want everyone to understand that and we will signal boost all effort to underscore that the BLM cam…
trust,0.477,RT I dont have all the right word but I stand by you
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
fear,0.562,RT Were hearing asks from the community that post related to Blackout Tuesday use the hashtag blackouttuesday and not blac…
fear,1.125,RT Did Manchester turn out when Emily wa murdered on Mothers Day by an immigrant female in the park her throat cut Dont lit…
joy,1.4709999999999999,RT please keep signing these petition making donation having conversation w family and friend about it reading and sh…
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
trust,0.4920000000000001,RT We want everyone to understand that and we will signal boost all effort to underscore that the BLM cam…
anger,0.6970000000000001,RT Report from the battle The Anonymous KPop division OpFanCam ha successfully conquered the and Wh…
trust,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…
anticipation,0.484,RT Today is I will shortly be posting a picture of my arse Thank you
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
trust,1.0390000000000001,RT THE PRINCIPAL AUTHOR OF THE ANTITERROR BILL AND ACTCIS PARTYLIST REP ROWENA TADURAN JUST CALLED THE PROTESTERS IN AMERIC…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
fear,0.359,RT via In an antiracist move that demonstrates their formidable power KPop fan took over the whitelivesmatte…
fear,2.7030000000000003,RT How many unarmed black were shot and killed by cop last year 9 How many unarmed white were shot and killed by cop las…
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
joy,2.366,RT seeing all you kpop stans jam up make me so damn happy smilingfacewithsmilingeyes 🥰
fear,1.281,RT In South Africa white farmer and their family are routinely butchered by black thug Tell me UK ScumMedia why do you not…
fear,1.125,RT Did Manchester turn out when Emily wa murdered on Mothers Day by an immigrant female in the park her throat cut Dont lit…
fear,3.343,RT I worry that the killing of BreonaTaylor is getting lost in the noise We can not forget how she wa accidentally shot 8…
anger,2.173,RT LETS MAKE A CHAIN We stand against racial discriminationWe condemn violenceYou I and we all have the right to…
fear,1.235,RT How many unarmed black were killed by cop last year 9 How many unarmed white were killed by cop last year 19 More…
anger,0.6970000000000001,RT Report from the battle The Anonymous KPop division OpFanCam ha successfully conquered the and Wh…
disgust,0.578,RT Anonymous offensive against Trump and the US police to stop systematic impunity and the rampant statesanctioned st…
trust,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…
anger,0.6970000000000001,RT Report from the battle The Anonymous KPop division OpFanCam ha successfully conquered the and Wh…
fear,0.8440000000000001,RT KPop Fans Take Over Hashtag Drown Out Racist Posts
