sentiment,sentiment_count,sentiment_score,tweet_text,tweet_text_tmp
trust,3.0,1.734,RT If you are participating in this dont use the tag Its pushing down important and relevant content Use …,participating use pushing 
trust,3.0,1.835,RT Ive seen more video of police brutally assaulting peaceful innocent people these past few day than Ive ever seen in my entir…,seen assaulting seen 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,3.0,1.835,RT Ive seen more video of police brutally assaulting peaceful innocent people these past few day than Ive ever seen in my entir…,seen assaulting seen 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,2.0,1.367,RT This woman ha more courage and dignity than a million of those fascist coward combined fascism,ha combined 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,3.0,1.391,RT Context French authority banned the protest Folks showed up anyway No major outlet in France is covering this stor…,banned showed covering 
trust,3.0,1.727,RT here a google doc of resource to support george floyd and the blm movement pls share JusticeForGeorge…,support share 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,2.0,1.3130000000000002,RT speakinghead no justice no peace brokenheart PERIOD,speakinghead 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,3.0,1.835,RT Ive seen more video of police brutally assaulting peaceful innocent people these past few day than Ive ever seen in my entir…,seen assaulting seen 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,3.0,2.156,RT Ignorance allied with power is the most ferocious enemy justice can have James Baldwin,allied have 
trust,3.0,1.835,RT Ive seen more video of police brutally assaulting peaceful innocent people these past few day than Ive ever seen in my entir…,seen assaulting seen 
trust,5.0,2.6239999999999997,RT LA Sheriff Villanueva admitting that curfew are being used a a tool to suppress 100 peaceful protest ICantBreath…,admitting used suppress 
trust,4.0,1.992,RT If youre protesting today please stay safe please wear protective eyewear and clothing and if youre white your job i…,protesting stay wear 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,2.0,1.383,RT Sign the petition donate what you can If you are protesting be safe JusticeForGeorgeFloyd http…,sign donate protesting 
trust,4.0,1.992,RT If youre protesting today please stay safe please wear protective eyewear and clothing and if youre white your job i…,protesting stay wear 
trust,3.0,1.734,RT If you are participating in this dont use the tag Its pushing down important and relevant content Use …,participating use pushing 
trust,3.0,1.68,RT The power and unity I felt today I dont think Ill ever be able to put into word Together we will forever be strong…,felt think put 
trust,2.0,1.2970000000000002,RT According to Pentagon official Trump is seeking detail on tank to use on protestors ICantBreathe GeorgeFloyd…,according seeking use 
trust,3.0,1.734,RT If you are participating in this dont use the tag Its pushing down important and relevant content Use …,participating use pushing 
trust,4.0,1.992,RT If youre protesting today please stay safe please wear protective eyewear and clothing and if youre white your job i…,protesting stay wear 
trust,3.0,1.5550000000000002,RT Looks like we lost quite a few follower after posting about We hope those who left educate themselves on these v…,looks lost posting hope left educate 
trust,5.0,2.821,RT Professional football team worldwide show solidarity with Black Lives Matter by taking a knee in protest ICantBreat…,show taking 
trust,3.0,1.391,RT Context French authority banned the protest Folks showed up anyway No major outlet in France is covering this stor…,banned showed covering 
trust,4.0,1.992,RT If youre protesting today please stay safe please wear protective eyewear and clothing and if youre white your job i…,protesting stay wear 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,3.0,2.156,RT Ignorance allied with power is the most ferocious enemy justice can have James Baldwin,allied have 
trust,3.0,1.89,RT I hope during this time my latino community stand in strong solidarity w the movement n that we address ra…,hope stand address 
trust,3.0,1.835,RT Ive seen more video of police brutally assaulting peaceful innocent people these past few day than Ive ever seen in my entir…,seen assaulting seen 
trust,3.0,1.734,RT If you are participating in this dont use the tag Its pushing down important and relevant content Use …,participating use pushing 
trust,3.0,1.602,RT For clarification today we are still staying informed sharing articlesposts related to the because signing petition amp d…,staying informed sharing 
trust,3.0,1.391,RT Context French authority banned the protest Folks showed up anyway No major outlet in France is covering this stor…,banned showed covering 
trust,3.0,1.68,RT The power and unity I felt today I dont think Ill ever be able to put into word Together we will forever be strong…,felt think put 
trust,3.0,1.391,RT Context French authority banned the protest Folks showed up anyway No major outlet in France is covering this stor…,banned showed covering 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,4.0,2.141,RT BE INFORMED AND SHARE ANOTHER REASON TO JUNKTERRORBILLNOW The Principal Author of the Bill cited the ongoing the Bla…,informed share cited 
trust,3.0,2.156,RT Ignorance allied with power is the most ferocious enemy justice can have James Baldwin,allied have 
trust,2.0,1.2969999999999997,RT in unity there is strength together we will stand up divided we will fall down let u be together for what is right Blac…,is stand divided fall let 
trust,3.0,1.391,RT Context French authority banned the protest Folks showed up anyway No major outlet in France is covering this stor…,banned showed covering 
trust,2.0,1.367,RT This woman ha more courage and dignity than a million of those fascist coward combined fascism,ha combined 
trust,2.0,1.3039999999999998,RT Yall ready to go ham for BreonnaTaylor All those officer have yet to be held accountable Still have their job No…,go have held have 
trust,2.0,1.515,RT This page is continuously being updated with verified place to donate especially freedom fund Please go through it an…,updated verified donate go 
trust,2.0,1.2969999999999997,RT in unity there is strength together we will stand up divided we will fall down let u be together for what is right Blac…,is stand divided fall let 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,3.0,1.835,RT Ive seen more video of police brutally assaulting peaceful innocent people these past few day than Ive ever seen in my entir…,seen assaulting seen 
trust,2.0,1.4300000000000002,RT To be completly honest I felt out of place and uncomfortable sharing my thought on social medium a…,felt sharing 
trust,3.0,1.68,RT The power and unity I felt today I dont think Ill ever be able to put into word Together we will forever be strong…,felt think put 
trust,5.0,2.6239999999999997,RT LA Sheriff Villanueva admitting that curfew are being used a a tool to suppress 100 peaceful protest ICantBreath…,admitting used suppress 
trust,3.0,1.835,RT Ive seen more video of police brutally assaulting peaceful innocent people these past few day than Ive ever seen in my entir…,seen assaulting seen 
trust,3.0,1.734,RT If you are participating in this dont use the tag Its pushing down important and relevant content Use …,participating use pushing 
trust,2.0,1.2970000000000002,RT According to Pentagon official Trump is seeking detail on tank to use on protestors ICantBreathe GeorgeFloyd…,according seeking use 
trust,2.0,1.4300000000000002,RT To be completly honest I felt out of place and uncomfortable sharing my thought on social medium a…,felt sharing 
trust,3.0,1.727,RT here a google doc of resource to support george floyd and the blm movement pls share JusticeForGeorge…,support share 
trust,3.0,1.734,RT If you are participating in this dont use the tag Its pushing down important and relevant content Use …,participating use pushing 
trust,3.0,1.5550000000000002,RT Looks like we lost quite a few follower after posting about We hope those who left educate themselves on these v…,looks lost posting hope left educate 
trust,2.0,1.2969999999999997,RT in unity there is strength together we will stand up divided we will fall down let u be together for what is right Blac…,is stand divided fall let 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,3.0,1.351,RT IF YOU ARE GOING TO PROTEST TODAY WEAR GOGGLES COVER YOUR FACE AND BRING A LOT OF WATER AND ANY OTHER PROTECTIVE GEA…,going protest wear cover bring 
trust,2.0,1.3039999999999998,RT Yall ready to go ham for BreonnaTaylor All those officer have yet to be held accountable Still have their job No…,go have held have 
trust,3.0,1.734,RT If you are participating in this dont use the tag Its pushing down important and relevant content Use …,participating use pushing 
trust,3.0,1.391,RT Context French authority banned the protest Folks showed up anyway No major outlet in France is covering this stor…,banned showed covering 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,3.0,1.727,RT here a google doc of resource to support george floyd and the blm movement pls share JusticeForGeorge…,support share 
trust,3.0,1.734,RT If you are participating in this dont use the tag Its pushing down important and relevant content Use …,participating use pushing 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
trust,2.0,1.4380000000000002,RT It is shameful the UK Government wont condemn TrumpNow is the time to speak up for justice and equalityBlackLives…,condemn speak 
