sentiment,tweet_text
anger,Why are white republicans allowed to storm a capital building armed with guns yet peaceful protestors are shot with rubber bullets and tear gassed? Because they are black. #GeorgeFloyd #JusticeForGeorgeFloyd
anger,What did to the peaceful and nonviolent #detroitwillbreathe protestors is EXACTLY what we have been fighting against for weeks!! We must keep advocating for change to the police brutality that is so prevalent within america is police departments!! #blacklivesmatter
anger,"Calmer now with loud and ceaseless chanting at the White House, among the shouts here: George Floyd, say his name/No morals, no peace/Stop killing us/I can not breathe. ""None of us WANT to be here in the middle of a pandemic,"" a protester yells out from the crowd behind me."
anger,Hate is the real virus we are fighting. #BlackLivesMatter
anger,Captain #daviddorn is life does not matter to the left because they can not use his death to steal votes. That says a lot about how much #BlackLivesMatter to Biden/Pelosi/Omar/AOC &amp; the #democrats. #StopTheMadness #justicefordaviddorn #DemocratRiots
anger,"If you are queer & have EVER invoked Stonewall when talking about Pride... Then I better not see you condemn these riots right now. Period. & do not forget — you benefited from a rioting black trans woman as Pride, as it is today, would not exist without her. #BlackLivesMatter"
anger,"The Drag March for Change has kicked off in Chicago, in support of Black Lives Matter and demand justice for victims of police brutality and excessive force through the Boystown community. #ChicagoProtest #BlackLivesMatter #BlackTransLivesMatter"
anger,DISGUSTING! Black Lives Matter Mob Beat Down Elderly Christian Man and 3 Others after St. Louis Statue After Prayer Service VIDEO Wow the mob just does not stop and the MSM continues to ignore the rise in hate crimes. Arrest all BLM thugs now!
anger,"UPDATE: 2 Accused of Vandalizing Black Lives Matter Mural Charged With Hate Crime in California. Nichole Anderson, 42. David Nelson, 53, are also facing counts of vandalism and possession of tools to commit vandalism:"
anger,George Floyd deserves justice and so do all of the people who had their property destroyed in these riots.
anger,"i am still not over choosing who wrote the 94 crime bill &amp; lied about protesting for civil rights, when they could have nominated Bernie, who is been fighting rascism &amp; fascism for 50+ years. Bern was the perfect foil for Trump. #GeorgeFloyd #NotMeUs #ANTIFA"
anger,"Governor Walz could have stopped this madness before it began! He could have simply arrested George floyd is killer. Instead, he did not do anything for days. He ignored the calls of peaceful protestors and then the riots began. His failed leadership has been deadly."
anger,"Yesterday I joined hundreds of other protesters outraged by the killing of #GeorgeFloyd. A day later, i am boarding up my business after it is been destroyed. Utterly stupid and senseless way to remember an innocent man is life – at Chicago-Lake Transit Station"
anger,"People against these protest and riots need to understand, it is not just about George Floyd, it is about the injustices black people have been facing for years. The death of George Floyd only reignited the match. It was just a matter of time before these demonstrations started"
anger,"112K dead nationally, Tx set new records for #COVID19 hospitalizations this week, the economy is in a recession, 20.9M unemployed, riots &amp; injustices occurring in the streets, he is still not admitting that #BlackLivesMatter. But yes, let is hold fundraisers"
anger,"At a peaceful vigil for George Floyd in Carlsbad, NM, this mf drove by and threatened people with a gun, he parked his dually, got out, and threatened to attack and as you can hear in the video, used a racial slur. Retweet tf outta this Video credit : Jody Boeglin via Facebook"
anger,"""I think America must see that riots do not develop out of thin air. Certain conditions continue to exist in our society which must be condemned as vigorously as we condemn riots."" —Martin Luther King Jr Remember that, & the knee on George floyd is neck, as you read about looting"
anger,"If you are like the mongrel-with-a-badge who murdered #GeorgeFloyd – with several prior brutality incidents on your record – the cost for a city to insure you eventually hits a point where you are not worth the expense, and become unemployable as a cop 13/"
