sentiment,sentiment_score,tweet_text
trust,0.477,"this new 5 sec iq test if u think black life matter mean black life matter a much a other lives, then ur iq is probably north of 100. if u think black life matter mean black life matter more than other lives, ur iq is probably south of 100. how did you do?"
trust,0.5,we now know #covid19 #coronavirus is disproportionately impacting black people here in #georgia. #blacklivesmatter more info at
sadness,4.101,imagine this virus killing majority white people and pbo being in charge of them being buried in mass graf at the same time he is on television holding a black life matter rally
trust,2.219,excited to share a #poem from my upcoming collection green horse on the wall thank you/mersi 4 the invite nan 4 creating this #global #community #internationalpoetrycircle #romanianamerican #denver #bucharest #blacklivesmatter
joy,1.156,"of all the thing the police should be working on, they chose to racially profile a doctor who wa just living his life and doing a task we do every day. #racismsucks #blacklivesmatter #onevoice1"
trust,2.969,"""repairing the deep, historical, and continuing harm done to black people will require deep, abiding transformations....to fulfill the promise that black life matter, the united state must change in systemic and not superficial ways."""
fear,1.734,african leader should step up and take action against china to protect their citizen who are suffering from chinese racism brutality. #now
trust,0.477,i am not voting till black life matter' what doe an activist is radical strategy mean for 2020? #blackaf #blackagenda
joy,2.0700000000000003,"i am very happy to be working with publisher a the editor of a poetry anthology titled ""i am black"". we want to celebrate and explore blackness in canada. submission are open today please read + share. #poetry #canada #blacklivesmatter #blacktwitter"
sadness,1.277,"... in a survival of the fittest hunger game manner for a bottom line, because we now think/know the people who are most likely to die are black, poor, urban and by definition expendable sum up the argument of the all life matter movement."
sadness,3.594,"slavery segregation & incarceration... victim of poorly trained & racist law enforcement & food, education & healthcare deprivation. now victimized disproportionately by covid-19. #blacklivesmatter"
trust,2.031,just talked with multiple #frontlineheroes in tx demand testing nan ppe! labor leader please tell governor like that million of woman of color are the most essential worker in america and #blacklivesmatter
anger,1.543,why is it the #facebook find these post on their platform ok? is violent nan #blacklivesmatter wa formed based on a lie-2 reason facebook give for removing your post but yet they are protected let american express their #constitutionalrights and they are taken down
trust,0.477,this week is word. #stayhomesavelives #blacklivesmatter
trust,3.313,what happened to stop resisting do not break the law show the officer some respect blue life matter they are just doing their job obey their order even if you disagree with them .....or doe that only apply for black people/minorities?
trust,2.369,white people when unarmed black men and boy are murdered in the street follow the rule or leave. blue life matter white people when white woman get arrested for directly disobeying legal order
fear,1.828,"also from the live coverage, get a load of this fucking sign my right do not end because of your fear. open small business so since they stealing black life matter can we steal this because black right have long been curtailed by white fear."
joy,1.4379999999999995,imagine calling black organizer fake warrior because you are white and tweet that black life matter. i really have to laugh yall i really do
trust,0.469,african american built our cities. now we are asking them to open them up. on top of their dead body once again. #blacklivesmatter
sadness,1.98,"in response to kemp is decision to re-open georgia, the #gacoalition2savelives is holding a protest funeral procession. black-owned funeral home are helping by driving hearse around the state capitol, right now. 23k life may not matter to kemp but they matter to u #toosoonga"
fear,1.906,"i do not know who need to hear this, but if a group of heavily armed black men stormed a government building, literally every single one of them would be in the morgue right now. because in america, the #2a is a whites-only right. #blacklivesmatter"
trust,1.265,"first refers to the kkk a ""very fine people"" and now he refers to #domesticterrorists who carry weapon of war into a #statelegislature a ""very good people"" while calling peaceful #blacklivesmatter protestors ""sons of bitches"" #racistinchief #michiganprotest #fbr #resist"
trust,0.477,he is right black life matter
trust,1.3290000000000002,remember how they are treating these cops. it wa never about blue life matter. it wa that black life don't.
trust,1.093,"this is my neighborhood. our community are over policed, under resourced + over looked all the time. the area ha many nycha development + these officer belong to the housing unit of psa 4."
trust,1.165,"it is almost a if blue/all life matter wa not something they actually believed but instead a way for them to tell black people to shut up without being overtly racist. if nothing else, this time will be remembered for it is eye opening stupidity."
fear,3.165,blue life only matter a justification for killing black folks. i am sitting here watching this and i can not help but laugh. i am just gonna sit here and look at em' confused about what to do when murder is not an option.
joy,0.7190000000000001,perfect summary. #blacklivesmatter
trust,0.985,everytime these two talk to black voter we get a version of bill cosby is poundcake speech. every other group got tangible policy during his administration. we got symbolism and a blue life matter bill.
anger,1.011,black life who sexually assault definitely do not matter so idk what he is talking about. i am never pretending to be for everyone black. some of you all definitely do not matter.
joy,1.409,i am so hurt for this young man and his family. no justice no peace #blacklivesmatter too
trust,2.664,"i am shaking. his name is ahmaud arbery. he wa jogging in brunswick, #georgia when 2 men chased him down, telling police later they thought he looked like a suspect in a series of recent break-in in the area. no justice, no peace. #blacklivesmatter"
fear,2.675,"here is the video of the two white terrorist gunning down a black man, who wa doing nothing wrong but jogging. why is not this all over the news but the dow jones is? #blacklivesmatter"
fear,2.097,i can not watch that video. i am sick and tired of another black man becoming a hashtag. running while black... this is murder and the fact one of the accused is a former officer of the court tell me everything #blacklivesmatter #ahmaudarbery
trust,2.281,"i can not put my anger into words. #ahmaudarbery wa murdered by #domesticterrorist, a former police officer nan his son. this modern day #lynching did not make the news in this #covid19 era, so contact da immediately to demand justice. #blacklivesmatter"
trust,2.117,please share ahmaud arbery wa an innocent 25 year old black man that wa murdered by two white men he jogged in the area every single day and people would call the police on him and say he wa a burglar. that is not even the worst part the murder wa recorded #blacklivesmatter
trust,0.828,#blacklivesmatter #stopracism the two white men name are gregory mcmichael and his son travis mcmichael they were not arrested yet because they both used to work for the police force #irunwithmaud
disgust,1.344,racist who are shielded by their own privilege often throw out superficially accurate but nevertheless misleading statistic to try and discredit the reality that america still ha a terrible #racism problem. my answer to one such fool. #blacklivesmatter
trust,1.9140000000000001,"i will not share the video, but will not be silent. #ahmaudarbery matters. #blacklivesmatter the system which allows this must change."
fear,3.6860000000000004,**video of arbery shooting in brunswick ga** #irunwithmaud #naacp #blacklivesmatters #ahmaudarbery #justiceforahmaudarbery they are hunting u like animals. this wa clearly cold blooded murder. how can a simple jog lead to you being gunned down. no justice no peace!!!
fear,0.906,"#blacklivesmatter to jesus. a man wa murdered while jogging in broad daylight just because of the color of his skin. this is explicit racism. if christian do not stand in opppsition, they are, at best, complicitly racist. #ahmaudarbery"
anger,1.897,"black people still being hunted. lynched. still. still!!! yet, armed white men storm capital and thing are all good. the fuck!!? #blacklivesmatter"
joy,0.7809999999999999,#ahmaudarbery wa someone is black son. this is my black son. he is 7. how do i explain to him that his beautiful brown skin will be seen a a weapon? #blacklivesmatter
fear,0.953,call 912 876 4151 & ask tom durden do #blacklivesmatter. he is the prosecutor that failed to do his job nan arrest the murderer of #ahmaudaubrey
fear,1.5619999999999998,so ha reopened georgia but he ha not seen to it that the murderer of #ahmaudaubrey are prosecuted. call 912-876-4151 nan ask do #blacklivesmatter.
fear,1.4680000000000002,them but if we go up there w/ gun they will shoot u u let is see #knowyourrights #beforetheyarentyourrightsanymore #blacklivesmatter #blackgunsworktoo #normalizeblackandbrowngunownership – at michigan state capitol
joy,1.824,i am tired of cry i am tired of living in fear i am tired of wondering which constituent might come for me or my family #sayhisname #ahmaudarbery #blacklivesmatter
anticipation,0.516,his name wa #ahmaudarbery. please never forget. #blacklivesmatter even in the time of #covid.
sadness,2.425,"i have definitely been attacked for it, and i have pushed back. we have huge scar from the akai gurley and peter liang case here in new york city. sometimes i and comrade wonder what we lost and won when we declared #blacklivesmatter aloud. it still hurts. #miseduasian"
trust,2.141,i am terrified of one day bringing black child into this world knowing i can not keep them safe and protected from the evil of this world and white supremacy. #blacklivesmatter #justiceforahmaudarbery
fear,2.245,6/ we can not take out our wallet #amadoudiallo confusion . we can not run #walterscott confusion . we can not breathe #ericgarner confusion . we can not live #freddiegray confusion . we are tired! tired of making hashtags. tired of trying to convince you that our #blacklivesmatter too. tired of dying.
trust,0.586,on point! share this around the world. #blacklivesmatter #alllivesmatter #stopthisstupidity
