sentiment,sentiment_count,sentiment_score,tweet_text
anger,5.0,3.8380000000000014,"CNN Two men involved in the fatal shooting of a black man in Brunswick, Georgia, have been arrested and face murder and aggravated assault charges, according to the Georgia Bureau of Investigation. #AhmaudArbery #BlackLivesMatters"
anger,7.0,4.651,". has done to the #MeToo movement &amp; real victims of sexual assault &amp; harassment what did to #BlackLivesMatter &amp; real victims of race-based hatred &amp; violence. The damage is incalculable. I hope she will be prosecuted, too. Fakers hurt all victims."
anger,7.0,4.550999999999998,"Dylan Roof: shoots up a Black church, killing 9, is calmly arrested. George Floyd: Allegedly wrote a bad check, choked to death after a police kneels on his neck while he shouted ""I can not breathe!"" Now make that shit make fucking sense for me."
anger,4.0,2.6060000000000003,"Images of violence from #GeorgeFloyd protesters will dominate national news coverage tomorrow but remember, they are the minority. The majority are peaceful see previous tweet, but also sad, angry and dismayed they have to be out here again."
anger,5.0,3.127,Why are white republicans allowed to storm a capital building armed with guns yet peaceful protestors are shot with rubber bullets and tear gassed? Because they are black. #GeorgeFloyd #JusticeForGeorgeFloyd
anger,5.0,3.665,"If you are fighting every other issue climate change, education rights, gender rights, gay rights, women rights, economic equality, child rights, elder rights, gun violence, domestic violence, any rights or abuses in this country and not Black Lives Matter YOU ARE THE PROBLEM!"
anger,4.0,3.019,"what is really going on in the world rn? We got a lady pushing a kid w/ autism in a lake blaming it on 2 black men, ""Karen"" calling the police falsely accusing a black man of assault & now George Floyd being murdered by police ! ALL ON CAMERA ! Something has to be done. it is on us"
anger,5.0,2.959,"If you are not outraged, saddened, frustrated by the senseless death of George Floyd and too many others please ask yourself why. If you are more outraged by kaepernick is peaceful knee, than the knee that killed this man. Ask yourself why. THIS MUST STOP."
anger,4.0,2.717,"i have been reading about George Floyd, but trying to avoid the full video. The officer apparently felt threatened enough to continue choking a handcuffed man to death.... while also having his hands casually sitting in his pockets? These incidents never get any less sickening."
anger,4.0,3.165,"If George floyd is murder does not strike at least a little bit of sympathy and/or rage, you are an utterly disgusting human being"
anger,5.0,3.185,"We must use #whiteprivilege to fight systemic racism &amp; racial injustice. The murder &amp; disregard for life is disgusting &amp; demands justice. Im not black, but I see you, hear you, mourn with you, &amp; fight for you. #whitesilenceisviolence #BlackLivesMatter #JusticeForGeorgeFloyd"
anger,3.0,2.4370000000000003,"""I think America must see that riots do not develop out of thin air. Certain conditions continue to exist in our society which must be condemned as vigorously as we condemn riots."" —Martin Luther King Jr Remember that, & the knee on George floyd is neck, as you read about looting"
