sentiment,sentiment_count,sentiment_score,tweet_text
anticipation,4.0,2.178,"I hope you will have this discussion today with your kids and run tomorrow, especially those of you with white children. Please do not think you are raising them colorblind. you are not. #BlackLivesMatter #AhmaudAubrey"
anticipation,4.0,2.281,"Tonight #StLouisSuperman story will finally be released. Many lessons learned, many moments to keep &amp; guide us in the coming days. Thanks for joining us on the journey. Mon May 18 9PM ET/PT MTV2 #blacklivesmatter"
anticipation,3.0,1.409,"They killed this man, and you watch nothing happens. Its a systemic issue that America HAS TO deal with. When is enough gonna be enough? Video after video and nothing gets done. #BlackLivesMatter"
anticipation,3.0,1.703,The protest calling attention to the death of George Floyd has moved to the Third Precinct in Minneapolis just east of Hiawatha and Lake. People have lined the street in front of the MPD building — rain is starting but the crowds have only grown.
anticipation,3.0,1.304,"Posted this on #TikTok, thought it fitting to share here. #BlackLivesMatter"
anticipation,2.0,0.984,4/ And it starts with white people acknowledging the inherent racism and then working to dismantle the systems of oppression that exist in this country that actively work against people of color. #BlackLivesMatter
anticipation,3.0,1.234,No longer should we see death like George floyd is as anything other than a public lynching. Meanwhile Jim Crow is still very much alive and breathing just fine.
anticipation,2.0,1.266,"Today is the day when we will start to see the inevitable list of reasons why the murder of #GeorgeFloyd was justified. The ""he should not have complied"". The ""he used drugs sometime in his life"". The ""there was that one time he had some legal trouble"". 1/3"
anticipation,4.0,2.032,"George Floyd a man of Peace • I question EVERYDAY if I said the right thing, if I gave a story the space it deserved. Today my co-host and I spoke candidly about all of our feelings surrounding the murder of #GeorgeFloyd."
anticipation,2.0,1.1320000000000001,"We live in a world where we are lead to believe events in the past have stayed in the past but that is very much not the case. Change needs to happen, not tomorrow, not next week, not next year but NOW. I should not have the privilege I do. #BlackLivesMatter"
anticipation,2.0,1.0779999999999998,Happening now a #BlackLivesMatters protest in Memphis. K-9 unit just arrived a couple people arrested
anticipation,4.0,2.21,Last night I thought it was possible Hennepin County Attorney Mike Freeman would start the day by charging the officer who murdered George Floyd in an attempt to prevent what is happening right now.
anticipation,5.0,2.343,Don't stop talking about this next week. Don't wait until the next black person dies. Don't wait until it is caught on film. Don't wait until someone is profiled. This shit will keep happening as long as we allow the cycle to continue. For the billionth time #BlackLivesMatter
anticipation,4.0,1.844,"I have seen people sharing ""George Floyd got caught using fake money to pay at a grocery store."" I was caught using a fake ID before I was 21.. Not once but TWICE and the cop/bouncer gave me a slap on the wrist and told me to leave. Both are felonies."
anticipation,2.0,0.9690000000000001,The memorial for #GeorgeFloyd continues to grow at 38th &amp; Chicago
anticipation,3.0,1.3430000000000002,Still watching press conference on George Floyd. i am troubled by all the white people leading this investigation. Whether they know it or not it says something to have no people of color leading investigation.
anticipation,3.0,1.492,This is bigger than ALL of us. MY city is demanding justice. MY people are demanding this country open their eyes. we have kneeled for too long. we have protested for too long. This country has been silent too long. it is finally time that you all listen to us. #BlackLivesMatter
anticipation,6.0,3.25,"UPDATE: Hennepin Co Medical Examiner says office ""awaiting final results from laboratory studies to provide the most medically accurate because of death determination possible."" Wonder if thats the data prosecutors were waiting on before today is non-news conference? #GeorgeFloyd"
anticipation,4.0,1.742,"After George Floyd death, University of Minnesota will not hire police as security at football games | Fox Business"
anticipation,3.0,1.6480000000000001,you were pissed when they marched. when they said black lives matter. when they spoke out. when they filmed. when they knelt. when they were peaceful. what did you expect to happen?
anticipation,2.0,1.0390000000000001,"""it is been tough,"" said Nyalen Pidor, who grew up in nearby Eagan. ""I did not come out last night, but wanted to today...feel uneasy though because you do not know what is going to happen."" #GeorgeFloyd"
anticipation,4.0,2.219,"Tbh if you a non Black person and you not donating/sharing the links for medical supplies, bail out funds, and the gofundme for George Floyd, do not talk to me. Put the performative activism away, and start putting your money where your mouth is."
anticipation,3.0,1.7180000000000002,#denver is Police they look more like military still advancing on innocent citizens. Ironically in front of #colorado is Supreme Court. #GeorgeFloyd #BlackLivesMater – at Colorado Supreme Court &amp; Colorado Court of Appeals
anticipation,4.0,2.172,Good morning. it is time to give this bread to i will be retweeting every donation that comes through my notifications. So let is get started!
anticipation,2.0,1.078,"We have a racists coming out of the closet on FB, let is make sure their employers know who they are: Joe Cunningham owns Wraps2Go in Greensboro, NC. Please share and let the world know what he thinks of us. #BlackLivesMatter"
anticipation,4.0,2.1719999999999997,"I woke up feeling more anxious than usual today . From what is going on in Minneapolis, George floyd is death, that reporter getting arrested on LIVE TV. My heart aches for this world. We need healing ."
anticipation,4.0,1.781,"You can not stand back and watch this happen to Minneapolis, but you can stand back and watch the murders of HUNDREDS of innocent black men and women DAILY?!? We need change. No one would listen when protests were peaceful. So this is what it is come to. #BlackLivesMatter"
anticipation,3.0,1.461,"good morning you all brown lives matter is not and should not be a thing. it is nothing more than an anti-black attempt to co-opt a black movement. it is not about brown lives at all. now is our time to listen, support, and boost Black voices. read the fucking room."
anticipation,2.0,1.0070000000000001,"everyone needs to watch this. i really can not believe this is happening in this country, especially in 2020. #BlackLivesMatters"
anticipation,4.0,2.6630000000000003,"there is a walk for george floyd tomorrow at noon in south bend, i am eager to be a part of it and i hope those who are ready for change will join us. enough is enough"
anticipation,3.0,1.554,"HAPPENING NOW: Better Dayton Coalition calling for a peaceful protest tomorrow in memory of George Floyd, Breonna Taylor, and Ahmaud Arbery. They say it will be at noon in front of the federal building."
anticipation,2.0,1.046,san antonio ppl: George Floyd vigil and march tomorrow at Travis Park 5:00 PM. wear a mask and spread the word.
anticipation,5.0,2.262,"I will always speak peace!! But Blacks can not keep marching, singing & waiting for Justice!! BLACKS WE ARE AT WAR State of Emergency WITH WHITE NATIONALISTS, KKK & AMERICA!!! #stateofemergency #blacklivesmatter #MinneapolisRiot #GeorgeFloydprotest"
anticipation,4.0,1.921,"BREAKING: USAG Barr calls video of death of George Floyd in #Minneapolis ""harrowing to watch and deeply disturbing"" Barr also says &amp; are ""conducting an independent investigation to determine whether any federal civil rights laws were violated..."""
