sentiment,sentiment_count,sentiment_score,tweet_text
trust,6.0,2.696,"Excited to share a #poem from my upcoming collection ""Green Horses On the Walls"" Thank you/Mersi 4 the invite &amp; 4 creating this #global #community #InternationalPoetryCircle #RomanianAmerican #Denver #Bucharest #BlackLivesMatter"
trust,5.0,2.969,"""Repairing the deep, historical, and continuing harm done to black people will require deep, abiding transformations....To fulfill the promise that black lives matter, the United States must change in systemic and not superficial ways."""
trust,4.0,2.141,"I am very happy to be working with Publishers as the editor of a poetry anthology titled ""I am Black"". We want to celebrate and explore Blackness in Canada. Submissions are open today Please read + share. #poetry #canada #BlackLivesMatter #BlackTwitter"
trust,5.0,2.508,Just talked with multiple #FrontLineHeroes in TX Demand Testing &amp; PPE! Labor leaders please tell Governors like that Millions of Women of Color are the Most Essential Workers in America and #BlackLivesMatter
trust,6.0,3.313,"What happened to: ""Stop resisting"" ""Don't break the law"" ""Show the officers some respect"" ""BLUE LIVES MATTER"" ""they are just doing their job"" ""Obey their orders even if you disagree with them"" .....or does that only apply for black people/minorities?"
trust,5.0,2.369,"White people when unarmed black men and boys are murdered in the street: ""Follow the rules or leave. Blue lives matter"" White people when white women get arrested for directly disobeying legal orders:"
trust,5.0,2.6639999999999997,"I am shaking. His name is Ahmaud Arbery. He was jogging in Brunswick, #Georgia when 2 men chased him down, telling police later they thought he looked like a suspect in a series of recent break-ins in the area. No justice, no peace. #BlackLivesMatter"
trust,4.0,2.281,"I can not put my anger into words. #AhmaudArbery was murdered by #domesticterrorist, a former Police Officer &amp; his son. This modern day #lynching did not make the news in this #COVID19 era, so contact DA immediately to demand justice. #blacklivesmatter"
trust,5.0,2.594,Please Share Ahmaud Arbery was an innocent 25 year old black man that was murdered by two white men He jogged in the area every single day and people would call the police on him and say he was a burglar. that is not even the worst part the murder was recorded #BlackLivesMatter
trust,4.0,1.9140000000000001,"I will not share the video, but will not be silent. #AhmaudArbery matters. #BlackLivesMatter The systems which allows this must change."
trust,4.0,2.141,I am terrified of one day bringing Black children into this world knowing I can not keep them safe and protected from the evils of this world and white supremacy. #Blacklivesmatter #JusticeForAhmaudArbery
trust,4.0,2.03,"Discussing w Mosi today why we are running tomorrow morning is going be difficult for obvious reasons. I can not imagine what it is like to know you are in danger, being hunted, in the most peaceful of circumstances. #blacklivesmatter #irunwithahmaud #runwithahmaud #ahmaudaubrey"
trust,4.0,2.517,"The fact #Prince came back to Twitter and dropped a protest song for Freddie Gray was iconic! 5 Years later we are STILL screaming ""If there am not no justice, then there am not no peace"" #AmaudArbery #SeanReed #BlackLivesMatter"
trust,3.0,1.907,Some photos from today is rally for #SeanReed. I hope the family get the answers and justice they deserve. #Indianapolis #BLM #BlackLivesMatter
trust,4.0,2.149,"How white conservatives with ""all lives matter"" bumper stickers look when they ask ""what about context?"" regarding the murder of innocent, unarmed black men:"
trust,4.0,2.3819999999999997,"""But let justice roll on like a river, righteousness like a never-failing stream!"" Amos 5:24 #blacklivesmatter #ahmaudarbery #glendaleumc – at Glendale United Methodist Church Nashville"
trust,4.0,2.43,"""It feels like #BlackLivesMatter and #COVID19 are colliding."" Answer: True. African-Americans are being disproportionately impacted by the spread of coronavirus, but official government statistics minimize the problem via"
trust,8.0,4.9,"I prefer to let those impacted directly share their own truth, but here is my reminder that Black Lives Matter, women need to be empowered &amp; trusted, trans rights are human rights, Native Americans are still losing what is theirs, immigrants deserve better, and so much more."
trust,5.0,2.571,"A very important analysis and wake-up call for the church. Do ‘Black lives matter less'? Our collective behaviour and lack of positive action to the contrary would suggest so, according to the research by"
trust,4.0,1.97,"Sadly, in the eyes of the Democrat party, black conservatives dont count. Not ALL black lives matter to them. Black conservatives are the most politically courageous demographic there is given that an entire political party does not count them in their identity political base"
trust,4.0,2.617,For #MemorialDay2020 we are honoring families who have been impacted by #gunviolence &amp; police violence. An activist &amp; loving Brother asked us to #SayHerName today. #RekiaBoyd we you! #GKMCCares #GKMCMemorials #memorialdayweekend2020 #BlackLivesMatter #GoodKidsMadCity
trust,3.0,2.149,". killed George Floyd on video with excessive force. So much for ""Trust, Accountability, and Professional Service"""
trust,6.0,2.8120000000000003,i am distraught. a black man was MURDERED by minneapolis police 6 blocks from my home. George Floyd should have woken up this morning. His life mattered! FUCK ALL COPS! THERE ARE NO GOOD COPS. BURN THIS SYSTEM TO THE GROUND!!!
trust,5.0,2.641,The Minneapolis Police union is led by a white supremacist named Bob Kroll. He welcomed Trump with open arms and he represents the rank and file. I blame the death of George Floyd on him and every Minneapolis elected official that does nothing to hold him accountable.
trust,6.0,2.7110000000000003,"Police still murdering black folks. White folks making fake calls to 911 claiming victim. For those who got upset about the Black Lives Matter movement, I encourage you to eat a monstrous d*ck. Yes, ALL lives matter. Its just black lives that are not treated that way."
trust,8.0,4.0950000000000015,"""...the question is not whether this country will finally fully value black lives. America does not get a vote in the matter. The question is whether this country will continue to find itself in the dangerous place of having policies, customs and laws that oppose the will of God."""
trust,5.0,2.4530000000000003,i am so fucking tired of getting on social media and seeing another black person being murdered by the people who swear to protect all citizens. Police believe they are above the law because they get away with this shit constantly. My heart hurts. Black lives fucking matter.
trust,4.0,2.156,"""And He said, ""What have you done? The voice of your brother is blood cries out to Me from the ground."" Gen. 4:10 This brother, George Floyd, his blood is crying out. Folks...why?? Where is our humanity? I continue to do this work &amp; I want to believe but...why??"
trust,6.0,3.0,"I have no words. Minneapolis Council VP Andrea Jenkins, who was extremely disrespectful / raised her voice at Justice4Jamar Clark protesters; voted for said budget to fund / hire MORE police, is at the George Floyd protest. absolutely disgusting. vote the entire council out."
trust,4.0,2.117,"Please call! Demand justice for #GeorgeFloyd #BlackLivesMatter Minneapolis Mayor Jacob Frey: Ph: 612 673-2100 Email: minneapolis311 Minneapolis Dept. Of Civil Rights: Velma Korbel, Director Ph: 612 673-3012 Minneapolis Police Chief: Ph: 612 673-3000"
trust,4.0,2.32,"His name was George Floyd. He was our neighbor. Yesterday he was killed by a MPD officer kneeling on the back of his neck, while he was begging for air. Today thousands in masks, march on 38th and Chicago, demand #JusticeForGeorgeFloyd #BlackLIvesMatter"
trust,6.0,3.258,"With Minneapolis police are waging war against civilians simply for demanding justice for George Floyd while allowing white folks to peacefully protest a virus, just thought i would share this important info on handling tear gas from pigs. #ftp #icantbreathe #BlackLivesMatters"
trust,4.0,2.673,"The fact that cops keep getting away with literal Murder is appalling to me... something needs to be done, every week there is a new video of another crime being committed, yet with no justice. #GeorgeFloyd"
trust,4.0,2.468,My daughters who are 9 & 11 years old are with me and my partner tonight marching peacefully to advocate for justice for #GeorgeFloyd who was murdered yesterday by a Minneapolis police officer.
trust,4.0,2.164,"The last time I heard the words ""I can not breathe"" was when I took care of a nurse who had #covid19. She was in tears. These were the words that #GeorgeFloyd said before he was killed by a police officer who suffocated him. Haunting. #icantbreathe"
trust,4.0,2.595,"Deeply saddened by the news of George floyd is death. The evident injustice in the disregard for his humanity is appalling. Going forward, I will work with other local and state leaders to see this pattern never repeat itself. Rest In peace George. #mnleg #GeorgeFloyd"
trust,5.0,2.617,Today I walked the neighborhood w/my great nephew. He ran ahead out-of-sight. I grew nervous. What could happen to my AA GN if he steps in the wrong yard? Makes an awkward gesture? Startles a gardening neighbor? Asks someone to obey the law? Do #BlackLivesMatter in ? #Gen127
trust,6.0,3.242,"MLK quotes in Feb mean absolutely nothing if we can not keep our law enforcement agencies, judicial system, and neighbors accountable. George Floyd and thousands of black and brown persons have died at the hands of Americans. 2020 is the year this ends."
trust,4.0,1.9380000000000002,Black culture but in doing so we also have the responsibility of cultivating it n preserving just like how we preserve our own. BLACK LIVES MATTER bc for the last few centuries these killings and injustices have been swept under the rug and treated as though they never happened
trust,5.0,2.899,"I pray for our world in the midst of a pandemic where we need masks to walk outside our homes. I pray for my fellow black people that live in fear of becoming a #and another innocent life taken I pray for change, safety& justice #AmyCooper #BlackLivesMatter #RIPGeorgeFloyd"
trust,5.0,2.4530000000000003,"1/13 will not be able to sleep tonight. The murder of George Floyd has been on my mind all day. After I graduated from law school, I became a Public Defender in Hennepin County because I wanted to help people. Yet, it is instances like this that make me feel helpless."
