tweet_created_dt,tweet_text,final_tweet_text,sentiment,sentiment_count,sentiment_score
2020-04-17 12:41:07,"""Repairing the deep, historical, and continuing harm done to black people will require deep, abiding transformations....To fulfill the promise that black life matter, the United States must change in systemic and not superficial ways.""","['repairing', 'repair', 'the', 'deep', 'historical', 'and', 'continuing', 'continue', 'harm', 'done', 'do', 'to', 'black', 'people', 'will', 'require', 'deep', 'abiding', 'abide', 'transformations', 'transformation', 'to', 'fulfill', 'the', 'promise', 'that', 'black', 'lives', 'life', 'matter', 'the', 'united', 'states', 'must', 'change', 'in', 'systemic', 'and', 'not', 'superficial', 'ways', 'way']",trust,5.0,2.969
2020-04-28 19:24:30,Imagine calling Black organizer fake warrior because you are white and tweet that Black Lives Matter. I REALLY HAVE TO LAUGH YALL I REALLY DO,"['imagine', 'calling', 'call', 'black', 'organizers', 'organizer', 'fake', 'warriors', 'warrior', 'because', 'you', 'are', 'be', 'white', 'and', 'tweet', 'that', 'black', 'lives', 'life', 'matter', 'i', 'really', 'have', 'to', 'laugh', 'yall', 'i', 'really', 'do']",joy,3.0,1.4379999999999997
2020-04-30 19:23:01,Cop Smacks 13 Year old in Sicklerville #wildfights #wildfight #wild #viral #streetfights #streetfight #schoolfights #schoolfight #coronavirus #crazyfights #crazyfight #Fights #fight #girlfights #girlfight #NewJersey #sicklerville #BlackLivesMatter #Policeviolence #racist – at Sicklerville VFW,"['cop', 'smacks', 'smack', '13', 'year', 'old', 'in', 'sicklerville', '#wildfights', '#wildfight', '#wildfight', '#wild', '#viral', '#streetfights', '#streetfight', '#streetfight', '#schoolfights', '#schoolfight', '#schoolfight', '#coronavirus', '#crazyfights', '#crazyfight', '#crazyfight', 'fights', '#fight', '#girlfights', '#girlfight', '#girlfight', 'newjersey', '#sicklerville', 'blacklives', 'matter', 'policeviolence', '#racist', 'at', 'sicklerville', 'vfw']",anger,2.0,1.418
2020-04-30 22:17:32,i am sure the Senate Leader would take time to speak with a bunch of armed Black Lives Matter protestors if they took over the state capitol.,"['i', 'am', 'be', 'sure', 'the', 'senate', 'leader', 'would', 'take', 'time', 'to', 'speak', 'with', 'a', 'bunch', 'of', 'armed', 'black', 'lives', 'life', 'matter', 'protestors', 'protestor', 'if', 'they', 'took', 'take', 'over', 'the', 'state', 'capitol']",trust,3.0,1.524
2020-05-01 01:12:29,Exactly!!! #BlackLivesMatter,"['exactly', 'blacklivesmatter']",,0.0,0.0
2020-05-01 05:34:06,Criminal! We know the Ugly Truth that for too many Black Lives Don't Matter!,"['criminal', 'we', 'know', 'the', 'ugly', 'truth', 'that', 'for', 'too', 'many', 'black', 'lives', 'life', 'do', ""n't"", 'not', 'matter']",trust,2.0,1.3210000000000002
2020-05-05 19:14:31,I am so hurt for this young man and his family. No justice no peace #BlackLivesMatter too,"['i', 'am', 'be', 'so', 'hurt', 'for', 'this', 'young', 'man', 'and', 'his', 'he', 'family', 'no', 'justice', 'no', 'peace', 'blacklives', 'blacklive', 'matter', 'too']",trust,3.0,1.79
2020-05-06 11:34:50,"#BlackLivesMatter to Jesus. A man wa murdered while jogging in broad daylight just because of the color of his skin. This is explicit racism. If Christians do not stand in opppsition, they are, at best, complicitly racist. #AhmaudArbery","['blacklives', 'matter', 'to', 'jesus', 'a', 'man', 'was', 'be', 'murdered', 'murder', 'while', 'jogging', 'jog', 'in', 'broad', 'daylight', 'just', 'because', 'of', 'the', 'color', 'of', 'his', 'he', 'skin', 'this', 'is', 'be', 'explicit', 'racism', 'if', 'christians', 'do', 'not', 'stand', 'in', 'opppsition', 'they', 'are', 'be', 'at', 'best', 'complicitly', 'racist', 'ahmaudarbery']",fear,1.0,0.9059999999999999
2020-05-06 19:34:38,i am tired of cry i am tired of living in fear i am tired of wondering which constituent might come for me or my family #SayHisName #AhmaudArbery #BlackLivesMatter,"['i', 'am', 'be', 'tired', 'of', 'crying', 'cry', 'i', 'am', 'be', 'tired', 'of', 'living', 'live', 'in', 'fear', 'i', 'am', 'be', 'tired', 'of', 'wondering', 'wonder', 'which', 'constituent', 'might', 'come', 'for', 'me', 'i', 'or', 'my', 'family', 'sayhisname', 'ahmaudarbery', '#blacklives', 'matter']",joy,4.0,1.824
2020-05-07 04:05:52,On point! Share this around the world. #BlacklivesMatter #AllLivesMatter #StopThisStupidity,"['on', 'point', 'share', 'this', 'around', 'the', 'world', 'blacklives', 'matter', 'all', 'lives', 'life', 'matter', 'stop', 'thisstupidity']",trust,2.0,1.063
2020-05-07 10:51:22,#blacklivesmatter #blacklivesmatter #blacklivesmatter #blacklivesmatter #blacklivesmatter #blacklivesmatter – at University of Pennsylvania,"['#blacklivesmatter', '#blacklivesmatter', '#blacklivesmatter', '#blacklivesmatter', '#blacklivesmatter', '#blacklivesmatter', 'at', 'university', 'of', 'pennsylvania']",anticipation,1.0,0.406
2020-05-07 15:18:14,#BlackLivesMatter thats the tweet.,"['blacklives', 'blacklive', 'matter', 'that', 's', 'be', 'the', 'tweet']",trust,1.0,0.47700000000000004
