sentiment,sentiment_score,tweet_text
trust,2.969,Repairing the deep historical and continuing harm done to black people will require deep abiding transformationsTo fulfill the promise that black life matter the United States must change in systemic and not superficial way
joy,1.4379999999999995,Imagine calling Black organizer fake warrior because youre white and tweet that Black Lives Matter I REALLY HAVE TO LAUGH YALL I REALLY DO
anger,2.085,Cop Smacks 13 Year old in Sicklerville wildfights wildfight wild viral streetfights streetfight schoolfights schoolfight coronavirus crazyfights crazyfight Fights fight girlfights girlfight NewJersey sicklerville BlackLivesMatter Policeviolence racist – at Sicklerville VFW
trust,1.5240000000000002,Im sure the Senate Leader would take time to speak with a bunch of armed Black Lives Matter protestors if they took over the state capitol
trust,1.3210000000000002,Criminal We know the Ugly Truth that for too many Black Lives Dont Matter
trust,1.79,I am so hurt for this young man and his family No justice no peace BlackLivesMatter too
fear,0.906,BlackLivesMatter to Jesus A man wa murdered while jogging in broad daylight just because of the color of his skin This is explicit racism If Christians do not stand in opppsition they are at best complicitly racist AhmaudArbery
joy,1.824,Im tired of cry Im tired of living in fear Im tired of wondering which constituent might come for me or my family SayHisName AhmaudArbery BlackLivesMatter
trust,1.063,On point Share this around the world BlacklivesMatter AllLivesMatter StopThisStupidity
anticipation,0.406,blacklivesmatter blacklivesmatter blacklivesmatter blacklivesmatter blacklivesmatter blacklivesmatter – at University of Pennsylvania
trust,0.477,BlackLivesMatter thats the tweet
trust,0.711,This spokenword say so much AhmaudArbery JusticeForAhmaud BlackLivesMatter
sadness,1.415,Right I remember when Pnk said Black Lives Matter and lost a million fan on IG
sadness,1.3039999999999998,Its crazier to see people defend lie in the medium designed to stir up racial animosity especially given the number of dead cop that resulted from the black life matter movement
trust,0.8909999999999999,Because a a reporter I know a much or more about the black life matter movement a anybody and when I see exactly the same guy using exactly the same playbook a few month before an election I know whats up
sadness,2.4130000000000003,Before anyone try to say anything else about Black people behavior or body deal wstructural racism Blacks are 6 time more than Whites to be turned away for COVID19 testing amp treatment at hospital Blacks are dying because our life are devalued BlackLivesMatter
trust,1.188,SayHerName BreonnaTaylor BlackLivesMatter Thank you for seeking justice ForThePeople
trust,1.305,BreonnaTaylor executed by police AhmaudArbery executed by vigilante But white people need their waffle BlackLivesMatter
anticipation,2.281,Tonight StLouisSuperman story will finally be released Many lesson learned many moment to keep amp guide u in the coming day Thanks for joining u on the journey Mon May 18 9PM ETPT MTV2 blacklivesmatter
trust,2.571,A very important analysis and wakeup call for the church Do ‘Black life matter le Our collective behaviour and lack of positive action to the contrary would suggest so according to the research by
trust,1.188,My name is José I am not Black but I see you I am not Black but I hear you I am not Black but I stand with you JusticeForAhmaud BlackLivesMatter
trust,1.97,Sadly in the eye of the Democrat party black conservative dont count Not ALL black life matter to them Black conservative are the most politically courageous demographic there is given that an entire political party doesnt count them in their identity political base
anticipation,0.75,Ward 7 Car Caravan for ha started All Black Lives Matter peoplefirst bethechange bethevillage
sadness,2.5780000000000003,George Floyd wa murdered by two police officer last night in Minneapolis One kneeled on his neck a he cried out I cant breathe The other officer stood by and watched his fellow officer murder a Black man
sadness,0.812,Rest in power George Floyd This parallel make me sick Another situation where a Black man can not breathe
disgust,0.976,Theyve been lying about this here land being the land of the freefor four hundred and one year now RIPGeorgeFloyd ICantBreathe justiceforFloyd BlackLivesMatter
trust,2.149,killed George Floyd on video with excessive force So much for Trust Accountability and Professional Service
trust,0.648,the brother name wa George Floyd
fear,1.922,This is America Enough with watching innocent men and woman caught on camera being murdered and enough with becoming a hashtag Id love to live in a world where i dont have to fear for my life because of the color of my skin blacklivesmatter GeorgeFloyd
joy,1.045,Rest In Peace GeorgeFloyd If you dont know google him This is why kneeled
trust,1.6410000000000002,AmyCooper called the police and lied on ChristianCooper in hope that the police would do to him similarly what they did to GeorgeFloyd Let that sink in BlackLivesMatter icantbreathe
sadness,1.89,I guess killing unarmed black people is considered essential work GeorgeFloyd AhmaudArbery BreonnaTaylor
fear,2.0,And now GeorgeFloyd an unarmed African American murdered by a white police in a broad daylight He wa repeatedly saying I cant breathe to the officer who ha his knee on the man neck amp let him die blackinamerica racialbias keeprecording exposeinjustice injustice
fear,1.036,My God We are a country at war GeorgeFloyd PoliceTerrorist
fear,2.547,HE WAS ASPHYXIATED by a police officer In broad daylight With multiple witness screaming at him to stop Plain a day No CPR when unconscious Mortified Heartbreaking Im struggling to find word GeorgeFloyd
anticipation,0.391,Some art therapy BlackLivesMatter
fear,1.422,George Floyd Remember his name People watching pleading to Minneapolis police with an officer knee on his neck not to murder George when he kept telling them he couldnt breathe Just STOP this And we ALL must just stop allowing this to happen
fear,3.297,His name wa George Floyd and he wa murdered by monster pretending to be police officer I hope that for once justice prevails and these fucking animal rot in prison for the rest of their natural life
fear,2.906,As protest grow in Minneapolis Eric Garners daughter Emerald reacts to George Floyds death No one wa ever criminally indicted for Eric Garners death despite being ruled a homicide by Medical Examiner icantbreathe JusticeForFloyd – at Staten Island NY
joy,2.258,Were living in time of an unprecedented global pandemic but this This image is gonna make history book George Floyd will make history book Peace love and safety to you all
anger,2.6060000000000003,Images of violence from GeorgeFloyd protester will dominate national news coverage tomorrow but remember they are the minority The majority are peaceful see previous tweet but also sad angry and dismayed they have to be out here again
joy,0.9690000000000001,I pray for your family George Floyd SayHisName
trust,2.8989999999999996,I pray for our world in the midst of a pandemic where we need mask to walk outside our home I pray for my fellow black people that live in fear of becoming a and another innocent life taken I pray for change safety justice AmyCooper BlackLivesMatter RIPGeorgeFloyd
anger,0.5,Say his name GeorgeFloyd icantbreathe blackinamerica racism racialbias keeprecording exposeracism injustice
joy,1.344,For Christians either Black Lives Matter or you dont think Jesus is Lord Pick one
trust,2.156,Im a fan and I dont mind if their player want to protest the murder of George Floyd I dont mind if any player on any team protest this A man is dead at the hand of the police His neck pinned down by a knee for over 5 minute TakeAKnee JusticeForGeorgeFloyd
sadness,3.3439999999999994,With a sad heart l want to offer my condolence to the family of George Floyd he wa murderd by police officer in Minneapolis due one such officer kneeling on his neck a he begged for air So far they have only been fired why arent they in jail why are they allow to be free
trust,1.79,No justice no peace BlackLivesMatter GeorgeFloyd racistamerica
fear,1.569,Remember when White Suprematists stormed the MI capitol with gun forced them to end their session early and walked away without any repercussion This wa Minnesotas response to BlackLivesMatter protest This is White Privilege in action
trust,2.524,Sometimes Black men just want to love bird My youngest boy love bird I wont let racism stop him from loving bird Thanks to ChristianCooper for the inspiration through the hate CentralPark AmyCooper GeorgeFloyd Minneapolis iCantBreathe BlackLivesMatter
fear,1.234,Murder Thats what it wa George Floyd wa murdered by the police Call it out yall
trust,2.798,Local cop in Delaware wear blue life matter toboggan when it cold out So that go to show you the police themselves dont give a fuck about the black life matter movement In fact they hate that shit
sadness,1.594,We cant make a change if yall dont change Black people Black adult Black kid Are hurting Maybe if everyone hurt the same for the dehumanization of Black body thing would change GeraldFloyd AhmaudArbery ChristianCooper Minneapolis BlackLivesMatter
trust,2.391,With the murder of George Floyd I want to remind Virginians of the Va justice app from Va ACLU If you ever find yourself in a situation a a witness or victim you can film and have it auto upload to their cloud so police can not destroy evidence from your phone Be vigilant
trust,1.7730000000000001,If you dont see a problem with the response to peaceful protester demanding justice for GeorgeFloyd v the military protest to reopen the country youre part of the problem Justice will not be served until those who are unaffected are a outraged a those who are
fear,3.165,before i start minding my business today i wonder if the people trying to defend amycooper saw the video of the police killing georgefloyd she weaponized her race and tried to get mr cooper killed in a society in which being black and existing is a crime
trust,0.422,We can not let this continue Please remember George Floyd
fear,3.3150000000000004,Police bought that mass shooter Burger King CAUSE HE WAS FUCKING HUNGRY AFTER SHOOTING UP A CHURCH IF YOU STILL REFUSE TO BELIEVE INSTITUTIONAL RACISM IS ALIVE TODAY OPEN YOUR EYES LISTEN LISTEN Than scream BLACK LIVES MATTER BLACK LIVES MATTER
joy,0.547,Look at John McCains Daughter making sense BlackLivesMatter
joy,0.469,GeorgeFloyd BreonnaTaylor SeanReed AhmaudArbery Rest in Power
joy,0.847,This entitled as clown is primarying Ed Markey from the right and cant even bring himself to say Black Lives Matter Fuck Joe Kennedy
trust,0.821,White people we need to have a conversation And not just on Twitter BlackLivesMatter icantbreathe MinneapolisPoliceMurderdHim RIPGeorgeFloyd whiteprivilege whitepeople BLM GeorgeFloydWasMurdered
trust,2.156,The latest video which show police pulling George Floyd from his car and dragging him around serve a further evidence that not only wa he not resisting arrest but those who took his life were the one who treated him like an object from the start
trust,1.649,Unfollow me if you dont support the Black Lives Matter movement If you dont you are denying equitable standard and treatment to all black Americans Justice for George Floyd
trust,0.477,black life matter
sadness,0.7190000000000001,it funny to me how all life matter only trend when black life matter doe it a protest to our protest yall dont actually care u just want to diminish black people
fear,3.609,People at the protest for George Floyds murder are getting TEAR GASSED When crowd of MAGA white people were screaming in cop face because Karen cant wait 3 month to get a haircut during a global pandemic they call it freedom of speech This is America
trust,0.843,GeorgeFloyd Photos capture the stark contrast in police response to George Floyd protest v antilockdown protest Covid19 GeorgeFloydWasMurdered
sadness,0.8440000000000001,Today and every day blacklivesmatter We grieve for George Floyd Ahmaud Arbery Breonna Taylor and countless others We demand justice We demand a more just world for our student
fear,2.837,Mother of the black jogger Ahmaud Arbery shot dead in February tell u I thought Ahmauds death would change the world But after the video of George Floyd with a police officer knee on his neck she concludes It hasnt changed anything
fear,3.806,Why do police kill Blacks with Impunity Whites superhumanize Blacks believe that Blacks have a higher pain tolerance Consequently officer perceive that more force is required stop them even when Black arent attacking W GeorgeFloyd
fear,3.958,George Floyds brutal killing is a graphic example of the danger posed by a police force that doe not fear legal repercussion
trust,1.9769999999999999,A Black person is killed by law enforcement every 40 hour Black male teenager are 21 time more likely to be killed by an officer than White male teenager And over 50 of time that force is used the person is Black GeorgeFloyd BlackLivesMatter
trust,0.774,When you are practically begging for your life a worthlessvile human being continues to step on your neck show no mercy GeorgeFloyd icantbreathe
anger,1.382,text FLOYD to 55156 to sign a petition demanding that the officer that murdered George Floyd are arrested and charged
sadness,4.502,I spent the day mourning the murder of GeorgeFloyd and lamenting the ever present lie of white supremacy in our nation Am planning to make a statement and share some thought in a live stream on my campaign YouTube channel and Facebook page Thursday morning
trust,1.766,Can CNN please get the gentleman Donald Williams you interviewed who watched George Floyds murder professional support or resource please
