text,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,anger,disgust,joy,sadness,surprise,fear,esn_sentiment,esn_sentiment_count
We won’t be silent no more #BlackLivesMatter #2020Protests #juneteenth2020,"['we', 'will', 'not', 'be', 'silent', 'no', 'more', 'black', 'lives', 'matter', '2020', 'protests', 'juneteenth2020']","[""we'"", 'will', 'not', ""be'"", 'silent', ""no'"", 'more', 'black', 'life', 'matter', '2020', 'protest', 'juneteenth2020']",trust,1.0,0.47700000000000004,inspired,7.0,1.233204902893631,0.0,0.0,3.0,2.0,0.0,0.0,joy,3.0
Proud to support this strong leader to be our next state rep. Not afraid to call out the murder of George Floyd at the hands of those paid to protect him. Also not afraid to call out PA House GOP leadership for endangering lives for partisanship. #LeadershipMatters #Nancy4PA152,"['proud', 'to', 'support', 'this', 'strong', 'leader', 'to', 'be', 'our', 'next', 'state', 'rep', 'not', 'afraid', 'to', 'call', 'out', 'the', 'murder', 'of', 'george', 'floyd', 'at', 'the', 'hands', 'of', 'those', 'paid', 'to', 'protect', 'him', 'also', 'not', 'afraid', 'to', 'call', 'out', 'pa', 'house', 'gop', 'leadership', 'for', 'endangering', 'lives', 'for', 'partisanship', 'leadership', 'matters', 'nancy', '4', 'p', 'a152']","['proud', ""to'"", 'support', 'this', 'strong', 'leader', ""to'"", ""be'"", 'we', 'next', 'state', 'rep', 'not', 'afraid', ""to'"", 'call', 'out', ""the'"", 'murder', 'of', 'george', 'floyd', 'at', ""the'"", 'hand', 'of', 'those', 'pay', ""to'"", 'protect', 'he', 'also', 'not', 'afraid', ""to'"", 'call', 'out', ""pa'"", 'house', 'gop', 'leadership', 'for', 'endanger', 'life', 'for', 'partisanship', 'leadership', 'matter', 'nancy', '4', 'p', 'a', '152']",trust,6.0,3.141,annoyed,30.0,4.786718852181471,0.0,0.0,13.0,2.0,0.0,2.0,joy,13.0
"It should never be ""my country: right or wrong"" - it should be ""my country: fix what's wrong"" and right now that's a lot, I'm not a politician, I'm not an influncer, I'm a guy from a small town saying ""I see it and how can I help"" #BlackLivesMatter #saveblacklives","['it', 'should', 'never', 'be', 'my', 'country', 'right', 'or', 'wrong', 'it', 'should', 'be', 'my', 'country', 'fix', 'what', 'is', 'wrong', 'and', 'right', 'now', 'that', 'is', 'a', 'lot', 'i', 'am', 'not', 'a', 'politician', 'i', 'am', 'not', 'an', 'influncer', 'i', 'am', 'a', 'guy', 'from', 'a', 'small', 'town', 'saying', 'i', 'see', 'it', 'and', 'how', 'can', 'i', 'help', 'black', 'lives', 'matter', 'saveblacklives']","['it', 'should', 'never', ""be'"", 'my', 'country', 'right', 'or', 'wrong', 'it', 'should', ""be'"", 'my', 'country', 'fix', 'what', 'be', 'wrong', 'and', 'right', 'now', 'that', 'be', 'a', 'lot', ""i'"", 'be', 'not', ""a'"", 'politician', 'i', 'be', 'not', 'a', 'influncer', 'i', 'be', 'a', 'guy', 'from', 'a', 'small', 'town', 'say', ""i'"", 'see', 'it', 'and', 'how', 'can', 'i', 'help', 'black', 'life', 'matter', 'saveblacklive']",trust,1.0,0.47700000000000004,inspired,18.0,3.2636196749214195,1.0,1.0,9.0,3.0,4.0,1.0,joy,9.0
I understand that but what’s at work right now has nothing to do with George Floyd may he rest in peace or police brutality. This has to do with other forces trying to destroy everything this country stands for.,"['i', 'understand', 'that', 'but', 'what', 'is', 'at', 'work', 'right', 'now', 'has', 'nothing', 'to', 'do', 'with', 'george', 'floyd', 'may', 'he', 'rest', 'in', 'peace', 'or', 'police', 'brutality', 'this', 'has', 'to', 'do', 'with', 'other', 'forces', 'trying', 'to', 'destroy', 'everything', 'this', 'country', 'stands', 'for']","[""'i"", 'understand', 'that', 'but', 'what', 'be', 'at', 'work', 'right', 'now', 'have', 'nothing', ""to'"", ""do'"", 'with', 'george', 'floyd', 'may', 'he', 'rest', 'in', 'peace', 'or', 'police', 'brutality', 'this', 'have', ""to'"", ""do'"", 'with', ""'other"", 'force', 'try', ""to'"", 'destroy', 'everything', 'this', 'country', 'stand', 'for']",fear,3.0,1.516,inspired,20.0,3.029857164523761,0.0,0.0,11.0,1.0,1.0,1.0,joy,11.0
"Our Wreck-it-Ralph @RalphNortham Governor of Va sure dictated total control when in the midst of #COVID19 pandemic, but now is letting rioters &amp; looters run wild in Richmond to “get out their emotions” as the now Democrat mantra goes. #GeorgeFloyd #AmericaStrong ","['our', 'wreck', 'it', 'ralph', 'governor', 'of', 'va', 'sure', 'dictated', 'total', 'control', 'when', 'in', 'the', 'midst', 'of', 'covid19', 'pandemic', 'but', 'now', 'is', 'letting', 'rioters', 'looters', 'run', 'wild', 'in', 'richmond', 'to', 'get', 'out', 'their', 'emotions', 'as', 'the', 'now', 'democrat', 'mantra', 'goes', 'george', 'floyd', 'america', 'strong']","[""'our'"", 'wreck', 'it', 'ralph', 'governor', 'of', ""va'"", 'sure', 'dictate', 'total', 'control', 'when', 'in', ""the'"", 'midst', 'of', 'covid', '19', 'pandemic', 'but', 'now', 'be', 'let', 'rioter', 'looter', 'run', 'wild', 'in', 'richmond', ""to'"", 'get', 'out', 'they', 'emotion', 'as', 'the', 'now', 'democrat', 'mantra', 'go', 'george', 'floyd', 'america', 'strong']",fear,3.0,1.555,inspired,29.0,4.822064022803007,0.0,0.0,10.0,0.0,0.0,0.0,joy,10.0
"Scenes across America: White people encouraging black folks to use violence, setting up pallets of bricks, rocks. I question their motives. Are they trying to make things worse? Trying to get them killed? #GeorgeFloyd #GeorgeFloydProtests #BLM #BlackLivesMatter","['scenes', 'across', 'america', 'white', 'people', 'encouraging', 'black', 'folks', 'to', 'use', 'violence', 'setting', 'up', 'pallets', 'of', 'bricks', 'rocks', 'i', 'question', 'their', 'motives', 'are', 'they', 'trying', 'to', 'make', 'things', 'worse', 'trying', 'to', 'get', 'them', 'killed', 'george', 'floyd', 'george', 'floyd', 'protests', 'blm', 'black', 'lives', 'matter']","[""'scene"", 'across', 'america', 'white', 'people', 'encourage', 'black', 'folk', ""to'"", 'use', 'violence', 'setting', 'up', 'pallet', 'of', 'brick', 'rock', ""i'"", 'question', 'they', 'motive', 'be', 'they', 'try', ""to'"", 'make', 'thing', 'worse', 'try', ""to'"", 'get', 'they', 'kill', 'george', 'floyd', 'george', 'floyd', 'protest', 'blm', 'black', 'life', 'matter']",fear,3.0,2.258,inspired,37.0,6.264452130008239,2.0,1.0,13.0,0.0,0.0,1.0,joy,13.0
@realDonaldTrump YOU NEED TO ACT AND NOT APPARENTLY HIDE IN A BUNKER THAT IS BEING REPORTED. YOU NEED TO FIGHT THESE THUGS DAMAGING THE LIVES OF THE INNOCENT. If this were about George Floyd it would have ended with his brother's call for peace. ACT TOUGH LIKE YOU SAY YOU ARE.,"['you', 'need', 'to', 'act', 'and', 'not', 'apparently', 'hide', 'in', 'a', 'bunker', 'that', 'is', 'being', 'reported', 'you', 'need', 'to', 'fight', 'these', 'thugs', 'damaging', 'the', 'lives', 'of', 'the', 'innocent', 'if', 'this', 'were', 'about', 'george', 'floyd', 'it', 'would', 'have', 'ended', 'with', 'his', 'brother', 'is', 'call', 'for', 'peace', 'act', 'tough', 'like', 'you', 'say', 'you', 'are']","['you', 'need', ""to'"", 'act', 'and', 'not', 'apparently', 'hide', 'in', ""a'"", 'bunker', 'that', 'be', 'be', 'report', 'you', 'need', ""to'"", 'fight', 'these', 'thug', 'damage', ""the'"", 'life', 'of', ""the'"", 'innocent', 'if', 'this', 'be', 'about', 'george', 'floyd', 'it', 'would', 'have', 'end', 'with', 'he', 'brother', 'be', 'call', 'for', 'peace', 'act', 'tough', 'like', 'you', 'say', 'you', 'be']",trust,4.0,2.437,annoyed,26.0,3.8946419142426754,0.0,0.0,14.0,3.0,0.0,1.0,joy,14.0
"PSA “What happened to George Floyd is wrong, but...” = “I know George Floyd is innocent and was murdered for being black, but...” #Blacklivesmatter #GeorgeFloyd","['psa', 'what', 'happened', 'to', 'george', 'floyd', 'is', 'wrong', 'but', 'i', 'know', 'george', 'floyd', 'is', 'innocent', 'and', 'was', 'murdered', 'for', 'being', 'black', 'but', 'blacklivesmatter', 'george', 'floyd']","[""'psa'"", 'what', 'happen', ""to'"", 'george', 'floyd', 'be', 'wrong', 'but', ""i'"", 'know', 'george', 'floyd', 'be', 'innocent', 'and', 'be', 'murder', 'for', 'be', 'black', 'but', 'blacklivesmatter', 'george', 'floyd']",sadness,2.0,1.109,angry,11.0,1.9490019825628513,0.0,0.0,5.0,1.0,1.0,1.0,joy,5.0
"UPTOWN NYC FRIENDS: Join your community with @MartiGCummings to protest police brutality in our City tomorrow, June 2nd. Information below, DM me if you have questions! Take action, show your support, join us #BlackLivesMatter #GeorgeFloyd #protests2020","['uptown', 'nyc', 'friends', 'join', 'your', 'community', 'with', 'to', 'protest', 'police', 'brutality', 'in', 'our', 'city', 'tomorrow', 'june', '2nd', 'information', 'below', 'dm', 'me', 'if', 'you', 'have', 'questions', 'take', 'action', 'show', 'your', 'support', 'join', 'us', 'black', 'lives', 'matter', 'george', 'floyd', 'protests', '2020']","['uptown', 'nyc', 'friend', 'join', 'you', 'community', 'with', ""to'"", 'protest', 'police', 'brutality', 'in', ""our'"", 'city', 'tomorrow', 'june', '2nd', 'information', 'below', 'dm', ""me'"", 'if', 'you', 'have', 'question', 'take', 'action', 'show', 'you', 'support', 'join', 'we', 'black', 'life', 'matter', 'george', 'floyd', 'protest', '2020']",trust,4.0,2.063,inspired,28.0,4.539105987365205,0.0,0.0,13.0,0.0,0.0,1.0,joy,13.0
George Floyd is the catalyst but this is bigger than him we need assurances going forward that this type of behavior oil change and not be tolerated,"['george', 'floyd', 'is', 'the', 'catalyst', 'but', 'this', 'is', 'bigger', 'than', 'him', 'we', 'need', 'assurances', 'going', 'forward', 'that', 'this', 'type', 'of', 'behavior', 'oil', 'change', 'and', 'not', 'be', 'tolerated']","['george', 'floyd', 'be', ""the'"", 'catalyst', 'but', 'this', 'be', 'bigger', 'than', 'he', ""we'"", 'need', 'assurance', 'go', 'forward', 'that', 'this', 'type', 'of', 'behavior', 'oil', 'change', 'and', 'not', ""be'"", 'tolerate']",trust,1.0,0.703,inspired,16.0,2.601111878560328,0.0,0.0,9.0,2.0,1.0,1.0,joy,9.0
