sentiment,sentiment_count,sentiment_score,tweet_text
anticipation,1.0,0.406,blacklivesmatter blacklivesmatter blacklivesmatter blacklivesmatter blacklivesmatter blacklivesmatter – at University of Pennsylvania
anticipation,4.0,2.281,Tonight StLouisSuperman story will finally be released Many lesson learned many moment to keep amp guide u in the coming day Thanks for joining u on the journey Mon May 18 9PM ETPT MTV2 blacklivesmatter
anticipation,1.0,0.75,Ward 7 Car Caravan for ha started All Black Lives Matter peoplefirst bethechange bethevillage
anticipation,1.0,0.391,Some art therapy BlackLivesMatter
anticipation,5.0,2.343,Dont stop talking about this next week Dont wait until the next black person dy Dont wait until it caught on film Dont wait until someone is profiled This shit will keep happening a long a we allow the cycle to continue For the billionth time BlackLivesMatter
anticipation,2.0,1.078,We have a racist coming out of the closet on FB let make sure their employer know who they are Joe Cunningham owns Wraps2Go in Greensboro NC Please share and let the world know what he think of u BlackLivesMatter
anticipation,4.0,2.1719999999999997,I woke up feeling more anxious than usual today From whats going on in Minneapolis George Floyds death that reporter getting arrested on LIVE TV My heart ache for this world We need healing
anticipation,5.0,2.262,I will always speak peace But Blacks cant keep marching singing waiting for Justice BLACKS WE ARE AT WAR State of Emergency WITH WHITE NATIONALISTS KKK AMERICA stateofemergency blacklivesmatter MinneapolisRiot GeorgeFloydprotest
anticipation,2.0,0.969,Many thought run through my mind n the face of systematic injustice racism Growing up n the South having a African American son ha always gripped me Until youve felt the pang of that couldve been my son youve missed the point of why Black Lives Matter
anticipation,1.0,0.648,TOMORROW TUNE IN AT 9 PM CST all of my tip will be donated to go towards relief effort for our current situation BLACKLIVESMATTER UNFRIENDLYBLACKHOTTIES
anticipation,1.0,0.7340000000000001,Announcements update ACTION next step in DC BlackLivesMatter StopMPD THIS IS JUST THE BEGINING WE GET OUR This is a marathon organizing get the good BlackLivesMatter BlackLivesDC WeStayReady are you
anticipation,3.0,1.749,Not waiting for the toxicology report before floating the idea that George Floyd had potential intoxicant in his system is an unsubtle early attempt to influence the jury pool
anticipation,1.0,0.4920000000000001,Harrisonburg VA BlackLivesMatter JusticeForGeorgeFlyod – at Court Square
anticipation,2.0,0.883,Young protester in DC chanting I cant breathe and Dont shoot a they march down 14th St GeorgeFloyd
anticipation,3.0,1.8120000000000005,auction I am auctioning a signed copy of my childrens book TheMagicBeet bid start at 20 increment of 1 tag who you outbid 100 of proceeds will be donated to the BlackLivesMatter movement Ends at 9pm est artistssupportBLM ArtistsSupportingBLM
anticipation,2.0,0.976,The DC detective who spend virtually a whole year compiling surveillance video in an attempt to turn nonviolent demonstrator into felon wa pretty biased against the Black Lives Matter movement
anticipation,4.0,2.102,10 PM OUTSIDE THE VA STATE CAPITOL lined up and prepared for protestors coming their way outraged over the recent death of George Floyd and Breonna Taylor – at Virginia State Capitol
anticipation,3.0,1.515,I stand for GeorgeFloyd and stand against racial injusticeI am a man that work in a field that is dominated by black athlete but ran by white menI do what I do to help change the life of men and woman who have le opportunity to succeedWe can help change the
anticipation,2.0,1.133,1015 PM OUTSIDE THE VA STATE CAPITOL Protestors start walking from the intersection of East Grace 9th Street to 3rd Street They were chanting George Floyd Breonna Taylor I cant breathe and Black Lives Matter – at Virginia State Capitol
anticipation,2.0,0.867,HAPPENING NOW GeorgeFloyd protest at Penn Square in Lancaster Cars honking people chanting JusticeForGeorgeFloyd – at Lancaster Marriott at Penn Square
anticipation,2.0,0.977,I am still trying to keep a social distance but there is a large march arriving at the Capitol right now chanting blacklivesmatter and GeorgeFloyd and NoJusticeNoPeace – at United States Capitol
anticipation,1.0,0.555,Pittsburgh hundred of protestors gather at Sixth amp Liberty in support of GeorgeFloyd PGH WPXI
anticipation,2.0,0.9529999999999998,NOW Chants of say his name George Floyd echoing across Capitol Hill for one of several protest planned throughout DC today Hundreds of people are gathered around the reflection pool hearing from black activist after a short march from the National Archives
anticipation,2.0,0.938,Pittsburgh rally in support of GeorgeFloyd stop at Fifth amp Liberty to chant of I cant breathe WPXI PGH
anticipation,2.0,1.0,Arriving to the location where EricGarner wa killed w his mother to stand for GeorgeFloyd
anticipation,1.0,0.523,I swear Goldilocks and the Three Bears wa a cautionary tale for black child requiredreading AmyCooper georgefloyd
anticipation,1.0,0.75,Started peacefully ended peacefully BaltimoreProtest BLACKLIVESMATTER
anticipation,2.0,1.1720000000000002,BREAKING looting at Urban Outfitters on Walnut street What started off a peaceful protest for GeorgeFloyd have turned into this
