sentiment,sentiment_count,sentiment_score,tweet_text
disgust,2.0,0.976,Theyve been lying about this here land being the land of the freefor four hundred and one year now RIPGeorgeFloyd ICantBreathe justiceforFloyd BlackLivesMatter
disgust,2.0,0.57,Similar to EmmettTill there is something about seeing a dead body that mess with people mind mess with our chemistry and lead to a visceral reaction to change what they saw GeorgeFloyd
disgust,2.0,1.1869999999999998,Finding George Floyd old porn video wa so disrespectful
disgust,2.0,1.5230000000000001,this shit is DISGUSTING but have it be a reenactment of literally ANYTHING ELSE the entire world will be up in flame about it fuck the system fuck the president BLACK LIVES MATTER TODAY AND ALWAYS not just when everyone is talking about it
disgust,1.0,0.625,Sin justicia no hay paz gritan frente a la Casa Blanca manifestantes GeorgeFloyd BlackLivesMatter – at Lafayette Square Park
disgust,2.0,1.211,NON BLACK ALLIES if you see white people looting and damaging property SHUT THAT SHIT DOWN We are here LIFT VOICES not damage the message richmondprotest RVA blacklivesmatter rva
disgust,2.0,1.093,PoliceBrutality Police Skeptical annoyed undecided uneasy or hesitant y PoliceMurder This shit never been for u wont ever be for u BlackLivesMatter
disgust,2.0,1.281,Pennsylvanias Montgomery County Commisioner Joseph Gale issue a press release call BlackLivesMatter a radical leftwing hate group An absolutely appalling message from Twitter please help in sending a few email to joe
disgust,4.0,2.374,Jenna messercola gotta be the dumbest bum bitch to ever walk union catholic hall dumb bitch ha not said one thing about George Floyds death but can continuously spread this blue life matter bullshit bitch so fucking ugly inside and out
disgust,1.0,0.82,this shit bigger than George Floyd tho thats what alot of people missing
disgust,1.0,0.7190000000000001,Here is the paragraph from the official autopsy on GeorgeFloyd and COVIDー19 gt FoxNews – at Fox News Washington Bureau
disgust,4.0,2.406,I wake up angry every fucking day I am so sick of this shit all life CANT matter until BLACK LIVES MATTER what is it going to take for yall racist as pig and piglet to understand that
disgust,1.0,0.82,This shit is real this gave me chill blacklivesmatter GeorgeFloyd dcprotest
disgust,2.0,0.976,Hundreds of protester are lying silently on the ground at the Philadelphia Art Museum for 8 minute and 46 second the amount of time a Minnesota police office knelt on GeorgeFloyds neck – at Art Museum Steps
disgust,1.0,0.836,Many doctor from are gathered at the Monument for Enslaved Laborers in Charlottesville to support BlackLives They plan to hold an 846 kneeling moment of silence for GeorgeFloyd Story on at 56
disgust,1.0,0.7340000000000001,Especially since George Floyd is deadI know he would rather be here and so doe everyone else except for the dunce pretend president Trump sickens me
disgust,1.0,0.82,Holy shit Ive never seen so many people in my life It go on forever BlackLivesMatter BlackLivesMatterDC FUCKTRUMP BLMDC
disgust,3.0,1.9919999999999995,Liberal activist should be taken to Guantanamo waterboarded spews rightwing pundit amp antiSemite Rick Wiles ReligionsPoison EmptyThePews ReligiousHate BeGoneBigots TheResistance VoteOutTheGOP BlackLivesMatter VoteBlue2020
disgust,1.0,0.82,100 optic for the sake of pandering Not one of these bozo give two shit about George Floyd
disgust,1.0,0.672,So Tucker say that finance mogul are funding the Black Lives Matter movement and lump Romney in with unspecified financier charging obscene interest rate What is he getting at here
disgust,2.0,1.031,Trump is a racist a rapist an idiot a fascist a liar a misogynist a pedophile Trump is NOT a president BlackLivesMatter
disgust,2.0,1.101,This is what a Pennridge school board member tweeted Imagine being that ignorant I hate it here BlackLivesMatter blm
disgust,3.0,2.0540000000000003,SHAME Take this trash off the shelf in all your store NOW You wont have to do that here though The black folk in my neighborhood shouldnt have to see this filth a moment longer so I bought out all the inventory And theyre ALL gonna burn BlackLivesMatter – at 7Eleven
