sentiment,sentiment_count,sentiment_score,tweet_text
sadness,3.0,1.415,Right I remember when Pnk said Black Lives Matter and lost a million fan on IG
sadness,3.0,1.3039999999999998,Its crazier to see people defend lie in the medium designed to stir up racial animosity especially given the number of dead cop that resulted from the black life matter movement
sadness,4.0,2.4130000000000003,Before anyone try to say anything else about Black people behavior or body deal wstructural racism Blacks are 6 time more than Whites to be turned away for COVID19 testing amp treatment at hospital Blacks are dying because our life are devalued BlackLivesMatter
sadness,4.0,2.5780000000000003,George Floyd wa murdered by two police officer last night in Minneapolis One kneeled on his neck a he cried out I cant breathe The other officer stood by and watched his fellow officer murder a Black man
sadness,2.0,0.812,Rest in power George Floyd This parallel make me sick Another situation where a Black man can not breathe
sadness,3.0,1.89,I guess killing unarmed black people is considered essential work GeorgeFloyd AhmaudArbery BreonnaTaylor
sadness,5.0,3.3439999999999994,With a sad heart l want to offer my condolence to the family of George Floyd he wa murderd by police officer in Minneapolis due one such officer kneeling on his neck a he begged for air So far they have only been fired why arent they in jail why are they allow to be free
sadness,3.0,1.594,We cant make a change if yall dont change Black people Black adult Black kid Are hurting Maybe if everyone hurt the same for the dehumanization of Black body thing would change GeraldFloyd AhmaudArbery ChristianCooper Minneapolis BlackLivesMatter
sadness,2.0,0.7190000000000001,it funny to me how all life matter only trend when black life matter doe it a protest to our protest yall dont actually care u just want to diminish black people
sadness,1.0,0.8440000000000001,Today and every day blacklivesmatter We grieve for George Floyd Ahmaud Arbery Breonna Taylor and countless others We demand justice We demand a more just world for our student
sadness,6.0,4.502,I spent the day mourning the murder of GeorgeFloyd and lamenting the ever present lie of white supremacy in our nation Am planning to make a statement and share some thought in a live stream on my campaign YouTube channel and Facebook page Thursday morning
sadness,4.0,2.391,black life matter science is real no human is illegal love is love believe woman end rape culture abortion is a right
sadness,2.0,0.91,Whats the name of the cop with the skinny toothpick arm who is seen choking out a handcuffed George Floyd in Minneapolis How do the Democrat Party liar make this psychopathic case go away They cant
sadness,6.0,3.937,Its pretty sad if all a black man can get after being murdered is • A witness make a video • 2 day protest more arrest • SM hashtags • destruction of property • 1 day news feature • murderer get fired Sadly well be moving on from GeorgeFloyd story pretty soon
sadness,1.0,0.422,Blacklivesmatter RIP George Floyd
sadness,2.0,1.1340000000000001,Rush Limbaugh this afternoon Everyone get just one life And George Floyd lost his It is unexplainable and unjustifiable George Floyd did not deserve to lose his life
sadness,2.0,1.6789999999999998,Always blaming everyone but himself He feel for George Floyd I dont think so he never even cared that 1 hundred thousand died
sadness,3.0,1.4220000000000002,This is every black man cry This is every black parent cry What do we tell our child What do we tell them GeorgeFloyd icantbreathe blackinamerica racism racialbias keeprecording exposeracism injustice traumatized exhausted
sadness,2.0,1.6789999999999998,if youre deadass defending the cop that kneed george floyds neck until he couldnt breathe and died all fucking disrespect
sadness,4.0,1.859,Not feeling humorous dont want to do the quick rejoinder just want to leave this country that is no longer the country I thought it wa I am disgusted by the murder of George Floyd I am disgusted by what we have become a a nation Thats the tweet
sadness,3.0,2.5940000000000003,I spotted this man on the Upper West Side I heard him shouting near Central Park It wasnt until he wa close enough that I could hear what he wa saying His message follows the death of GeorgeFloyd in Minneapolis who died after a police officer knelt on his neck – at Somewhere
sadness,3.0,1.469,Ugh I am thoroughly exhausted Black life matter whether or not theyre gentle Whether or not theyve been killed by the police Black Fucking life Fucking Matter Fuck
sadness,2.0,1.641,Finished a workout took a deep breath remembered that AhmaudArbery can never take a deep breath after a run Spoke to my mom hung up amp wa sad remembering that GeorgeFloyd can never call his mom again although he called out for her while being killed Heartbroken
sadness,4.0,2.978,We stand in solidarity with all victim of police brutality We send our condolence to all those affected by the death of AhmaudArbery BreonnaTaylor amp GeorgeFloyd We will continue to speak out against injustice amp racism SayTheirNames BlackLivesMatter ΣΛΥ
sadness,4.0,3.3560000000000003,Its been 65 year since the EmmettTill lynching 57 year since 4 little girl were murdered in an Alabama church 19 year since the RodneyKing beating 8 year since TrayvonMartins tragic death 6 year since the birth of BlackLivesMatter When will our life matter NOW
sadness,2.0,1.109,Im not black but I see you Im not black but I hear you Im not black but I mourn with you blackvoicesheard blacklivesmatter
sadness,4.0,3.4539999999999997,GeorgeFloydWasMurdered We cant let up on Trump about what ha befallen our nation under his watch dont look at the shiny thing he want u to talk about there the death of Mr George Floyd who while dying called for his deceased motherFocusOnTheTrumpDeathToll100K
sadness,3.0,1.547,if youre tired of seeing my post about the protest and BLACK LIVES MATTER you are the problem you should be with u and not rolling your eye at my people being MURDERED tweet and say what you want but it noted where your energy is and how much you truly care
sadness,3.0,1.031,Ill be auctioning off a full set of animal crossing lighter EST All proceeds will be donated to the Black Lives Matter movement Keep your eye out for artistssupportblm where other artist will be participating
sadness,3.0,2.001,President Trump just started his next event with condolence for George Floyds family He say he spoke with member of the family Adds the looter should not be allowed to drown out the voice of so many peaceful protestors
sadness,6.0,3.4160000000000004,NEW I want to express our our nation deepest condolence and most heartfelt sympathy to the family of GeorgeFloyd Terrible event terrible terrible thing that happened Ive asked that the DOJ expedite the federal investigation into his death
sadness,1.0,0.915,Marchers in DC protesting against the death of GeorgeFloyd Chants Whats his name George Floyd – at McPherson Square Metro Station
sadness,1.0,0.915,RIGHT NOW Demonstrators gather outside of City Hall in protest to the death of GeorgeFloyd Protesters have been taking to downtown since 6p
sadness,4.0,2.617,The SC Democrat Party crossed a line tonight lying to SCians about record on race issue capitalizing on the tragic death of George Floyd Youve got to be willfully ignorant to not see that Senator Scott ha been on the front line of these hard issue
sadness,3.0,1.821,Looters in Atlanta have now broken into one of the most expensive mall in all of America Make no mistake this ha absolutely nothing to do with George Floyds death or justice
sadness,4.0,2.6790000000000003,You can bet money that when GeorgeFloyd autopsy come back it gonna say he died from something in his system or a previous health problem Anything that will get that cop off
sadness,5.0,2.9370000000000003,My bad yall Ive been mentally overwhelmed by the George Floyd murder Im headed to a protest today I dont feel freaky while black men and woman are being killed in the street NoJusticeNoPeace
sadness,4.0,1.3430000000000002,Last night since I couldnt sleep a wink I decided to finish writing down some thought on being black in America They thought are incomplete and not allencompassing but they remain a raw a ever Im sick and tired of being sick and tired GeorgeFloyd
sadness,1.0,0.915,HAPPENING NOW protest in the city of Pittsburgh over the death of GeorgeFloyd
sadness,6.0,3.924,George Floyds life mattered Antwon Roses life mattered All of the life weve lost to this kind of senseless violence mattered Mourning them all today with my friend colleague and neighbor
sadness,3.0,2.476,At the location where EricGarner wa killed in 2014 by police in Staten Island where he said Icantbreathe 11 time GeorgeFloyd died saying the exact same word at the hand of police – at Staten Island
sadness,1.0,0.915,VIDEO Aerial view of large gathering of demonstration in Philadelphia amid protest over the death of George Floyd
sadness,4.0,2.2119999999999997,Observing a moment of silence for George Floyd Eric Garner and black life that were lost at the exact site where Garner wa killed WeDemandJustice WeCantBreathe GeorgeFloyd
sadness,1.0,0.915,Thousands of protester marching through downtown Pittsburgh in response to death of GeorgeFloyd Chopper11 wpxi
sadness,4.0,3.3989999999999996,The death of George Floyd on the street of Minneapolis wa a tragedy It should never have happened It ha filled Americans all over the country with horror anger and grief
sadness,4.0,3.1410000000000005,Protesters gather at the White House in Washington DC Saturday May 30 2020 during a protest following the death of George Floyd who died after being restrained by Minneapolis police officer on Memorial Day Photo by Jonathan D Williams
sadness,4.0,2.759,What I did feel heartbreak sorrow confusionfor GeorgeFloyd for our country amp for my other brother and sister who have lost their life to racisminequality We need leadership We need solution We need people to see u a EQUAL libertyandjusticeforALL
sadness,1.0,0.915,Hundreds gather in Norfolk on Saturday to march over George Floyds death
sadness,4.0,3.2880000000000003,How many gotta DIED for yall to STOP KILLING US BlackLivesMatter
sadness,2.0,1.127,Upending the system that led to George Floyds death and building better one that protect all our people requires national leadership It requires tough conversation Its requires empathy
sadness,1.0,0.915,Happening now dozen are gathered outside the courthouse in downtown Staunton protesting George Floyds death
sadness,3.0,1.812,My friend is having to calm her granddaughter down while cry hysterically about BlackLivesMatter Take a moment amp read this please
sadness,3.0,1.8590000000000004,Please stop Please stop destroying our country Burning out city down None of this will honor the memory of George Floyd nor will it advance the because It just set u back further We can be better than this We have to be Im heartbroken and sad With all of this
