Correction	ErrorFrequency	Errors
pharmacy	12	[pharmacia, farmacy, farmacia, pharmacie, farmacy, pharmácia, phamarcy, farmacy, farmacy, pharmacia, farmacy, farmacy, farmacy, phamacy]
analyzing	1	[analising]
institutional	1	[institucional]
plastic	4	[plasttic, plastics, plastics, plastics, plastc]
encompasses	1	[englobes]
attended	1	[attendent]
profession	16	[profision, profision, profission, proffesion, profission, profission, profission, profission, profission, profission, profission, profission, profission, profission, profission, profission, profission, profission, profisson]
blackboards	1	[backboards]
compete	1	[compite]
answered	2	[asnwered, aswer]
celebrity	3	[celebritie, celebrities's, getting married being a [[celebritie, celebritie, celebritie]
materials	2	[materils, materels]
joke	1	[jost]
cage	2	[gage, gage, gage]
alternate	1	[alternaed]
told	1	[tolde]
acupuncturist	1	[acupunturist]
possibly	1	[possibily]
violates	1	[violetes]
answer	15	[awnser, anwser, aswer, asnwer, asnwer, anwser, ansewer, aswer, ansewer, aswer, awnser, awser, awser, anwser, anwer]
theater	49	[theather, [[teather, theather, teather, teather, theather, teather, theather, theather, theather, theather, theather, teather, theather, watch tv and [[theather, theather, theather, theather, teather, theather, theather, teather, teather, theather, theather, teather, theather, teather, teather, theather, teather, theather, theather, theather, theather, theather, teather, teather, teather, theather, theather, theather, teather, theather, theather, teather, theather, teather, theather, teather, theather]
meet	35	[mette, mee, meer, me, mitte, meey, met, met, mett, meety, hel, metting, meu, know, mite, met, mett, mit, neet, meer, meet's, meed, mee, met, mett, mett, met, mett, mett, mee, meeto, meer, met, mett, me]
washing	4	[woshing, wash, whashing, watching]
sunglasses	54	[sunglass, sunclasses, sunglass, sunglass, sunglass, sunglass, sunglass, sunglesses, sunglassess, sun glasses, sungless, sunglass, sanglasses, sunglases, sungglasses, sanglasses, sunglass, sunglass, sunglases, sun glasses, sanglesses, sunglesses, sunglases, sunglass, sun glass, sunglass, sunclasses, sunglesses, sungless, sunglass, sunglesses, sungasses, sunglass, sunglesses, sungasses, sunglass, sunglass, sunglesees, sunglasse, sungless, sunglass, sunglass, sanglass, sun glasses, sunglass, sunglass, sunglssses, sunglesses, sunglass, sunglases, sungless, songlasses, sun glasses, sunglesses]
armies	1	[armys]
troubles	1	[trobles]
stadium	2	[stadio, statium]
payments	1	[paymentes.]
quality	3	[qualities, qualit, qualita]
somebody	2	[samebody, somebady]
wherever	1	[wathever]
instruments	23	[intruments, intruments, struments, intruments, intruments, struments, intruments, intruments, instuments, intruments, intruments, intruments, intruments, intruments, instrumets, intruments, instuments, instrumenta, intruments, struments, intruments, intruments, instrumentists]
steady	4	[stead, staedy, steadly, steadly]
symptom	1	[sympton]
dynamic	19	[dinamic, dinamic, dinamic, dinamic, dinamic, dinamic, dinamic, dinamic, dinamic, dinamic, dinamic, is a system very [[dinamic, dinamic, dinamic, dinamic, dinamyc, dinamic, dinamic, dinamic]
promotes	1	[promoves]
chairs	29	[chaírs, chairrs, chairsa, cheirs, chars, charis, cheirs, cheins, chais, chais, chiars, chais, charis, charis, chaírs, chais, chars, chais, charis, clairs, chaus, chaires, chaurs, cairs, clairs, chaírs, chais, chais, chaírs]
john	127	[jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, in the distance isabella and [[jonh, jonh, jonh, jonh, jonh, jhon, jonh, jonh, jonh, jhon, jonh, jonh, jonh, jhon, jonh, jonh, jonh, jhon, tohn, jonh, jonh, jhon, jhon, jonh, jhon, jhon, jonh, jonh, jonhn, jonh, jhon, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jhon, jonh, jhon, jhon, jhon, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jhon, jonh, jonh, jonh, johb, jonh, jhon, jhon, jonh, jonh, jonh, jhon, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jhon, jonh, jonh, jonh, jonh, jonh, jonh, jhon, jonh, jonh, jonh, jonh, johnn, jonh, jonh, jonh, jonh, jonh, jonh, jhon, jhon, jhon, jonh, jonh, the dream of [[jonh, jhon, jhon, jonh, jonh, jonh, jonh, jonh, jonh, jhon, jhon, jhon, jonh's, jonh, jonh, jonh, jonh, jonh, jonh, jhon, jonh, jhon, jonh, jhon, joh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jonh, jhon, jon, jonh, jonh, jonh, jonh, jonh, jonhn, jhon, jonh, jhon, jhon, jhon, johnn, jonh, jonh, jonh, jonh's]
biggest	3	[bigest, bigest, bigest]
willow	3	[willon, illow, milow]
name's	90	[names's, nane's, mane's, names's, names's, names's, neme's, neme's, nam'es, nam's, nane's, mane's, mame's, names's, nam''s, name'a, mane's, name', mane's, name', names's, name''s, nam's, nane's, mane's, names' s, neme's, names's, name''s, nena's, nam's, name'a, mane's, mane's, nam's, mane's, name''s, nam's, nam's, neme's, nome's, name', mane's, neme'e, names's, nam's, nam's, names, neme's, nam's, mane's, names's, mane's, namy's, names's, names's, mane's, nane's, mame's, nome's, nam''s, names's, name', neme's, nam's, names's, names's, nome's, names's, mane's, nam's, names's, "nam""s", names's, nome's, names's, namy's, mame's, name', nam's, neme's, nam's, nama's, name 's, name', nema's, neme's, name 's, names, nane's, nam's, nam's]
mathematics	11	[matematic, mathematic, mathematic, mathmatics, mathmatics, matematic, mathematic, mathematic, mathematic, mathmatics, mathmatics, mathematic]
drawing	1	[drawiing]
relief	1	[relife]
elephants	5	[elephantes, elephantes, eleffants, elephantes, elephats]
transform	3	[tansform, transforme, transforme]
advised	3	[advice, adviced, adviced, adviced]
aesthetic	2	[estetics, esthetic]
times	2	[time, tames]
venomous	1	[venemous]
promoted	3	[promoved, promoved, promoved, promoved]
grew	1	[growed]
debts	1	[debits]
smiled	1	[smilled]
grey	11	[gray, gray, gray, gray, gray, gray, rey, gray, gray, gray, gray, gray, gray, gray, gray]
pity	3	[pitty, pitty, pitty]
enjoyed	3	[injoyed, enjoined, enjoeyed]
formally	1	[formaly]
illegal	5	[ilegal, ilegal, ilegal, ilegal, illegals]
fruits	10	[fruts, fruites, fluit, fruts, fruite, fruts, fruite, fuits, fruis, fuits]
consultant	4	[consultor, consuliting, consutant, consultante]
suffer	2	[soffer, sofer]
lawyers	3	[loyeres, loyeres, laywers, lawers]
join	2	[joine, joinning]
taking	6	[takin, tacking, takink, takeing, taling, takin, takin]
beginner	14	[begginer, begginer, begginer, begginer, beginer, begannir, begginer, begginer, begginer, begginer, begginer, begginer, begginer, begginer, beginer]
licensing	1	[lincensing]
analyze	3	[analize, first we [[analize, analize]
red	7	[rede, res, res, read, read, reh, rede]
days	1	[das]
peoples	1	[peeples]
library	5	[libary, libraly, libriry, libary, libbrary]
advice	6	[advices, advices, advices, advices, advices, advise]
rep	1	[rap]
resources	11	[resourses, resouces, resourses, recources, resourses, recurse, resourcers, ressources, ressources, ressources, resourses, resouces]
assuring	1	[insuring]
drop	1	[drope]
consumption	1	[consuption]
took	9	[tooke, taked, taked, taked, look, taked, toke, toke, tooked, toke]
architecture	5	[arquitecture, architeture, architeture, arquitecture, arquitecture, archtecture]
morocco	1	[marocco]
sized	1	[size]
qualification	4	[quilification, qualifcation, qualifiation, qualificantion]
basic	1	[basec]
estimated	3	[stimated, stimated, stimated, estimeted, estimeted, estimeted]
priority	1	[prioritary]
description	4	[descripition, descrition, descript, discription, discription]
sunsets	1	[sumsets]
reputation	1	[rapitation]
affectionate	2	[affecionate, affectinate]
pharmaceuticals	2	[phamarceuticals, farmaceuticals]
dozens	1	[dosens]
involves	2	[envolves, envolve]
tops	1	[topes]
station	5	[sation, staion, staion, staion, statios, staion]
goalkeeper	4	[golkeeper, goolkeeper, goolkeeper, goalkepper, goolkeeper]
align	2	[aligns, allign]
leisure	1	[leasure, leasure]
resist	1	[resiste]
double	1	[doube]
preferred	25	[prefered, prefered, prefered, prefered, prefered, prefered, prefered, prefered, prefered, prefered, prefered, preferide, prefered, prefered, prefered, prefered, prefered, prefered, prefered, preferd, prefered, prefered, prefered, prefered, prefered, prefered, prefered]
much	17	[muche, mach, mauch, mach, mouch, munch, mutch, mutch, mucht, mutch, mutch, munch, munch, munch, munch, mutch, mush, [[munch, mytch, mutch]
shampoo	1	[shampool]
country	37	[contry, contry, contry, coutry, contry, contry, countrie, cowntry, coutry, contry, coutry, contry, contry, cowntry, coutry, countrys, contry, contry, coutry, coutry, contry, coutry, coutry, contry, contry, cowtry, coutry, contry, contry, contry, contry, counwtry, countrys, contry, contry, coutry, contry]
speech	3	[speach, speechs, speach]
involved	13	[envolved, involded, envolved, envolved, nvolved, envolved, envolved, envolved, involver, envolved, envolved, envolved, envolved]
areas	1	[aereas]
orders	1	[oders]
wears	2	[weares, wear]
recruiting	4	[recruting, recruting, recruting, recrutacion]
raw	1	[row]
update	10	[uptdate, uptade, up date, uptade, updates, uptade, uptade, uptade, uptade, uptade, upatade]
connect	5	[conect, conect, conect, conect, conect]
steaks	1	[steakes]
horse	1	[rorse]
organize	2	[organazing, organizate]
complaints	2	[complains, complents]
