Word	ErrorFrequency	CorrectFrequency	ErrorProbability
outright	0	1	0.0
patriotic	0	1	0.0
distressing	0	1	0.0
treaty	0	1	0.0
bonnie	0	35	0.0
bushy	0	2	0.0
rack	0	20	0.0
intrude	0	2	0.0
entirely	0	24	0.0
traits	0	28	0.0
percentages	0	3	0.0
succeeding	0	2	0.0
unworthy	0	2	0.0
gunfire	0	1	0.0
skydiving	0	108	0.0
aircraft	2	96	0.02040816326530612
shredded	0	1	0.0
executioner	0	1	0.0
charcoal	0	2	0.0
newcomers	0	5	0.0
oversleeping	0	2	0.0
conducted	1	280	0.0035587188612099642
further	3	659	0.004531722054380665
prestige	0	13	0.0
civilizations	0	13	0.0
overseas	1	98	0.010101010101010102
enter	0	371	0.0
paining	0	6	0.0
altruist	0	1	0.0
antecedents	0	1	0.0
theories	0	14	0.0
dancing	9	1665	0.005376344086021506
set	2	2011	9.935419771485345E-4
rights	3	347	0.008571428571428572
soil	0	27	0.0
mattress	1	7	0.125
excusable	0	1	0.0
pessimist	0	3	0.0
deserts	0	27	0.0
sheath	0	3	0.0
chaise	0	1	0.0
automated	0	5	0.0
newspapers	1	107	0.009259259259259259
bakes	0	1	0.0
leaseholder	0	1	0.0
tableland	0	6	0.0
backside	0	2	0.0
mustaches	0	1	0.0
spiders	0	17	0.0
debaters	0	1	0.0
worsts	0	1	0.0
denoting	0	2	0.0
audacity	0	1	0.0
participates	0	3	0.0
waterline	0	4	0.0
scarecrow	0	4	0.0
treed	0	1	0.0
converse	0	10	0.0
plasticity	0	1	0.0
chronicles	0	5	0.0
ledger	0	7	0.0
woody	0	17	0.0
tomcat	0	2	0.0
sunrises	0	2	0.0
mouths	0	10	0.0
conga	0	1	0.0
concern	1	170	0.005847953216374269
pony	0	5	0.0
bit	1	1706	5.858230814294083E-4
uncomfortable	48	711	0.06324110671936758
grasses	0	3	0.0
resembling	0	1	0.0
gypsum	0	2	0.0
entitled	0	73	0.0
litters	0	1	0.0
summer	29	6793	0.0042509527997654645
lest	0	13	0.0
trucks	0	32	0.0
ulcers	0	1	0.0
glows	0	2	0.0
answering	1	145	0.00684931506849315
autobiography	0	8	0.0
evil	0	95	0.0
shuttles	0	5	0.0
overlooked	0	6	0.0
ubiquitous	0	1	0.0
correlating	0	2	0.0
luncheon	0	1	0.0
varsity	0	1	0.0
cub	0	2	0.0
bowls	0	12	0.0
recruiter	0	9	0.0
persons	0	669	0.0
awaking	0	1	0.0
closed	0	284	0.0
requirements	53	1331	0.03829479768786127
parent	0	55	0.0
mailman	0	2	0.0
nostrils	0	1	0.0
illumination	0	2	0.0
championships	0	6	0.0
justice	0	72	0.0
prenatal	0	1	0.0
immediacy	0	1	0.0
dramatically	4	249	0.015810276679841896
bitterly	0	2	0.0
benefactor	0	1	0.0
meager	0	4	0.0
readily	0	4	0.0
unclear	0	6	0.0
seconds	0	122	0.0
legally	0	14	0.0
mouse	0	145	0.0
worth	4	274	0.014388489208633094
auburn	0	3	0.0
concocted	0	1	0.0
heifers	0	1	0.0
diagonal	0	1	0.0
tapping	0	3	0.0
destine	0	3	0.0
pastry	0	7	0.0
attends	0	3	0.0
lyrics	4	558	0.0071174377224199285
chickens	0	80	0.0
utilization	0	2	0.0
marbling	0	1	0.0
coffins	0	2	0.0
chowed	0	1	0.0
newcomer	0	10	0.0
troubleshooting	0	4	0.0
disengage	0	1	0.0
tuberculosis	0	4	0.0
lovable	0	8	0.0
certificate	0	173	0.0
ceremonial	1	1	0.5
shoo	0	1	0.0
transparently	0	1	0.0
powered	0	21	0.0
puts	0	66	0.0
occasionally	22	226	0.08870967741935484
behavior	5	562	0.008818342151675485
dun	0	2	0.0
tad	0	1	0.0
swindle	0	1	0.0
forbid	0	8	0.0
explicit	0	1	0.0
shone	0	4	0.0
cohesive	0	1	0.0
viciously	0	1	0.0
darted	0	2	0.0
senior	0	189	0.0
productive	0	53	0.0
calve	0	1	0.0
wake	2	651	0.0030627871362940277
considers	1	14	0.06666666666666667
daylight	0	6	0.0
gown	0	9	0.0
grieved	0	2	0.0
maxim	0	53	0.0
discriminant	0	1	0.0
natty	0	6	0.0
hawking	0	2	0.0
utmost	0	7	0.0
afflict	0	1	0.0
gradual	0	21	0.0
leveled	0	24	0.0
evacuations	0	1	0.0
provisioning	0	1	0.0
patiently	0	9	0.0
realization	0	15	0.0
insurers	0	1	0.0
precipices	0	1	0.0
meek	0	5	0.0
prince	0	98	0.0
extremism	0	1	0.0
limits	0	59	0.0
muted	0	13	0.0
enhancements	0	1	0.0
botany	0	8	0.0
panthers	0	1	0.0
danced	0	29	0.0
licking	0	1	0.0
dictation	0	1	0.0
encyclopedia	0	3	0.0
continuity	0	7	0.0
three	156	9506	0.016145725522666115
incurable	0	3	0.0
vibration	0	4	0.0
bronzed	0	1	0.0
shorter	1	57	0.017241379310344827
crunch	0	3	0.0
strengthening	0	3	0.0
birthplace	0	4	0.0
ambulance	0	18	0.0
wavering	0	1	0.0
scads	0	1	0.0
tattoos	16	40	0.2857142857142857
role	0	252	0.0
effectiveness	0	17	0.0
necessaries	0	9	0.0
fingers	0	101	0.0
botanists	0	1	0.0
broadcasted	0	5	0.0
physiologist	1	2	0.3333333333333333
dolly	0	5	0.0
penthouse	0	4	0.0
shebang	0	1	0.0
uses	1	156	0.006369426751592357
courageous	2	13	0.13333333333333333
abduction	0	1	0.0
numerals	0	1	0.0
parsons	0	1	0.0
extra	0	1143	0.0
waltz	0	3	0.0
inborn	0	2	0.0
seminary	0	10	0.0
predominates	0	2	0.0
flay	0	2	0.0
shift	0	42	0.0
relaxing	8	1215	0.006541291905151268
videos	0	46	0.0
manufactures	0	15	0.0
wand	0	12	0.0
scented	0	1	0.0
growths	0	1	0.0
