Correction	ErrorFrequency	Errors
pharmacy	1	[charmacy]
president	1	[prsident]
plastic	13	[palstic, pastic, pastic, pastic, palstic, platic, platic, plastiv, plastick, plastc, plasdtic, plasic, pasific, ptastic, palstic]
holding	1	[helding]
calculate	1	[caculate]
developed	2	[developped, devoloped]
competitors	1	[competors]
angrily	1	[angerly]
astronaut	1	[astromaut]
grandad	1	[granddad]
chance	3	[chancs, chace, chace]
olive	1	[oliver]
answered	1	[anserwered]
ingredients	2	[ingradients, ingrediants]
thanks	24	[thank's, tks, tks, thank's, thaks, thx, tks, thaks, thinks, tthanks, thinks, tks, thank's, thans, thankes, thans, thans, ths, thank's, tks, thank, tks, thanls, thank's]
knock	9	[knoch, knorck, koock, konck, konck, konck, knocke, knoch, nock, knoce]
translators	2	[translaters, translaters]
materials	1	[materails]
finishes	1	[finishs]
advanced	2	[advaned, advanved]
exacting	1	[excting]
bought	6	[bough, baught, broungt, buyed, bougtht, bounght]
right	13	[rigth, rihgt, righ, righe, ringht, rigt, rignt, rignt, rihgt, rights, rught, rigth, rifht, rigth]
watermelons	1	[watermellons]
eighth	1	[eigth]
told	2	[tolk, teld]
possibly	1	[possibily]
mango	1	[mengo]
noodle	1	[nuddle]
regard	1	[regart]
meet	6	[meeet, meeet, meey, mee, mee, mmet]
sunglasses	20	[sungrass, sun glasses, suglasses, sungalsses, sunglass, sunglass, sunglass, sanglasses, sunglass, sunglass, sunglass, sun-glass, sunglass, sungalasses, sunglesses, sungrasses, sungalsses, sunglassed, sunglass, sungalsses]
washing	1	[watshing]
few	3	[fews, feww, faw]
exhibitions	2	[exhibtions, exhibitons]
fed	1	[feeded]
touch	3	[thouch, touchu, toubh]
washed	7	[washes, wased, wased, washedd, wahed, wahed, wahsed, wsahed, wahed]
quality	13	[quallity, quallity, qulity, quanlity, quanlity, quanlity, qulality, quanlity, quanlity, quility, qauilk, quilty, qaulity, quanlity, qualitity, qulity]
wherever	1	[wherenever]
instruments	6	[intruments, strument, instruents, ininstruments, instuments, insturments]
steady	1	[steadly]
naughty	3	[naughy, naughy, noughty]
truck	1	[truk]
chairs	13	[charis, chiars, chiars, chails, chiars, chiar, chires, chiars, charis, chais, chiras, chiars, chaira, chiars]
behavior	1	[behavoir]
john	18	[jone, joho, ohn, jonh, jonh, johm, jon, jhon, jonh, jhon, johe, jhon, jhon, jone, jone, jone, join, jhon, jone, jone, jone, jone, jone, jhon]
secondary	3	[scondary, sacondary, secnd]
unforgettable	4	[unforgetable, unforgetable, unfrogetalbe, unforgetable]
made	10	[mad, mad, mad, mad, maked, maked, mde, mde, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked]
biggest	1	[biggst]
name's	12	[name', nam's, neme's, naman's, names, names, mane's, nime's, names's, nane's, nime's, namy's]
mathematics	1	[mathematical]
drawing	2	[drowing, drowing]
visited	2	[visvited, visted]
elephants	2	[elephangt, elephannts]
inquiry	1	[inquier]
advised	2	[adviced, adviced]
