Correction	ErrorFrequency	Errors
pharmacy	3	[pharmacie, pharma, pharma, phamarcy]
plastic	13	[plactic, plasic, plasic, plastick, plastik, plastik, platic, palstic, platic, platik, plastik, platice, plaplastic]
competitors	1	[competitiors]
developed	3	[developped, develped, developped]
ingredients	5	[ingrediants, integriedents, integriedinets, incredients, ingredians, ingrediens]
celebrity	2	[celebrety, celeberaty]
knock	1	[knocke]
thanks	13	[thangs, thank's, thank's, thank's, thank's, thank's, [[thank's, thank's, thank''s, thank's, thank's, thank's, thank's]
translators	1	[translaters]
autonomy	1	[autonomie]
advanced	1	[andvanced]
right	11	[wright, rigth, rigth, rite, wright, rigth, richt, richt, rigth, rigth, wright, rigth]
bought	3	[bough, buyed, buyed]
generation	1	[geraration]
screaming	2	[screeming, screamings]
answer	2	[awnser, awnser, anwer]
meet	2	[miet, miet, miet, met]
sunglasses	11	[sunclasses, sunglassis, sunglases, sunglases, sunglassess, sunglases, sunglass, songlases, sunclasses, sunclasses, sun glasses]
assertive	1	[assertative]
washed	2	[wash, wased]
stadium	1	[stadion]
payments	1	[paymants]
quality	1	[qualitity, qualitity]
somebody	1	[sombody]
forbid	1	[vorbitten]
attacks	1	[attacs]
wherever	2	[whereever, whereever]
towels	1	[towles]
instruments	1	[instuments]
architecturally	1	[achitecturally]
steady	1	[stady]
enemies	1	[enemys]
chairs	1	[cairs]
behavior	2	[bahavior, bevor]
comparing	1	[comparising]
unforgettable	2	[unforgettabel, unforgeattable]
made	6	[maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, maked, mades, maked]
john	4	[jon, jo, johne, jhon, jhon]
sweetheart	3	[sweatheart, sweatheart, sweathart]
name's	10	[nam's, names's, nam's, nam's, nam's, nam's, nam's, name', name', nam's, namen's, mame's]
mathematics	1	[mathmatics]
commerce	1	[ecommerce]
purposeful	1	[purposefull]
elephants	1	[elefants]
visited	1	[visite]
advised	2	[adviced, adviced]
promoted	1	[promotet]
lettuce	1	[lattuce]
eighty	4	[eidthy, eigthy, eigthy, eihty, eihty]
usually	13	[usualy, ussually, usally, usally, usullay, usally, usualy, uschaly, jusually, usully, usualy, usally, usualla]
conversation	1	[consersation]
grey	3	[gray, grex, greey]
cocktails	2	[coctails, coctails]
enjoyed	1	[enyoyed]
pity	2	[pitty, pitty]
purple	2	[purpel, purpe]
fruits	2	[fruites, friuts]
oncology	1	[oncologic]
excel	5	[exel, exel, exel, exel, exel]
