Correction	ErrorFrequency	Errors
plastic	4	[plasome stic, platic, plastict, palstic]
profession	3	[profesion, profesion, profesion]
chance	1	[change]
attraction	1	[atractions]
olive	2	[oliver, oive]
compete	1	[compite]
ingredients	3	[ingrdients, ingrdients, ingredientes]
knock	1	[nock]
thanks	64	[thank's, thansks, thank''s, thank's, tanks, tanks, tanks, thaks, thaks, thaks'¡, thenks, thank's, tanks, thank's, thak's, thks, tanks, thank's, tks, thank's, tanks, thank''s, tanks, thank's, thanqs, thank's, thank''s, thank''s, tanks, thaks, thank's, thank's, thank's, thaks, tanks, tanks, thaks, tanks, tanks, thaks, thaks, thaks, tanks, thank's, thaks, tanks, thank's, thank's, tanks, tanks, tanks, tanks, thank's, tanks, thankes, thank's, thang, tanks, thaks, tanks, tank's, thaks, tank's, thank's, thaks]
roll	1	[rol]
event	1	[evet]
beans	3	[beens, beens, beens]
bought	6	[bougth, bougth, [[bougth, bougth, bougth, bougth, bougth, bougth]
right	30	[rigth, rigth, rigth, rigth, rigth, rigt, rigth, rigth, rigth, rigt, righ, righ, rigth, tight, rigth, righ, rigth, rigth, rigth, righ, righ, rigth, rigth, rigth, righ, rigt, rigth, rigth, rigth, rigth, rignt, rigth]
mosquitoes	1	[mosquitos]
eighth	6	[eigth, eigth, eigth, eigth, eigth, eigth, eigth]
essential	1	[essensial]
possibly	1	[prossibly]
answer	3	[ansewer, aswer, answe]
theater	18	[theather, teather, teather, teather, theather, teather, theather, teather, thearter, teather, teather, teather, teather, teater, teather, theather, theather, teather, theather]
meet	17	[met, me, mett, mit, mete, mete, me, me, meed, meat, mite, mee, meat, met, me, neet, met]
washing	1	[waching]
maria	2	[maría, maría]
sunglasses	8	[soonglasses, sunglasess, sunglasess, sunglases, sunglases, sungasses, sunglases, sunglases]
assertive	1	[acertive]
purchased	1	[purchesed]
native	1	[natice]
touch	1	[toch]
washed	10	[wached, whashes, whash, whased, whased, wahsed, wasched, washes, washes, washes, wased, wash, wased, wased, wased]
transnational	1	[trasnational]
troubles	1	[trubles]
quality	1	[quiity]
attacks	1	[attaks]
instruments	8	[intruments, intruments, intruments, instuments, intruments, intruments, intruments, intruments]
dynamic	1	[dinamic]
promoter	1	[promotor]
pharmacies	1	[farmacies]
chairs	8	[chais, chais, chears, chears, charis, cheirs, cheats, chars]
behavior	2	[behaver, behaivor]
unforgettable	2	[inforgetable, unforgetable]
made	8	[mades, mades, mades, maked, maked, maked, maked, mede, mede, mede, maked, maked, mede, maked, maked, maked, maked, maked]
john	38	[jhon, jhon, jonh, jhon, jhon, jhon, jhon, jonh, jhon, jhon, jhon, jhon, jhon, jhon, jonh, jonh, jhon, jhon, [[jonh, jonh, jonh, jonh, jonh, jhon, jhon, jhon, jhon, jonh, jonh, jhon, jhon, jhon, jhon, jhon, jonh, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jhon, jonh, jonh, jhon, jhoon, jonh]
secondary	2	[secundary, secundary]
biggest	1	[biger]
name's	28	[names's, neme's, nam's, nem's, nam'''s, neme's, mane's, mane''s, name''s, nemes's, name', names, names', names's, name''s, name''s, namés, nam's, nam's, mane, neme's, mane's, names's, names's, neme's, nam's, neme's, mane's, nam's, mane's]
mathematics	2	[matematic, matematics, matematics]
drawing	2	[drawin, drowing]
commerce	1	[comerce]
elaborated	1	[elabored]
times	2	[time, timeas]
promoted	1	[promoved]
lettuce	4	[letucce, letuce, lettuse, letucce]
eighty	6	[eigthy, eigty, eigty, eigthy, eigthy, eigthy]
usually	23	[usualy, usully, ususally, usualy, usualy, usally, usualy, ussualy, usualy, ussualy, usaully, usally, ususally, ussually, usualy, ussualy, ussually, usualy, usualy, ususally, ussualy, ussually, usualli]
conversation	2	[convesation, comversation]
foundation	1	[fundation]
grey	4	[grau, gray, gray, greey, greey, gray]
longing	1	[longin]
trial	1	[try]
classes	4	[clasees, clases, clases, clases]
enjoyed	3	[enjoed, enjoied, enjoinedtook, enjoin]
consumerism	2	[consumerist, consumism]
purple	2	[purpul, purpule]
illegal	1	[ilegal]
fruits	4	[friuts, fuits, fruts, fuits]
consultant	1	[consultand]
suffer	1	[sufer]
excel	3	[exel, excell, exel]
enjoy	2	[ejoy, enjoye]
cutting	1	[cuting]
join	1	[joing]
tasted	1	[teasted]
taking	1	[takin]
bloggers	1	[blogger's, blogger’s]
broke	1	[broked]
beginner	6	[biniger, biginner, begginer, beginer, begener, begineer]
analyze	1	[analize]
expertise	1	[exprtise]
new	3	[neww, news, news, news]
red	3	[reed, reed, read]
including	3	[incluiding, incluiding, inclunding]
aquatic	1	[acuatic]
guess	1	[gues]
legend	1	[legen]
developer	1	[devoleper]
library	3	[libary, librery, librery, librery, labrary]
guest	1	[guets]
shorts	3	[short, short, short]
having	4	[havig, haveing, heaving, havin]
keyboard's	1	[keybords]
advice	3	[advices, advinces, advince, advece]
resources	4	[resourses, resouses, resourses, resorces]
noisier	1	[noiser]
gorillas	1	[gorilas]
change	2	[chance, chance]
distributed	1	[distribuited]
lead	1	[leard]
housekeeper	2	[housekeer, hosekeeper]
architecture	1	[arquitecture]
morocco	1	[morroco]
qualification	1	[calification]
height	1	[hight]
personnel	1	[personal]
basic	1	[bassic]
technological	2	[tecnologic, tech]
affectionate	3	[affectives, affectives, affecionate]
delighted	1	[delihted]
karaoke	1	[kareoke, kareoke]
station	2	[statione, estation]
watch	38	[wach, wach, wach, whaching, wach, wath, wach, wach, wach, wach, wich, wactch, wacht, washer, watchs, whatch, wach, wach, wash, whatch, whatch, whatch, wach, watchs, wach, wach, wach, watc, wach, wathc, wach, wach, wath, wath, wach, wtch, wath, waching, wach]
luck	3	[like, look, look]
align	1	[aling]
yesterday	3	[yester, yesterady, yestarday]
double	1	[doble]
preferred	1	[prefered]
much	3	[mucha, mucha, mucho]
country	8	[contry, contry, contry, contry, contry, contry, contry, contry, contry, contry, contry]
roof	1	[foof]
particularly	1	[particulary]
speech	1	[speach]
involved	2	[envolved, inloved]
often	5	[oftten, aften, ofthen, offen, offen]
behavioral	1	[behavorial]
areas	1	[áreas]
recruiting	1	[recruting]
biblical	1	[biblic]
make	5	[make's, meke, meke, meke, bake]
room	3	[romm, rom, roon]
update	1	[uptade]
sweater	70	[sweeter, swetter, sweter, sweter, sweter, sweter, sweter, sweter, sueter, sweter, sweter, sweter, sweter, sweter, sweter, swetater, sweter, sweter, swater, swetter, sweter, sweter, swaeter, sweter, sweter, swater, sweter, swuater, [[sweter, sweate, sweter, sweter, sweter, swaeter, sweatwer, sweter, swater, sweter, sweter, sweter, sweter, sweter, sweter, swater, swaters, sweter, sweter, sweter, sweter, sueter, swetter, sweter, suader, swater, sweter, swter, swether, swaeter, sweather, sweter, swetter, sweter, sweather, sweter, switer, sweter, sweter, sweter, sweter, sweter, sweter, sweatter, a pink [[swetter, swetter, sweter, sweter, sweter]
connect	2	[conect, conect]
consultancy	1	[consultory]
horse	1	[hourse]
washes	1	[washs]
occasion	3	[ocasion, ocassion, ocassion]
tried	1	[trayied]
through	10	[trough, thru, trought, trought, trough, throung, thru, trough, throuhg, trough, througth]
complaints	1	[complains]
