Word	ErrorFrequency	CorrectFrequency	ErrorProbability
outright	0	1	0.0
patriotic	0	1	0.0
distressing	0	1	0.0
treaty	0	1	0.0
bonnie	0	35	0.0
bushy	0	2	0.0
rack	0	20	0.0
intrude	0	2	0.0
entirely	0	24	0.0
traits	0	28	0.0
percentages	0	3	0.0
succeeding	0	2	0.0
unworthy	0	2	0.0
gunfire	0	1	0.0
skydiving	0	108	0.0
aircraft	0	96	0.0
shredded	0	1	0.0
executioner	0	1	0.0
charcoal	0	2	0.0
newcomers	0	5	0.0
oversleeping	0	2	0.0
conducted	1	280	0.0035587188612099642
further	1	659	0.0015151515151515152
prestige	0	13	0.0
civilizations	0	13	0.0
overseas	0	98	0.0
enter	0	371	0.0
paining	0	6	0.0
altruist	0	1	0.0
antecedents	0	1	0.0
theories	0	14	0.0
dancing	2	1665	0.0011997600479904018
set	1	2011	4.970178926441351E-4
rights	1	347	0.0028735632183908046
soil	0	27	0.0
mattress	0	7	0.0
excusable	0	1	0.0
pessimist	0	3	0.0
deserts	0	27	0.0
sheath	0	3	0.0
chaise	0	1	0.0
automated	0	5	0.0
newspapers	0	107	0.0
bakes	0	1	0.0
leaseholder	0	1	0.0
tableland	0	6	0.0
backside	0	2	0.0
mustaches	0	1	0.0
spiders	0	17	0.0
debaters	0	1	0.0
worsts	0	1	0.0
denoting	0	2	0.0
audacity	0	1	0.0
participates	0	3	0.0
waterline	0	4	0.0
scarecrow	0	4	0.0
treed	0	1	0.0
converse	0	10	0.0
plasticity	0	1	0.0
chronicles	0	5	0.0
ledger	0	7	0.0
woody	0	17	0.0
tomcat	0	2	0.0
sunrises	0	2	0.0
mouths	0	10	0.0
conga	0	1	0.0
concern	0	170	0.0
pony	0	5	0.0
bit	0	1706	0.0
uncomfortable	9	711	0.0125
grasses	0	3	0.0
resembling	0	1	0.0
gypsum	0	2	0.0
entitled	0	73	0.0
litters	0	1	0.0
summer	8	6793	0.0011762976032936333
lest	0	13	0.0
trucks	0	32	0.0
ulcers	0	1	0.0
glows	0	2	0.0
answering	1	145	0.00684931506849315
autobiography	0	8	0.0
evil	0	95	0.0
shuttles	0	5	0.0
overlooked	0	6	0.0
ubiquitous	0	1	0.0
correlating	0	2	0.0
luncheon	0	1	0.0
varsity	0	1	0.0
cub	0	2	0.0
bowls	0	12	0.0
recruiter	0	9	0.0
persons	1	669	0.0014925373134328358
awaking	0	1	0.0
closed	0	284	0.0
requirements	14	1331	0.010408921933085501
parent	0	55	0.0
mailman	0	2	0.0
nostrils	0	1	0.0
illumination	0	2	0.0
championships	0	6	0.0
justice	0	72	0.0
prenatal	0	1	0.0
immediacy	0	1	0.0
dramatically	0	249	0.0
bitterly	0	2	0.0
benefactor	0	1	0.0
meager	0	4	0.0
readily	0	4	0.0
unclear	0	6	0.0
seconds	0	122	0.0
legally	0	14	0.0
mouse	0	145	0.0
worth	0	274	0.0
auburn	0	3	0.0
concocted	0	1	0.0
heifers	0	1	0.0
diagonal	0	1	0.0
tapping	0	3	0.0
destine	0	3	0.0
pastry	0	7	0.0
attends	0	3	0.0
lyrics	0	558	0.0
chickens	0	80	0.0
utilization	0	2	0.0
marbling	0	1	0.0
coffins	0	2	0.0
chowed	0	1	0.0
newcomer	0	10	0.0
troubleshooting	0	4	0.0
disengage	0	1	0.0
tuberculosis	0	4	0.0
lovable	0	8	0.0
certificate	0	173	0.0
ceremonial	0	1	0.0
shoo	0	1	0.0
transparently	0	1	0.0
powered	0	21	0.0
puts	0	66	0.0
occasionally	11	226	0.046413502109704644
behavior	2	562	0.0035460992907801418
dun	0	2	0.0
tad	0	1	0.0
swindle	0	1	0.0
forbid	0	8	0.0
explicit	0	1	0.0
shone	0	4	0.0
cohesive	0	1	0.0
viciously	0	1	0.0
darted	0	2	0.0
senior	0	189	0.0
productive	0	53	0.0
calve	0	1	0.0
wake	0	651	0.0
considers	0	14	0.0
daylight	0	6	0.0
gown	0	9	0.0
grieved	0	2	0.0
maxim	0	53	0.0
discriminant	0	1	0.0
natty	0	6	0.0
hawking	0	2	0.0
utmost	0	7	0.0
afflict	0	1	0.0
gradual	0	21	0.0
leveled	0	24	0.0
evacuations	0	1	0.0
provisioning	0	1	0.0
patiently	0	9	0.0
realization	0	15	0.0
insurers	0	1	0.0
precipices	0	1	0.0
meek	0	5	0.0
prince	0	98	0.0
extremism	0	1	0.0
limits	0	59	0.0
muted	0	13	0.0
enhancements	0	1	0.0
botany	0	8	0.0
panthers	0	1	0.0
danced	0	29	0.0
licking	0	1	0.0
dictation	0	1	0.0
encyclopedia	0	3	0.0
continuity	0	7	0.0
three	49	9506	0.005128205128205128
incurable	0	3	0.0
vibration	0	4	0.0
bronzed	0	1	0.0
shorter	0	57	0.0
crunch	0	3	0.0
strengthening	0	3	0.0
birthplace	0	4	0.0
ambulance	0	18	0.0
wavering	0	1	0.0
scads	0	1	0.0
tattoos	3	40	0.06976744186046512
role	0	252	0.0
effectiveness	0	17	0.0
necessaries	0	9	0.0
fingers	0	101	0.0
botanists	0	1	0.0
broadcasted	0	5	0.0
physiologist	0	2	0.0
dolly	0	5	0.0
penthouse	0	4	0.0
shebang	0	1	0.0
uses	0	156	0.0
courageous	0	13	0.0
abduction	0	1	0.0
numerals	0	1	0.0
parsons	0	1	0.0
extra	1	1143	8.741258741258741E-4
waltz	0	3	0.0
inborn	0	2	0.0
seminary	0	10	0.0
predominates	0	2	0.0
flay	0	2	0.0
shift	0	42	0.0
relaxing	2	1215	0.0016433853738701725
videos	1	46	0.02127659574468085
manufactures	1	15	0.0625
wand	0	12	0.0
scented	0	1	0.0
growths	0	1	0.0
mentors	0	2	0.0
duck	0	22	0.0
want	16	17410	9.181682543326064E-4
tiara	0	1	0.0
