Correction	ErrorFrequency	Errors
pharmacy	1	[phamacy]
president	2	[presedent, persident]
plastic	12	[blastic, pastic, plasic, plactic, plastik, plastik, plastik, plactic, plactik, plastik, plastik, plastik, plastick]
attended	1	[affended]
holding	1	[holing]
competitors	2	[competetors, competitives]
profession	4	[proffession, prodfession, proffession, profecion]
surname	1	[sername]
logos	1	[logoes]
ingredients	7	[ingridients, integredient, ingridients, ingridients, ingridients, igredients, ingridients]
passengers	3	[[[passangers, passangers, passangers]
knock	7	[knok, knocke, knokc, nocked, knocke, knocke, khock]
thanks	26	[thansk, thenks, thank's, thank's, thank's, thank's, thank's, thank's, thenk's, tanks, think's, thanky, thank, thank's, thank's, thx, thank's, thenks, thanke, shanks, tkank's, tanks, thaks, thank's, thank's, thank's, thaks, thank's]
materials	1	[matherials]
basketballs	1	[bascet balls]
event	1	[ivent]
beans	1	[peans]
advanced	2	[advaced, advaced]
exacting	1	[excaiting]
right	5	[rigth, rigth, rigth, rigt, rigth]
bought	4	[boght, bouth, bougch, bot]
generation	1	[[[generetion]
mosquitoes	1	[mosquitos]
screaming	1	[sreaming]
impressions	1	[impessions]
asset	2	[assest, esset]
possibly	1	[possible]
answer	3	[ancer, ansver, ansver, answere]
theater	3	[teather, theather, theather]
meet	4	[mit, meett, meey, mett]
washing	1	[washinng]
sunglasses	13	[sunglasss, sunglusses, sunglases, runglasses, sunglases, sunglasess, sunnglasses, sunglasess, sunglases, sunglass, sunglases, sunglassis, sunglusses]
native	1	[natievs]
washed	2	[wased, wahed]
smells	2	[smell's, smels]
stadium	1	[stadion]
payments	2	[paymants, pauments]
quality	1	[guality, guality]
instruments	4	[unstruments, insruments, instrumets, instrumens]
steady	1	[stedy]
tsunamis	1	[tsumamis]
chairs	12	[cairs, chears, chirs, chaires, chaires, cair, cairs, chais, ?hairs, cairs, cheirs, chears]
behavior	2	[behavour, behaivor]
comparing	1	[comaring]
unforgettable	3	[unforgetable, unforgetable, unforgetable, unforgetable]
john	19	[jhon, jhon, jhon, jonh, yohn, jhon, jonh, jonn, jonn, joon, jonh, jhon, jonh, jonh, jhon, jhon, jhon, jhon, gohn, jone, jons, jonn, jonn, jonh, jonh]
made	10	[maked, maked, maked, maked, maked, maked, maked, maked, maked, mad, maked, maden, maden, maked, maked, maked, maked, maked, maked, maked]
biggest	1	[bigest, bigest]
willow	1	[whillow]
parted	1	[aparted]
name's	12	[neme's, neme's, naim's, nam's, neme's, nam's, mame's, nane's, nam's, naame's, hame's, nam's, names's]
trilogy	1	[triology, triology]
net	1	[nat]
mathematics	5	[mathimatics, matimatics, mathematic, matematics, mathematiks]
drawing	4	[drowing, drowing, drowing, drowing]
elephants	1	[elefants]
visited	3	[vizited, vizited, wisited]
advised	2	[adviced, advaced]
eighty	3	[eigty, eihty, eghty]
usually	69	[usaully, usaully, useily, usualiy, usualy, ussualy, ussualy, usealy, ussualy, ussually, usuelly, usuelly, ussually, ussually, ussually, ussually, usualy, usualy, usualy, ussualy, ussually, usualy, ussualy, ussualy, ussualy, ussualy, usualy, usualy, usially, useally, usualli, usualy, usualy, usualy, ussually, usualy, ussualy, usially, usially, usaly, usally, usally, usully, usualy, usuaiiy, ugually, usualy, usualle, usualle, usiale, usualy, usualy, ussualy, ussualy, usualy, usualy, usualy, usualy, usualy, ussually, usualy, usualy, usualy, usualy, usualy, usualy, usualy, usualy, usualy, usualy, usualy, usualy, usualli, usualli, ussually, usualy, usualy, usially, usualy, usualy, uselly, ussualy, usuale, ussualy, ussualy, ussually, usualy, usully, usualle, ussually, usualy, usaly]
conversation	2	[conversatiom, conversaition]
grey	6	[greey, greey, grew, grew, grew, grew, gray, gray, drey, grye]
cocktails	7	[coktails, cockteils, coctails, cockteils, coctals, coctails, coctails]
ridiculous	1	[ridiculious]
pity	1	[pitty]
enjoyed	5	[enjoed, enjoed, enjoed, enjoyned, enjoyd, enjoyd]
