Correction	ErrorFrequency	Errors
analyzing	4	[analying, analizing, analyz, analising]
newcomer	2	[new comer, new comer]
attended	4	[attendent, attendent, affended, atended]
profession	27	[profision, profision, profesion, profission, proffession, proffesion, profesion, profission, profission, profission, profission, profission, proffession, profission, prodfession, profesion, profission, profission, profission, profission, profission, profission, profission, proffession, profission, profecion, profisson]
grandad	1	[granddad]
surname	3	[sername, sourname, sername]
zoos	1	[zooz]
champions	1	[campionis]
compete	3	[compote, compite, compite]
logos	1	[logoes]
materials	6	[matherials, materyals, materiel, materails, materils, materels]
event	5	[ivent, evet, you can find an interesting [[evet, evet, evenement]
declared	1	[declarated]
finishes	1	[finishs]
adaptable	1	[adaptble]
advanced	6	[andvanced, advaced, advancd, advaned, advaced, advanved]
cage	3	[gage, gage, gage]
gasoline	1	[gasolin]
possibly	4	[prossibly, possible, possibily, possibily]
answer	40	[ancer, awnser, anwers, ansuwer, awnser, anwser, ansewer, aswer, anwser, aswer, awnser, awnser, asnwer, ansver, ansver, aswer, asnwer, answe, anwser, ansewer, aswer, aswer, asuwer, ansewer, answere, anwser, anwser, ansure, aswer, anwer, awnser, awser, awser, ansew, answear, anwer, answear, anwser, anwer, answear]
sleeve	1	[sleve]
regard	1	[regart]
theater	78	[theather, [[teather, teather, theather, teather, teather, theather, teather, theather, theather, theather, theather, theather, theather, teather, theather, theather, watch tv and [[theather, theather, teather, theather, theather, teather, theather, teather, teather, teather, theather, theather, teather, teather, teather, theather, theather, theather, teather, theather, teather, theather, theather, teather, teather, thearter, teather, teather, theather, teather, teater, teather, theather, theather, theather, theather, teather, theather, teather, teather, teather, teater, teather, theather, theather, theather, teather, theather, theather, teather, teather, theather, theather, theather, teather, teather, theather, theather, theather, teather, theather]
meet	97	[mette, meeth, mee, met, mit, met, meer, mite, me, mitte, me, mett, mit, meey, mi, mete, mete, mee, mee, meeet, met, meting, met, mett, meeet, mit, meety, meed, meth, me, me, meed, neet, hel, metting, meu, mee, meett, know, mite, mee, met, mett, meat, mit, neet, mite, mee, miet, miet, miet, mett, mee, meer, meet's, meed, meeet, meat, meat, met, met, meey, mee, meed, me, meel, mee t, meete, meey, mee, mee, met, met, mett, mett, met, mett, mett, meat, mett, mee, mett, meeto, meer, met, neet, mett, me, meat, mee, mee, mmet, meey, met, mee, meey, neet]
